location	surah	verse	root	form	aspect	agreement	subject_label	subject_lemma	rule_fired	T1_object_clitic	T2_eqtb_obj	verse_text
(3:140:2:1)	3	140	mss	I	IMPF	3MS	NONDIVINE	qaroH	S-EXPL	1	1	إن يمسسكم قرح فقد مس القوم قرح مثله ۚ وتلك الأيام نداولها بين الناس وليعلم الله الذين آمنوا ويتخذ منكم شهداء ۗ والله لا يحب الظالمين
(3:141:1:3)	3	141	mHS	II	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	وليمحص الله الذين آمنوا ويمحق الكافرين
(3:142:2:1)	3	142	Hsb	I	PERF	2MP	NONDIVINE		S-2P	0	1	أم حسبتم أن تدخلوا الجنة ولما يعلم الله الذين جاهدوا منكم ويعلم الصابرين
(3:142:4:1)	3	142	dxl	I	IMPF	2MP	NONDIVINE		S-2P	0	1	أم حسبتم أن تدخلوا الجنة ولما يعلم الله الذين جاهدوا منكم ويعلم الصابرين
(3:142:7:1)	3	142	Elm	I	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	أم حسبتم أن تدخلوا الجنة ولما يعلم الله الذين جاهدوا منكم ويعلم الصابرين
(3:143:10:1)	3	143	rAy	I	PERF	2MP	NONDIVINE		S-2P	1	1	ولقد كنتم تمنون الموت من قبل أن تلقوه فقد رأيتموه وأنتم تنظرون
(3:143:12:1)	3	143	nZr	I	IMPF	2MP	NONDIVINE		S-2P	0	0	ولقد كنتم تمنون الموت من قبل أن تلقوه فقد رأيتموه وأنتم تنظرون
(3:143:2:1)	3	143	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	ولقد كنتم تمنون الموت من قبل أن تلقوه فقد رأيتموه وأنتم تنظرون
(3:143:3:1)	3	143	mny	V	IMPF	2MP	NONDIVINE		S-2P	0	1	ولقد كنتم تمنون الموت من قبل أن تلقوه فقد رأيتموه وأنتم تنظرون
(3:143:8:1)	3	143	lqy	I	IMPF	2MP	NONDIVINE		S-2P	1	1	ولقد كنتم تمنون الموت من قبل أن تلقوه فقد رأيتموه وأنتم تنظرون
(3:144:14:1)	3	144	qlb	VII	PERF	2MP	NONDIVINE		S-2P	0	0	وما محمد إلا رسول قد خلت من قبله الرسل ۚ أفإن مات أو قتل انقلبتم على أعقابكم ۚ ومن ينقلب على عقبيه فلن يضر الله شيئا ۗ وسيجزي الله الشاكرين
(3:144:25:3)	3	144	jzy	I	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	وما محمد إلا رسول قد خلت من قبله الرسل ۚ أفإن مات أو قتل انقلبتم على أعقابكم ۚ ومن ينقلب على عقبيه فلن يضر الله شيئا ۗ وسيجزي الله الشاكرين
(3:145:15:1)	3	145	Aty	IV	IMPF	1P	DIVINE		S-1P	1	1	وما كان لنفس أن تموت إلا بإذن الله كتابا مؤجلا ۗ ومن يرد ثواب الدنيا نؤته منها ومن يرد ثواب الآخرة نؤته منها ۚ وسنجزي الشاكرين
(3:145:21:1)	3	145	Aty	IV	IMPF	1P	DIVINE		S-1P	1	1	وما كان لنفس أن تموت إلا بإذن الله كتابا مؤجلا ۗ ومن يرد ثواب الدنيا نؤته منها ومن يرد ثواب الآخرة نؤته منها ۚ وسنجزي الشاكرين
(3:145:23:3)	3	145	jzy	I	IMPF	1P	DIVINE		S-1P	0	1	وما كان لنفس أن تموت إلا بإذن الله كتابا مؤجلا ۗ ومن يرد ثواب الدنيا نؤته منها ومن يرد ثواب الآخرة نؤته منها ۚ وسنجزي الشاكرين
(3:146:18:1)	3	146	kyn	X	PERF	3MP	DIVINE	{ll~ah	S-EXPL	0	0	وكأين من نبي قاتل معه ربيون كثير فما وهنوا لما أصابهم في سبيل الله وما ضعفوا وما استكانوا ۗ والله يحب الصابرين
(3:147:14:2)	3	147	vbt	II	IMPV	2MS	NONDIVINE		S-2P	0	1	وما كان قولهم إلا أن قالوا ربنا اغفر لنا ذنوبنا وإسرافنا في أمرنا وثبت أقدامنا وانصرنا على القوم الكافرين
(3:147:16:2)	3	147	nSr	I	IMPV	2MS	NONDIVINE		S-2P	1	1	وما كان قولهم إلا أن قالوا ربنا اغفر لنا ذنوبنا وإسرافنا في أمرنا وثبت أقدامنا وانصرنا على القوم الكافرين
(3:147:8:1)	3	147	gfr	I	IMPV	2MS	NONDIVINE		S-2P	0	1	وما كان قولهم إلا أن قالوا ربنا اغفر لنا ذنوبنا وإسرافنا في أمرنا وثبت أقدامنا وانصرنا على القوم الكافرين
(3:148:1:2)	3	148	Aty	IV	PERF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	فآتاهم الله ثواب الدنيا وحسن ثواب الآخرة ۗ والله يحب المحسنين
(3:149:11:2)	3	149	qlb	VII	IMPF	2MP	NONDIVINE		S-2P	0	1	يا أيها الذين آمنوا إن تطيعوا الذين كفروا يردوكم على أعقابكم فتنقلبوا خاسرين
(3:149:5:1)	3	149	TwE	IV	IMPF	2MP	NONDIVINE		S-2P	0	1	يا أيها الذين آمنوا إن تطيعوا الذين كفروا يردوكم على أعقابكم فتنقلبوا خاسرين
(3:151:17:2)	3	151	bAs	I	PERF	3MS	NONDIVINE	mavowFY	S-EXPL	0	0	سنلقي في قلوب الذين كفروا الرعب بما أشركوا بالله ما لم ينزل به سلطانا ۖ ومأواهم النار ۚ وبئس مثوى الظالمين
(3:151:1:2)	3	151	lqy	IV	IMPF	1P	DIVINE		S-1P	0	1	سنلقي في قلوب الذين كفروا الرعب بما أشركوا بالله ما لم ينزل به سلطانا ۖ ومأواهم النار ۚ وبئس مثوى الظالمين
(3:152:10:1)	3	152	f$l	I	PERF	2MP	NONDIVINE		S-2P	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:11:2)	3	152	nzE	VI	PERF	2MP	NONDIVINE		S-2P	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:14:2)	3	152	ESy	I	PERF	2MP	NONDIVINE		S-2P	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:20:1)	3	152	Hbb	IV	IMPF	2MP	NONDIVINE		S-2P	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:23:1)	3	152	rwd	IV	IMPF	3MS	NONDIVINE	d~unoyaA	S-EXPL	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:2:1)	3	152	Sdq	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:34:1)	3	152	Efw	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:152:6:1)	3	152	Hss	I	IMPF	2MP	NONDIVINE		S-2P	1	1	ولقد صدقكم الله وعده إذ تحسونهم بإذنه ۖ حتى إذا فشلتم وتنازعتم في الأمر وعصيتم من بعد ما أراكم ما تحبون ۚ منكم من يريد الدنيا ومنكم من يريد الآخرة ۚ ثم صرفكم عنهم ليبتليكم ۖ ولقد عفا عنكم ۗ والله ذو فضل على المؤمنين
(3:153:15:1)	3	153	Hzn	I	IMPF	2MP	NONDIVINE		S-2P	0	0	۞ إذ تصعدون ولا تلوون على أحد والرسول يدعوكم في أخراكم فأثابكم غما بغم لكيلا تحزنوا على ما فاتكم ولا ما أصابكم ۗ والله خبير بما تعملون
(3:153:21:1)	3	153	Swb	IV	PERF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	۞ إذ تصعدون ولا تلوون على أحد والرسول يدعوكم في أخراكم فأثابكم غما بغم لكيلا تحزنوا على ما فاتكم ولا ما أصابكم ۗ والله خبير بما تعملون
(3:153:25:1)	3	153	Eml	I	IMPF	2MP	NONDIVINE		S-2P	0	0	۞ إذ تصعدون ولا تلوون على أحد والرسول يدعوكم في أخراكم فأثابكم غما بغم لكيلا تحزنوا على ما فاتكم ولا ما أصابكم ۗ والله خبير بما تعملون
(3:153:2:1)	3	153	SEd	IV	IMPF	2MP	NONDIVINE		S-2P	0	0	۞ إذ تصعدون ولا تلوون على أحد والرسول يدعوكم في أخراكم فأثابكم غما بغم لكيلا تحزنوا على ما فاتكم ولا ما أصابكم ۗ والله خبير بما تعملون
(3:153:4:1)	3	153	lwy	I	IMPF	2MP	NONDIVINE		S-2P	0	0	۞ إذ تصعدون ولا تلوون على أحد والرسول يدعوكم في أخراكم فأثابكم غما بغم لكيلا تحزنوا على ما فاتكم ولا ما أصابكم ۗ والله خبير بما تعملون
(3:154:14:1)	3	154	hmm	IV	PERF	3FS	NONDIVINE	nafos	S-EXPL	1	1	ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
(3:154:29:1)	3	154	qwl	I	IMPV	2MS	NONDIVINE		S-2P	0	1	ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
(3:154:51:1)	3	154	qwl	I	IMPV	2MS	NONDIVINE		S-2P	0	1	ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
(3:154:53:1)	3	154	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
(3:154:63:3)	3	154	blw	VIII	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	ثم أنزل عليكم من بعد الغم أمنة نعاسا يغشى طائفة منكم ۖ وطائفة قد أهمتهم أنفسهم يظنون بالله غير الحق ظن الجاهلية ۖ يقولون هل لنا من الأمر من شيء ۗ قل إن الأمر كله لله ۗ يخفون في أنفسهم ما لا يبدون لك ۖ يقولون لو كان لنا من الأمر شيء ما قتلنا هاهنا ۗ قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل إلى مضاجعهم ۖ وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم ۗ والله عليم بذات الصدور
(3:155:15:1)	3	155	Efw	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	إن الذين تولوا منكم يوم التقى الجمعان إنما استزلهم الشيطان ببعض ما كسبوا ۖ ولقد عفا الله عنهم ۗ إن الله غفور حليم
(3:155:6:1)	3	155	lqy	VIII	PERF	3MS	NONDIVINE	jamoE	S-EXPL	0	0	إن الذين تولوا منكم يوم التقى الجمعان إنما استزلهم الشيطان ببعض ما كسبوا ۖ ولقد عفا الله عنهم ۗ إن الله غفور حليم
(3:155:9:1)	3	155	zll	X	PERF	3MS	NONDIVINE	$ayoTa`n	S-EXPL	1	1	إن الذين تولوا منكم يوم التقى الجمعان إنما استزلهم الشيطان ببعض ما كسبوا ۖ ولقد عفا الله عنهم ۗ إن الله غفور حليم
(3:156:24:2)	3	156	jEl	I	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	يا أيها الذين آمنوا لا تكونوا كالذين كفروا وقالوا لإخوانهم إذا ضربوا في الأرض أو كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذلك حسرة في قلوبهم ۗ والله يحيي ويميت ۗ والله بما تعملون بصير
(3:156:32:2)	3	156	mwt	IV	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	يا أيها الذين آمنوا لا تكونوا كالذين كفروا وقالوا لإخوانهم إذا ضربوا في الأرض أو كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذلك حسرة في قلوبهم ۗ والله يحيي ويميت ۗ والله بما تعملون بصير
(3:156:35:1)	3	156	Eml	I	IMPF	2MP	NONDIVINE		S-2P	0	0	يا أيها الذين آمنوا لا تكونوا كالذين كفروا وقالوا لإخوانهم إذا ضربوا في الأرض أو كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذلك حسرة في قلوبهم ۗ والله يحيي ويميت ۗ والله بما تعملون بصير
(3:156:5:1)	3	156	kwn	I	IMPF	2MP	NONDIVINE		S-2P	0	0	يا أيها الذين آمنوا لا تكونوا كالذين كفروا وقالوا لإخوانهم إذا ضربوا في الأرض أو كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذلك حسرة في قلوبهم ۗ والله يحيي ويميت ۗ والله بما تعملون بصير
(3:157:7:1)	3	157	mwt	I	PERF	2MP	NONDIVINE		S-2P	0	0	ولئن قتلتم في سبيل الله أو متم لمغفرة من الله ورحمة خير مما يجمعون
(3:158:2:1)	3	158	mwt	I	PERF	2MP	NONDIVINE		S-2P	0	0	ولئن متم أو قتلتم لإلى الله تحشرون
(3:159:15:2)	3	159	Efw	I	IMPV	2MS	NONDIVINE		S-2P	0	0	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:159:17:2)	3	159	gfr	X	IMPV	2MS	NONDIVINE		S-2P	0	0	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:159:19:2)	3	159	$wr	III	IMPV	2MS	NONDIVINE		S-2P	1	1	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:159:23:1)	3	159	Ezm	I	PERF	2MS	NONDIVINE		S-2P	0	0	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:159:24:2)	3	159	wkl	V	IMPV	2MS	NONDIVINE		S-2P	0	0	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:159:8:1)	3	159	kwn	I	PERF	2MS	NONDIVINE		S-2P	0	0	فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم في الأمر ۖ فإذا عزمت فتوكل على الله ۚ إن الله يحب المتوكلين
(3:160:17:3)	3	160	wkl	V	IMPF	3MS	NONDIVINE	mu&omin	S-EXPL	0	0	إن ينصركم الله فلا غالب لكم ۖ وإن يخذلكم فمن ذا الذي ينصركم من بعده ۗ وعلى الله فليتوكل المؤمنون
(3:160:2:1)	3	160	nSr	I	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	إن ينصركم الله فلا غالب لكم ۖ وإن يخذلكم فمن ذا الذي ينصركم من بعده ۗ وعلى الله فليتوكل المؤمنون
(3:162:12:2)	3	162	bAs	I	PERF	3MS	NONDIVINE	maSiyr	S-EXPL	0	0	أفمن اتبع رضوان الله كمن باء بسخط من الله ومأواه جهنم ۚ وبئس المصير
(3:164:2:1)	3	164	mnn	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	لقد من الله على المؤمنين إذ بعث فيهم رسولا من أنفسهم يتلو عليهم آياته ويزكيهم ويعلمهم الكتاب والحكمة وإن كانوا من قبل لفي ضلال مبين
(3:165:10:1)	3	165	qwl	I	IMPV	2MS	NONDIVINE		S-2P	0	1	أولما أصابتكم مصيبة قد أصبتم مثليها قلتم أنى هذا ۖ قل هو من عند أنفسكم ۗ إن الله على كل شيء قدير
(3:165:2:1)	3	165	Swb	IV	PERF	3FS	NONDIVINE	m~uSiybap	S-EXPL	1	1	أولما أصابتكم مصيبة قد أصبتم مثليها قلتم أنى هذا ۖ قل هو من عند أنفسكم ۗ إن الله على كل شيء قدير
(3:165:5:1)	3	165	Swb	IV	PERF	2MP	NONDIVINE		S-2P	0	1	أولما أصابتكم مصيبة قد أصبتم مثليها قلتم أنى هذا ۖ قل هو من عند أنفسكم ۗ إن الله على كل شيء قدير
(3:165:7:1)	3	165	qwl	I	PERF	2MP	NONDIVINE		S-2P	0	1	أولما أصابتكم مصيبة قد أصبتم مثليها قلتم أنى هذا ۖ قل هو من عند أنفسكم ۗ إن الله على كل شيء قدير
(3:166:4:1)	3	166	lqy	VIII	PERF	3MS	NONDIVINE	jamoE	S-EXPL	0	0	وما أصابكم يوم التقى الجمعان فبإذن الله وليعلم المؤمنين
(3:167:12:1)	3	167	dfE	I	IMPV	2MP	NONDIVINE		S-2P	0	0	وليعلم الذين نافقوا ۚ وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا ۖ قالوا لو نعلم قتالا لاتبعناكم ۗ هم للكفر يومئذ أقرب منهم للإيمان ۚ يقولون بأفواههم ما ليس في قلوبهم ۗ والله أعلم بما يكتمون
(3:167:15:1)	3	167	Elm	I	IMPF	1P	DIVINE		S-1P	0	1	وليعلم الذين نافقوا ۚ وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا ۖ قالوا لو نعلم قتالا لاتبعناكم ۗ هم للكفر يومئذ أقرب منهم للإيمان ۚ يقولون بأفواههم ما ليس في قلوبهم ۗ والله أعلم بما يكتمون
(3:167:17:2)	3	167	tbE	VIII	PERF	1P	DIVINE		S-1P	1	1	وليعلم الذين نافقوا ۚ وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا ۖ قالوا لو نعلم قتالا لاتبعناكم ۗ هم للكفر يومئذ أقرب منهم للإيمان ۚ يقولون بأفواههم ما ليس في قلوبهم ۗ والله أعلم بما يكتمون
(3:167:6:1)	3	167	Elw	IV	IMPV	2MP	NONDIVINE		S-2P	0	0	وليعلم الذين نافقوا ۚ وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا ۖ قالوا لو نعلم قتالا لاتبعناكم ۗ هم للكفر يومئذ أقرب منهم للإيمان ۚ يقولون بأفواههم ما ليس في قلوبهم ۗ والله أعلم بما يكتمون
(3:167:7:1)	3	167	qtl	III	IMPV	2MP	NONDIVINE		S-2P	0	0	وليعلم الذين نافقوا ۚ وقيل لهم تعالوا قاتلوا في سبيل الله أو ادفعوا ۖ قالوا لو نعلم قتالا لاتبعناكم ۗ هم للكفر يومئذ أقرب منهم للإيمان ۚ يقولون بأفواههم ما ليس في قلوبهم ۗ والله أعلم بما يكتمون
(3:168:10:2)	3	168	drA	I	IMPV	2MP	NONDIVINE		S-2P	0	1	الذين قالوا لإخوانهم وقعدوا لو أطاعونا ما قتلوا ۗ قل فادرءوا عن أنفسكم الموت إن كنتم صادقين
(3:168:15:1)	3	168	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	الذين قالوا لإخوانهم وقعدوا لو أطاعونا ما قتلوا ۗ قل فادرءوا عن أنفسكم الموت إن كنتم صادقين
(3:168:9:1)	3	168	qwl	I	IMPV	2MS	NONDIVINE		S-2P	0	1	الذين قالوا لإخوانهم وقعدوا لو أطاعونا ما قتلوا ۗ قل فادرءوا عن أنفسكم الموت إن كنتم صادقين
(3:169:2:1)	3	169	Hsb	I	IMPF	2MS	NONDIVINE		S-2P	0	1	ولا تحسبن الذين قتلوا في سبيل الله أمواتا ۚ بل أحياء عند ربهم يرزقون
(3:170:3:1)	3	170	Aty	IV	PERF	3MS	DIVINE	{ll~ah	S-EXPL	1	1	فرحين بما آتاهم الله من فضله ويستبشرون بالذين لم يلحقوا بهم من خلفهم ألا خوف عليهم ولا هم يحزنون
(3:172:13:2)	3	172	wqy	VIII	PERF	3MP	NONDIVINE	>ajor	S-EXPL	0	0	الذين استجابوا لله والرسول من بعد ما أصابهم القرح ۚ للذين أحسنوا منهم واتقوا أجر عظيم
(3:172:8:1)	3	172	Swb	IV	PERF	3MS	NONDIVINE	qaroH	S-EXPL	1	1	الذين استجابوا لله والرسول من بعد ما أصابهم القرح ۚ للذين أحسنوا منهم واتقوا أجر عظيم
(3:173:10:2)	3	173	x$y	I	IMPV	2MP	NONDIVINE		S-2P	1	1	الذين قال لهم الناس إن الناس قد جمعوا لكم فاخشوهم فزادهم إيمانا وقالوا حسبنا الله ونعم الوكيل
(3:173:13:2)	3	173	qwl	I	PERF	3MP	NONDIVINE	Hasob	S-EXPL	0	1	الذين قال لهم الناس إن الناس قد جمعوا لكم فاخشوهم فزادهم إيمانا وقالوا حسبنا الله ونعم الوكيل
(3:173:16:2)	3	173	nEm	I	PERF	3MS	NONDIVINE	wakiyl	S-EXPL	0	0	الذين قال لهم الناس إن الناس قد جمعوا لكم فاخشوهم فزادهم إيمانا وقالوا حسبنا الله ونعم الوكيل
(3:173:2:1)	3	173	qwl	I	PERF	3MS	NONDIVINE	n~aAs	S-EXPL	0	1	الذين قال لهم الناس إن الناس قد جمعوا لكم فاخشوهم فزادهم إيمانا وقالوا حسبنا الله ونعم الوكيل
(3:174:7:1)	3	174	mss	I	IMPF	3MS	NONDIVINE	suw^'	S-EXPL	1	1	فانقلبوا بنعمة من الله وفضل لم يمسسهم سوء واتبعوا رضوان الله ۗ والله ذو فضل عظيم
(3:175:10:1)	3	175	kwn	I	PERF	2MP	NONDIVINE		S-2P	0	0	إنما ذلكم الشيطان يخوف أولياءه فلا تخافوهم وخافون إن كنتم مؤمنين
(3:175:7:1)	3	175	xwf	I	IMPF	2MP	NONDIVINE		S-2P	1	1	إنما ذلكم الشيطان يخوف أولياءه فلا تخافوهم وخافون إن كنتم مؤمنين
(3:175:8:2)	3	175	xwf	I	IMPV	2MP	NONDIVINE		S-2P	1	1	إنما ذلكم الشيطان يخوف أولياءه فلا تخافوهم وخافون إن كنتم مؤمنين
(3:176:12:1)	3	176	rwd	IV	IMPF	3MS	DIVINE	{ll~ah	S-EXPL	0	1	ولا يحزنك الذين يسارعون في الكفر ۚ إنهم لن يضروا الله شيئا ۗ يريد الله ألا يجعل لهم حظا في الآخرة ۖ ولهم عذاب عظيم
(3:178:11:1)	3	178	mlw	IV	IMPF	1P	DIVINE		S-1P	0	0	ولا يحسبن الذين كفروا أنما نملي لهم خير لأنفسهم ۚ إنما نملي لهم ليزدادوا إثما ۚ ولهم عذاب مهين
(3:178:6:1)	3	178	mlw	IV	IMPF	1P	DIVINE		S-1P	0	0	ولا يحسبن الذين كفروا أنما نملي لهم خير لأنفسهم ۚ إنما نملي لهم ليزدادوا إثما ۚ ولهم عذاب مهين
(3:179:16:1)	3	179	kwn	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	ما كان الله ليذر المؤمنين على ما أنتم عليه حتى يميز الخبيث من الطيب ۗ وما كان الله ليطلعكم على الغيب ولكن الله يجتبي من رسله من يشاء ۖ فآمنوا بالله ورسله ۚ وإن تؤمنوا وتتقوا فلكم أجر عظيم
(3:179:28:2)	3	179	Amn	IV	IMPV	2MP	NONDIVINE		S-2P	0	0	ما كان الله ليذر المؤمنين على ما أنتم عليه حتى يميز الخبيث من الطيب ۗ وما كان الله ليطلعكم على الغيب ولكن الله يجتبي من رسله من يشاء ۖ فآمنوا بالله ورسله ۚ وإن تؤمنوا وتتقوا فلكم أجر عظيم
(3:179:2:1)	3	179	kwn	I	PERF	3MS	DIVINE	{ll~ah	S-EXPL	0	0	ما كان الله ليذر المؤمنين على ما أنتم عليه حتى يميز الخبيث من الطيب ۗ وما كان الله ليطلعكم على الغيب ولكن الله يجتبي من رسله من يشاء ۖ فآمنوا بالله ورسله ۚ وإن تؤمنوا وتتقوا فلكم أجر عظيم
(3:179:32:1)	3	179	Amn	IV	IMPF	2MP	NONDIVINE		S-2P	0	0	ما كان الله ليذر المؤمنين على ما أنتم عليه حتى يميز الخبيث من الطيب ۗ وما كان الله ليطلعكم على الغيب ولكن الله يجتبي من رسله من يشاء ۖ فآمنوا بالله ورسله ۚ وإن تؤمنوا وتتقوا فلكم أجر عظيم
