root	causative_form	mutawaa_form	n_causative	divine_causative	rate_causative	n_mutawaa	divine_mutawaa	rate_mutawaa	direction	perfect_dissociation	causative_locations	mutawaa_locations
lqy	IV	VIII	33	6	0.1818	6	0	0.0	causative_more_divine	False	(2:195:6:1)=N;(3:151:1:2)=D;(5:64:27:2)=D;(7:115:5:1)=N;(7:116:2:1)=N;(7:117:5:1)=N;(10:80:7:1)=N;(12:10:7:2)=N;(12:93:4:2)=N;(15:19:3:2)=D;(20:19:2:1)=N;(20:20:1:2)=N;(20:39:8:3)=N;(20:65:5:1)=N;(20:66:3:1)=N;(20:69:1:2)=N;(20:87:14:1)=N;(22:52:12:1)=N;(22:52:19:1)=N;(22:53:3:1)=N;(26:43:4:1)=N;(26:45:1:2)=N;(27:10:1:2)=N;(27:28:4:2)=N;(28:7:10:2)=N;(28:31:2:1)=N;(37:97:5:2)=N;(38:34:4:2)=D;(50:7:3:2)=D;(50:24:1:1)=N;(50:26:7:2)=N;(60:1:9:1)=N;(73:5:2:2)=D	(3:13:7:1)=N;(3:155:6:1)=N;(3:166:4:1)=N;(8:41:27:1)=N;(8:44:4:1)=N;(54:12:4:2)=N
mtE	II	V	12	9	0.75	7	0	0.0	causative_more_divine	False	(2:236:14:2)=N;(10:98:19:2)=D;(11:48:13:2)=D;(15:88:6:1)=D;(20:131:6:1)=D;(21:44:2:1)=D;(25:18:14:1)=N;(26:205:3:1)=D;(28:61:8:1)=D;(31:24:1:1)=D;(33:49:19:2)=N;(37:148:2:2)=D	(11:65:3:1)=N;(14:30:8:1)=N;(16:55:4:2)=N;(30:34:4:2)=N;(39:8:28:1)=N;(51:43:6:1)=N;(77:46:2:2)=N
n$r	IV	VIII	1	1	1.0	3	0	0.0	causative_more_divine	True	(43:11:7:2)=D	(30:20:11:1)=N;(33:53:23:2)=N;(62:10:4:2)=N
njw	II	VI	30	24	0.8	3	0	0.0	causative_more_divine	False	(2:49:2:1)=D;(7:89:12:1)=D;(10:73:2:2)=D;(10:86:1:2)=N;(10:92:2:1)=D;(10:103:2:1)=D;(11:58:11:2)=D;(11:58:4:1)=D;(11:66:4:1)=D;(11:94:4:1)=D;(19:72:2:1)=D;(20:40:20:2)=D;(21:71:1:2)=D;(21:74:5:2)=D;(21:76:8:2)=D;(21:88:3:2)=D;(26:118:5:2)=N;(26:169:2:1)=N;(26:170:1:2)=D;(28:21:7:1)=N;(29:32:10:2)=D;(37:76:1:2)=D;(37:115:1:2)=D;(37:134:2:1)=D;(39:61:1:2)=D;(41:18:1:2)=D;(44:30:2:1)=D;(54:34:8:1)=D;(66:11:17:2)=N;(66:11:21:2)=N	(58:9:12:2)=N;(58:9:5:1)=N;(58:9:7:1)=N
njw	IV	VI	18	17	0.9444	3	0	0.0	causative_more_divine	False	(2:50:5:2)=D;(7:64:2:2)=D;(7:72:1:2)=D;(7:83:1:2)=D;(7:141:2:1)=D;(7:165:6:1)=D;(10:22:36:1)=N;(10:103:9:1)=D;(11:116:17:1)=D;(20:80:4:1)=D;(21:9:4:2)=D;(21:88:7:1)=D;(26:65:1:2)=D;(26:119:1:2)=D;(27:53:1:2)=D;(27:57:1:2)=D;(29:15:1:2)=D;(29:24:11:2)=D	(58:9:12:2)=N;(58:9:5:1)=N;(58:9:7:1)=N
nzl	II	V	23	20	0.8696	6	1	0.1667	causative_more_divine	False	(2:23:6:1)=D;(2:90:12:1)=D;(4:47:7:1)=D;(4:153:5:1)=N;(6:7:2:1)=D;(6:111:3:1)=D;(7:71:16:1)=D;(15:8:2:1)=D;(15:9:3:1)=D;(15:21:8:1)=D;(16:89:15:2)=D;(16:102:2:1)=N;(17:82:1:2)=D;(17:93:15:1)=N;(17:95:9:2)=D;(17:106:8:2)=D;(20:80:11:2)=D;(26:4:3:1)=D;(26:198:2:1)=D;(47:26:7:1)=D;(50:9:1:2)=D;(67:9:9:1)=D;(76:23:3:1)=D	(19:64:2:1)=D;(26:210:2:1)=N;(26:221:5:1)=N;(41:30:8:1)=N;(65:12:9:1)=N;(97:4:1:1)=N
nzl	IV	V	93	87	0.9355	6	1	0.1667	causative_more_divine	False	(2:57:4:2)=D;(2:59:9:2)=D;(2:90:8:1)=D;(2:91:6:1)=D;(2:99:2:1)=D;(2:159:5:1)=D;(2:164:18:1)=D;(2:170:6:1)=D;(2:174:5:1)=D;(3:53:4:1)=N;(4:61:7:1)=D;(4:105:2:1)=D;(4:113:19:2)=D;(4:174:8:2)=D;(5:44:2:1)=D;(5:44:37:1)=D;(5:45:27:1)=D;(5:47:12:1)=D;(5:47:5:1)=D;(5:48:16:1)=D;(5:48:1:2)=D;(5:49:16:1)=D;(5:49:5:1)=D;(5:104:7:1)=D;(5:114:7:1)=N;(6:8:7:1)=D;(6:91:9:1)=D;(6:92:3:1)=D;(6:93:21:1)=D;(6:155:3:1)=D;(7:26:4:1)=D;(7:57:17:2)=D;(7:160:29:2)=D;(8:41:21:1)=D;(9:26:2:1)=D;(9:40:24:2)=D;(9:97:10:1)=D;(10:24:6:1)=D;(10:59:4:1)=D;(10:94:6:1)=D;(12:2:2:1)=D;(12:40:11:1)=D;(13:37:2:1)=D;(14:1:3:1)=D;(15:22:4:2)=D;(15:90:2:1)=D;(16:24:5:1)=D;(16:30:5:1)=D;(16:44:3:2)=D;(16:64:2:1)=D;(17:102:5:1)=D;(17:105:2:1)=D;(18:45:7:1)=D;(20:2:2:1)=D;(20:113:2:1)=D;(21:10:2:1)=D;(21:50:4:1)=D;(22:5:60:1)=D;(22:16:2:1)=D;(23:18:1:2)=D;(23:29:3:1)=N;(24:1:2:1)=D;(24:1:4:2)=D;(24:34:2:1)=D;(24:46:2:1)=D;(25:48:9:2)=D;(28:24:11:1)=N;(29:47:2:1)=D;(29:51:4:1)=D;(30:35:2:1)=D;(31:10:18:2)=D;(31:21:6:1)=D;(36:15:8:1)=N;(36:28:2:1)=D;(38:29:2:1)=D;(39:2:2:1)=D;(39:41:2:1)=D;(41:39:8:1)=D;(42:15:12:1)=D;(44:3:2:1)=D;(45:5:5:1)=D;(47:9:5:1)=D;(48:26:10:2)=D;(53:23:9:1)=D;(56:69:2:1)=N;(57:25:12:2)=D;(57:25:5:2)=D;(58:5:13:1)=D;(59:21:2:1)=D;(64:8:6:1)=D;(65:10:13:1)=D;(78:14:1:2)=D;(97:1:2:1)=D	(19:64:2:1)=D;(26:210:2:1)=N;(26:221:5:1)=N;(41:30:8:1)=N;(65:12:9:1)=N;(97:4:1:1)=N
qTE	II	V	3	2	0.6667	2	0	0.0	causative_more_divine	False	(7:160:1:2)=D;(7:168:1:2)=D;(47:22:9:2)=N	(2:166:10:2)=N;(9:110:11:1)=N
qbl	IV	V	7	1	0.1429	6	3	0.5	mutawaa_more_divine	False	(12:82:8:1)=D;(28:31:14:1)=N;(37:27:1:2)=N;(37:50:1:2)=N;(51:29:1:2)=N;(52:25:1:2)=N;(68:30:1:2)=N	(2:127:9:1)=N;(3:35:13:2)=N;(3:37:1:2)=D;(5:27:21:1)=D;(14:40:8:2)=N;(46:16:3:1)=D
qlb	II	V	4	3	0.75	1	0	0.0	causative_more_divine	False	(6:110:1:2)=D;(18:18:5:2)=D;(18:42:4:1)=N;(24:44:1:1)=D	(24:37:16:1)=N
