root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
Enq,عنق,9,8,9,8,40,7,2
knz,كنز,9,6,7,9,28,6,3
Erj,عرج,9,8,9,15,70,6,3
zny,زني,9,4,5,17,60,2,7
q*f,قذف,9,6,8,20,59,7,2
SHf,صحف,9,8,9,20,98,8,1
frj,فرج,9,8,9,21,77,5,4
xtm,ختم,8,7,8,2,83,6,2
hbT,هبط,8,4,8,2,20,4,4
SfH,صفح,8,6,7,2,64,4,4
brhn,برهن,8,7,8,2,28,6,2
rgb,رغب,8,7,8,2,94,4,4
klf,كلف,8,7,8,2,65,4,4
bht,بهت,8,6,8,2,60,1,7
wbl,وبل,8,6,7,2,73,1,7
slf,سلف,8,7,8,2,69,3,5
Eqr,عقر,8,7,8,3,91,7,1
xms,خمس,8,7,8,3,70,3,5
xwl,خول,8,5,6,4,39,3,5
Slb,صلب,8,7,8,4,86,5,3
frT,فرط,8,6,8,6,39,8,0
DrE,ضرع,8,4,8,6,88,8,0
sqT,سقط,8,8,8,6,52,7,1
xDr,خضر,8,7,8,6,76,5,3
lTf,لطف,8,8,8,6,67,6,2
Ey$,عيش,8,8,8,7,101,8,0
dll,دلل,8,6,8,7,61,7,1
Hjb,حجب,8,8,8,7,83,7,1
stt,ستت,8,8,8,7,58,6,2
rjf,رجف,8,5,7,7,79,7,1
gbr,غبر,8,7,8,7,80,8,0
qbr,قبر,8,8,8,9,102,5,3
sry,سري,8,8,8,11,89,8,0
trf,ترف,8,7,8,11,56,8,0
xsf,خسف,8,7,8,16,75,8,0
Swt,صوت,8,4,5,17,49,5,3
Emh,عمه,7,7,7,2,27,6,1
xTf,خطف,7,6,6,2,37,4,3
qsw,قسو,7,6,6,2,57,2,5
nsk,نسك,7,3,6,2,22,1,6
xmr,خمر,7,5,7,2,47,2,5
fyA,فيا,7,5,6,2,59,1,6
bEl,بعل,7,5,5,2,37,2,5
srH,سرح,7,3,5,2,33,1,6
Eqd,عقد,7,5,7,2,113,2,5
nSf,نصف,7,3,7,2,73,2,5
grf,غرف,7,5,5,2,39,5,2
bxs,بخس,7,6,7,2,72,6,1
Hbl,حبل,7,5,6,3,111,4,3
HZZ,حظظ,7,5,7,3,41,2,5
skr,سكر,7,5,6,4,50,4,3
brj,برج,7,6,6,4,85,3,4
Emd,عمد,7,7,7,4,104,3,4
Elq,علق,7,6,6,4,96,5,2
Asw,اسو,7,5,7,5,60,1,6
ndm,ندم,7,6,7,5,49,4,3
zyt,زيت,7,5,6,6,95,5,2
nwq,نوق,7,6,7,7,91,7,0
DHw,ضحو,7,5,7,7,93,7,0
nkv,نكث,7,5,6,7,48,3,4
dkk,دكك,7,4,4,7,89,7,0
bky,بكي,7,6,7,9,53,6,1
ESf,عصف,7,6,6,10,105,6,1
mwj,موج,7,5,6,10,31,5,2
bDE,بضع,7,2,6,12,30,7,0
wEy,وعي,7,4,4,12,84,7,0
mkv,مكث,7,7,7,13,43,6,1
tsE,تسع,7,5,6,17,74,7,0
DwA,ضوا,6,5,6,2,28,3,3
bkm,بكم,6,5,6,2,17,3,3
brq,برق,6,5,6,2,75,2,4
fr$,فرش,6,6,6,2,101,4,2
ndd,ندد,6,5,6,2,41,4,2
Hrf,حرف,6,5,6,2,22,0,6
Asr,اسر,6,4,6,2,76,0,6
krr,كرر,6,6,6,2,79,5,1
Ady,ادي,6,4,5,2,44,1,5
vqf,ثقف,6,6,6,2,60,0,6
HSr,حصر,6,5,6,2,17,1,5
zlzl,زلزل,6,4,4,2,99,0,6
xlT,خلط,6,6,6,2,38,4,2
frg,فرغ,6,6,6,2,94,4,2
Hmr,حمر,6,6,6,2,74,4,2
dAb,داب,6,5,6,3,40,3,3
Hss,حسس,6,4,6,3,21,4,2
drs,درس,6,5,6,3,68,5,1
Srr,صرر,6,5,6,3,71,4,2
kZm,كظم,6,6,6,3,68,5,1
lHq,لحق,6,6,6,3,62,4,2
sdd,سدد,6,4,5,4,36,4,2
mqt,مقت,6,4,5,4,61,4,2
myl,ميل,6,1,3,4,4,0,6
fxr,فخر,6,5,6,4,57,2,4
Syd,صيد,6,1,5,5,5,0,6
rdy,ردي,6,6,6,5,92,5,1
klb,كلب,6,3,4,5,18,5,1
Hbr,حبر,6,4,6,5,43,2,4
qSd,قصد,6,5,6,5,35,4,2
Hmy,حمي,6,5,5,5,101,2,4
*rA,ذرا,6,6,6,6,67,6,0
HSd,حصد,6,6,6,6,50,6,0
tbr,تبر,6,4,4,7,71,6,0
lwH,لوح,6,4,6,7,85,6,0
lHd,لحد,6,6,6,7,72,5,1
nzg,نزغ,6,4,4,7,41,6,0
rSd,رصد,6,4,6,9,89,4,2
$fy,شفي,6,6,6,9,41,5,1
wTA,وطا,6,4,5,9,73,1,5
grm,غرم,6,5,6,9,68,4,2
Dyf,ضيف,6,5,6,11,54,6,0
qmS,قمص,6,1,6,12,12,6,0
qnT,قنط,6,5,6,15,42,6,0
khf,كهف,6,1,6,18,18,6,0
zwr,زور,6,5,6,18,102,4,2
mhl,مهل,6,5,5,18,86,6,0
fzE,فزع,6,4,6,21,38,6,0
lAlA,لالا,6,6,6,22,76,3,3
mrj,مرج,6,3,6,25,55,2,4
HTm,حطم,6,5,6,27,104,5,1
zjr,زجر,6,3,5,37,79,6,0
kAs,كاس,6,5,6,37,78,4,2
xdE,خدع,5,3,3,2,8,0,5
Evw,عثو,5,5,5,2,29,4,1
mSr,مصر,5,4,5,2,43,4,1
nkl,نكل,5,5,5,2,79,2,3
Sfr,صفر,5,5,5,2,77,3,2
vwr,ثور,5,4,5,2,100,4,1
drA,درا,5,5,5,2,28,1,4
qfw,قفو,5,4,4,2,57,1,4
HrS,حرص,5,5,5,2,16,2,3
Hsd,حسد,5,4,4,2,113,2,3
sbT,سبط,5,4,5,2,7,1,4
wsT,وسط,5,4,5,2,100,2,3
$Tr,شطر,5,1,3,2,2,0,5
jwE,جوع,5,5,5,2,106,4,1
xTw,خطو,5,3,4,2,24,1,4
xnzr,خنزر,5,4,5,2,16,2,3
hll,هلل,5,4,5,2,16,2,3
kml,كمل,5,3,5,2,16,1,4
Ent,عنت,5,5,5,2,49,0,5
ksw,كسو,5,4,5,2,23,1,4
qtr,قتر,5,5,5,2,80,4,1
jwz,جوز,5,5,5,2,46,4,1
xwy,خوي,5,5,5,2,69,3,2
n$z,نشز,5,3,4,2,58,0,5
snbl,سنبل,5,2,4,2,12,3,2
ESr,عصر,5,4,5,2,103,4,1
lwy,لوي,5,3,5,3,63,0,5
nq*,نقذ,5,4,5,3,39,3,2
bgD,بغض,5,3,5,3,60,0,5
xyb,خيب,5,4,5,3,91,4,1
rEb,رعب,5,5,5,3,59,1,4
fwt,فوت,5,5,5,3,67,2,3
lyn,لين,5,5,5,3,59,3,2
rbT,ربط,5,4,5,3,28,2,3
sds,سدس,5,3,4,4,58,1,4
Emm,عمم,5,3,3,4,33,0,5
lms,لمس,5,5,5,4,72,2,3
Tms,طمس,5,5,5,4,77,4,1
rfq,رفق,5,3,5,4,18,3,2
mrd,مرد,5,5,5,4,37,2,3
HyS,حيص,5,5,5,4,50,4,1
$HH,شحح,5,4,4,4,64,0,5
$rE,شرع,5,4,5,5,45,4,1
myd,ميد,5,4,5,5,31,3,2
bls,بلس,5,4,5,6,43,5,0
Sdf,صدف,5,2,3,6,18,5,0
Trd,طرد,5,3,4,6,26,5,0
Snm,صنم,5,5,5,6,26,5,0
kwkb,كوكب,5,5,5,6,82,4,1
frd,فرد,5,4,5,6,34,5,0
qrf,قرف,5,3,4,6,42,4,1
xrS,خرص,5,4,5,6,51,5,0
$rH,شرح,5,5,5,6,94,5,0
wsws,وسوس,5,4,5,7,114,5,0
jvm,جثم,5,3,5,7,29,5,0
jlw,جلو,5,4,5,7,92,4,1
Asf,اسف,5,5,5,7,43,5,0
Hwt,حوت,5,4,5,7,68,5,0
wjl,وجل,5,4,5,8,23,3,2
gwv,غوث,5,4,4,8,46,4,1
mDy,مضي,5,5,5,8,43,4,1
qSw,قصو,5,5,5,8,36,4,1
*mm,ذمم,5,3,5,9,68,3,2
zhq,زهق,5,3,4,9,21,3,2
lzm,لزم,5,5,5,11,48,4,1
*rE,ذرع,5,4,4,11,69,5,0
ESb,عصب,5,4,5,11,28,4,1
qdd,قدد,5,2,5,12,72,5,0
qrE,قرع,5,3,5,13,101,4,1
Srx,صرخ,5,4,4,14,36,5,0
bwr,بور,5,4,5,14,48,4,1
qTr,قطر,5,5,5,14,55,3,2
$hb,شهب,5,4,5,15,72,5,0
SdE,صدع,5,5,5,15,86,4,1
Etb,عتب,5,4,4,16,45,5,0
nfd,نفد,5,4,4,16,38,5,0
HSb,حصب,5,5,5,17,67,5,0
ksf,كسف,5,5,5,17,52,5,0
vbr,ثبر,5,3,4,17,84,5,0
Ark,ارك,5,4,5,18,83,4,1
hzz,هزز,5,5,5,19,41,4,1
Twy,طوي,5,4,4,20,79,5,0
$tt,شتت,5,5,5,20,99,2,3
nsf,نسف,5,2,3,20,77,5,0
brd,برد,5,5,5,21,78,4,1
Sbb,صبب,5,4,4,22,89,4,1
dhn,دهن,5,4,4,23,68,4,1
wzE,وزع,5,3,5,27,46,5,0
fwj,فوج,5,5,5,27,110,4,1
zll,زلل,4,3,4,2,16,1,3
xsA,خسا,4,4,4,2,67,3,1
xSS,خصص,4,4,4,2,59,0,4
nsx,نسخ,4,4,4,2,45,2,2
hAt,هات,4,4,4,2,28,3,1
bdE,بدع,4,4,4,2,57,2,2
Twq,طوق,4,2,4,2,3,0,4
dlw,دلو,4,3,3,2,53,3,1
nsl,نسل,4,4,4,2,36,3,1
HyD,حيض,4,2,2,2,65,0,4
$wr,شور,4,4,4,2,42,2,2
Eff,عفف,4,3,4,2,24,0,4
qnTr,قنطر,4,2,3,3,4,0,4
Amd,امد,4,4,4,3,72,2,2
qlm,قلم,4,4,4,3,96,3,1
hyA,هيا,4,3,4,3,18,2,2
nml,نمل,4,2,2,3,27,3,1
f$l,فشل,4,2,4,3,8,0,4
fwr,فور,4,4,4,3,67,3,1
sxT,سخط,4,4,4,3,47,0,4
myz,ميز,4,4,4,3,67,2,2
hnA,هنا,4,4,4,4,77,3,1
sfH,سفح,4,3,4,4,6,1,3
wfq,وفق,4,3,4,4,78,2,2
gsl,غسل,4,4,4,4,69,2,2
msH,مسح,4,3,3,4,38,1,3
nqr,نقر,4,2,3,4,74,2,2
slH,سلح,4,1,1,4,4,0,4
qld,قلد,4,3,4,5,42,2,2
jrH,جرح,4,3,4,5,45,2,2
kEb,كعب,4,2,4,5,78,1,3
sHt,سحت,4,2,4,5,20,1,3
drr,درر,4,4,4,6,71,3,1
wqf,وقف,4,3,4,6,37,4,0
wrq,ورق,4,4,4,6,20,4,0
ybs,يبس,4,3,4,6,20,4,0
krb,كرب,4,3,4,6,37,4,0
Afl,افل,4,1,3,6,6,4,0
gmr,غمر,4,3,4,6,51,4,0
flq,فلق,4,3,4,6,113,4,0
wdE,ودع,4,4,4,6,93,3,1
xrq,خرق,4,3,3,6,18,4,0
zxrf,زخرف,4,4,4,6,43,4,0
lmm,لمم,4,4,4,6,89,3,1
dHr,دحر,4,3,4,7,37,4,0
smm,سمم,4,4,4,7,56,4,0
Tlb,طلب,4,3,3,7,22,2,2
nHt,نحت,4,4,4,7,37,4,0
jsd,جسد,4,4,4,7,38,4,0
nfl,نفل,4,3,3,8,21,2,2
rHb,رحب,4,2,4,9,38,2,2
gwr,غور,4,3,4,9,67,2,2
lmz,لمز,4,3,4,9,104,1,3
jdr,جدر,4,3,4,9,59,2,2
$An,شان,4,4,4,10,80,2,2
r*l,رذل,4,4,4,11,26,3,1
nSy,نصي,4,3,4,11,96,3,1
$yx,شيخ,4,4,4,11,40,4,0
mjd,مجد,4,3,4,11,85,4,0
rkn,ركن,4,3,4,11,51,4,0
sjl,سجل,4,4,4,11,105,4,0
tbb,تبب,4,3,3,11,111,4,0
swl,سول,4,3,4,12,47,3,1
smn,سمن,4,3,4,12,88,4,0
gyv,غيث,4,4,4,12,57,3,1
bwl,بول,4,3,4,12,47,2,2
jhz,جهز,4,1,2,12,12,4,0
rHl,رحل,4,2,4,12,106,4,0
srb,سرب,4,4,4,13,78,2,2
syl,سيل,4,2,3,13,34,2,2
zwl,زول,4,2,3,14,35,4,0
SlSl,صلصل,4,2,4,15,55,3,1
HmA,حما,4,2,4,15,18,4,0
xfD,خفض,4,4,4,15,56,4,0
sqf,سقف,4,4,4,16,52,4,0
dxr,دخر,4,4,4,16,40,4,0
Ejm,عجم,4,3,3,16,41,4,0
gsq,غسق,4,4,4,17,113,4,0
rqy,رقي,4,3,3,17,75,4,0
dHD,دحض,4,4,4,18,42,4,0
sfn,سفن,4,2,3,18,29,4,0
smr,سمر,4,2,4,20,23,4,0
Tfl,طفل,4,3,4,22,40,1,3
Eqm,عقم,4,3,4,22,51,3,1
ljj,لجج,4,4,4,23,67,3,1
gDD,غضض,4,3,4,24,49,1,3
Ewr,عور,4,2,3,24,33,0,4
rtl,رتل,4,2,2,25,73,4,0
srj,سرج,4,4,4,25,78,3,1
SrH,صرح,4,3,3,27,40,4,0
mhn,مهن,4,4,4,32,77,4,0
mzq,مزق,4,1,2,34,34,4,0
sdr,سدر,4,3,4,34,56,4,0
nEj,نعج,4,1,2,38,38,4,0
kwb,كوب,4,4,4,43,88,3,1
Tbq,طبق,4,3,3,67,84,4,0
rgd,رغد,3,2,3,2,16,1,2
slw,سلو,3,3,3,2,20,2,1
SbA,صبا,3,3,3,2,22,0,3
qrd,قرد,3,3,3,2,7,1,2
Sbg,صبغ,3,2,2,2,23,1,2
lfw,لفو,3,3,3,2,37,2,1
xyT,خيط,3,2,2,2,7,1,2
Hlq,حلق,3,3,3,2,56,1,2
hzm,هزم,3,3,3,2,54,2,1
Erw,عرو,3,3,3,2,31,2,1
jzA,جزا,3,3,3,2,43,2,1
sAm,سام,3,2,3,2,41,2,1
rhn,رهن,3,3,3,2,74,2,1
ASr,اصر,3,3,3,2,7,1,2
kbt,كبت,3,2,2,3,58,0,3
qrH,قرح,3,1,2,3,3,0,3
DjE,ضجع,3,3,3,3,32,1,2
x*l,خذل,3,3,3,3,25,2,1
ftl,فتل,3,2,3,4,17,1,2
HrD,حرض,3,3,3,4,12,1,2
nkf,نكف,3,1,2,4,4,0,3
bhm,بهم,3,2,3,5,22,0,3
$nA,شنا,3,2,3,5,108,1,2
nqb,نقب,3,3,3,5,50,2,1
Ezr,عزر,3,3,3,5,48,1,2
ftr,فتر,3,3,3,5,43,2,1
Anf,انف,3,2,2,5,47,0,3
TfA,طفا,3,3,3,5,61,0,3
nAy,ناي,3,3,3,6,41,3,0
rmn,رمن,3,2,3,6,55,2,1
Abl,ابل,3,3,3,6,105,3,0
Tfq,طفق,3,3,3,7,38,3,0
lqf,لقف,3,3,3,7,26,3,0
slx,سلخ,3,3,3,7,36,2,1
mtn,متن,3,3,3,7,68,3,0
Hfw,حفو,3,3,3,7,47,2,1
rdf,ردف,3,3,3,8,79,2,1
rkm,ركم,3,3,3,8,52,1,2
syH,سيح,3,2,3,9,66,0,3
ljA,لجا,3,2,3,9,42,1,2
Ass,اسس,3,1,2,9,9,0,3
ZmA,ظما,3,3,3,9,24,1,2
lft,لفت,3,3,3,10,15,3,0
xbt,خبت,3,2,3,11,22,1,2
wjs,وجس,3,3,3,11,51,3,0
nDd,نضد,3,3,3,11,56,3,0
rhT,رهط,3,2,3,11,27,3,0
zfr,زفر,3,3,3,11,25,3,0
*Ab,ذاب,3,1,3,12,12,3,0
Sbw,صبو,3,2,3,12,19,3,0
Dgv,ضغث,3,3,3,12,38,3,0
Hwj,حوج,3,3,3,12,59,2,1
Eyr,عير,3,1,3,12,12,3,0
fqd,فقد,3,2,3,12,27,3,0
brH,برح,3,3,3,12,20,3,0
$kw,شكو,3,3,3,12,58,1,2
zjw,زجو,3,3,3,12,24,2,1
zbd,زبد,3,1,1,13,13,0,3
mHw,محو,3,3,3,13,42,2,1
swg,سوغ,3,3,3,14,35,3,0
hTE,هطع,3,3,3,14,70,3,0
srbl,سربل,3,2,2,14,16,3,0
jAr,جار,3,2,3,16,23,3,0
Aff,افف,3,3,3,17,46,3,0
b*r,بذر,3,1,2,17,17,3,0
mrH,مرح,3,3,3,17,40,3,0
str,ستر,3,3,3,17,41,3,0
fzz,فزز,3,1,3,17,17,3,0
lff,لفف,3,3,3,17,78,3,0
*qn,ذقن,3,2,3,17,36,3,0
xft,خفت,3,3,3,17,68,3,0
rqm,رقم,3,2,3,18,83,3,0
$TT,شطط,3,3,3,18,72,3,0
wSd,وصد,3,3,3,18,104,3,0
*rw,ذرو,3,2,2,18,51,3,0
Sxr,صخر,3,3,3,18,89,3,0
$yb,شيب,3,3,3,19,73,3,0
j*E,جذع,3,2,3,19,20,3,0
jvw,جثو,3,2,3,19,45,3,0
qbs,قبس,3,3,3,20,57,2,1
Ery,عري,3,3,3,20,68,3,0
rkD,ركض,3,2,3,21,38,3,0
fjj,فجج,3,3,3,21,71,2,1
nks,نكس,3,3,3,21,36,3,0
mDg,مضغ,3,2,2,22,23,2,1
bhj,بهج,3,3,3,22,50,2,1
wvn,وثن,3,2,3,22,29,2,1
sll,سلل,3,3,3,23,32,2,1
wtr,وتر,3,3,3,23,89,2,1
hmz,همز,3,3,3,23,104,3,0
nsb,نسب,3,3,3,23,37,3,0
jyb,جيب,3,3,3,24,28,2,1
nvr,نثر,3,3,3,25,82,2,1
frt,فرت,3,3,3,25,77,3,0
Ajj,اجج,3,3,3,25,56,3,0
$Hn,شحن,3,3,3,26,37,3,0
Hdq,حدق,3,3,3,27,80,3,0
jdv,جدث,3,3,3,36,70,3,0
l**,لذذ,3,3,3,37,47,2,1
zqm,زقم,3,3,3,37,56,3,0
rwg,روغ,3,2,3,37,51,3,0
wtd,وتد,3,3,3,38,89,3,0
kwr,كور,3,2,2,39,81,3,0
Azf,ازف,3,2,2,40,53,3,0
slsl,سلسل,3,3,3,40,76,2,1
sjr,سجر,3,3,3,40,81,3,0
SrSr,صرصر,3,3,3,41,69,3,0
nHs,نحس,3,3,3,41,55,2,1
Afq,افق,3,3,3,41,81,3,0
mwr,مور,3,2,2,52,67,3,0
dEE,دعع,3,2,2,52,107,3,0
nf*,نفذ,3,1,1,55,55,0,3
$Am,شام,3,2,2,56,90,3,0
vll,ثلل,3,1,3,56,56,3,0
fsH,فسح,3,1,1,58,58,0,3
Srm,صرم,3,1,3,68,68,3,0
HDD,حضض,3,3,3,69,107,3,0
Ebs,عبس,3,3,3,74,80,2,1
nDr,نضر,3,3,3,75,83,2,1
mzj,مزج,3,2,3,76,83,1,2
lhb,لهب,3,2,3,77,111,3,0
rEd,رعد,2,2,2,2,13,0,2
SbE,صبع,2,2,2,2,71,1,1
sfk,سفك,2,1,2,2,2,0,2
HTT,حطط,2,2,2,2,7,1,1
glf,غلف,2,2,2,2,4,0,2
zHzH,زحزح,2,2,2,2,3,0,2
xrb,خرب,2,2,2,2,59,0,2
jnf,جنف,2,2,2,2,5,0,2
rfv,رفث,2,1,2,2,2,0,2
zwd,زود,2,1,1,2,2,0,2
ldd,لدد,2,2,2,2,19,1,1
Amw,امو,2,2,2,2,24,0,2
EDl,عضل,2,2,2,2,4,0,2
jsm,جسم,2,2,2,2,63,0,2
krs,كرس,2,2,2,2,38,1,1
mHq,محق,2,2,2,2,3,0,2
rsx,رسخ,2,2,2,3,4,0,2
khl,كهل,2,2,2,3,5,0,2
kmh,كمه,2,2,2,3,5,0,2
brS,برص,2,2,2,3,5,0,2
$fw,شفو,2,2,2,3,9,0,2
Hfr,حفر,2,2,2,3,79,1,1
xbl,خبل,2,2,2,3,9,0,2
EDD,عضض,2,2,2,3,25,1,1
dwl,دول,2,2,2,3,59,0,2
mHS,محص,2,1,2,3,3,0,2
kyn,كين,2,2,2,3,23,1,1
nEs,نعس,2,2,2,3,8,0,2
nHl,نحل,2,2,2,4,16,1,1
xdn,خدن,2,2,2,4,5,0,2
gwT,غوط,2,2,2,4,5,0,2
TEn,طعن,2,2,2,4,9,0,2
$yd,شيد,2,2,2,4,22,0,2
qwt,قوت,2,2,2,4,41,1,1
rks,ركس,2,1,2,4,4,0,2
Hw*,حوذ,2,2,2,4,58,0,2
ksl,كسل,2,2,2,4,9,0,2
glw,غلو,2,2,2,4,5,0,2
zlm,زلم,2,1,2,5,5,0,2
xmS,خمص,2,2,2,5,9,0,2
grw,غرو,2,2,2,5,33,0,2
wsl,وسل,2,2,2,5,17,1,1
hmn,همن,2,2,2,5,59,0,2
dmE,دمع,2,2,2,5,9,0,2
Hbs,حبس,2,2,2,5,11,1,1
Evr,عثر,2,2,2,5,18,1,1
qrTs,قرطس,2,1,2,6,6,2,0
rTb,رطب,2,2,2,6,19,2,0
bsl,بسل,2,1,1,6,6,2,0
bzg,بزغ,2,1,2,6,6,2,0
qdw,قدو,2,2,2,6,43,2,0
Sgw,صغو,2,2,2,6,66,1,1
Zfr,ظفر,2,2,2,6,48,1,1
Hwy,حوي,2,2,2,6,87,2,0
mlq,ملق,2,2,2,6,17,2,0
qyl,قيل,2,2,2,7,25,2,0
xSf,خصف,2,2,2,7,20,2,0
vEb,ثعب,2,2,2,7,26,2,0
jrd,جرد,2,2,2,7,54,2,0
xwr,خور,2,2,2,7,20,2,0
lhv,لهث,2,1,1,7,7,2,0
nSt,نصت,2,2,2,7,46,2,0
bnn,بنن,2,2,2,8,75,1,1
Sdy,صدي,2,2,2,8,80,1,1
bTr,بطر,2,2,2,8,28,1,1
nkS,نكص,2,2,2,8,23,1,1
vxn,ثخن,2,2,2,8,47,0,2
All,الل,2,1,2,9,9,0,2
Eyl,عيل,2,2,2,9,93,1,1
nsA,نسا,2,2,2,9,34,1,1
hwr,هور,2,1,1,9,9,0,2
Awh,اوه,2,2,2,9,11,1,1
Ezb,عزب,2,2,2,10,34,2,0
bdn,بدن,2,2,2,10,22,1,1
gyD,غيض,2,2,2,11,13,1,1
hrE,هرع,2,2,2,11,37,2,0
rfd,رفد,2,1,1,11,11,2,0
sEd,سعد,2,1,2,11,11,2,0
$hq,شهق,2,2,2,11,67,2,0
j**,جذذ,2,2,2,11,21,2,0
jbb,جبب,2,1,2,12,12,2,0
lqT,لقط,2,2,2,12,28,2,0
Hw$,حوش,2,1,2,12,12,2,0
Ejf,عجف,2,1,2,12,12,2,0
bEr,بعر,2,1,2,12,12,2,0
Snw,صنو,2,1,1,13,13,0,2
jzE,جزع,2,2,2,14,70,2,0
$xS,شخص,2,2,2,14,21,2,0
qnE,قنع,2,2,2,14,22,1,1
Sfd,صفد,2,2,2,14,38,2,0
Aml,امل,2,2,2,15,18,2,0
wsm,وسم,2,2,2,15,68,2,0
Trw,طرو,2,2,2,16,35,2,0
mxr,مخر,2,2,2,16,35,2,0
wSb,وصب,2,2,2,16,37,2,0
lbn,لبن,2,2,2,16,47,1,1
lmH,لمح,2,2,2,16,54,2,0
Avv,اثث,2,2,2,16,19,2,0
HZr,حظر,2,2,2,17,54,2,0
klw,كلو,2,2,2,17,18,2,0
qsTs,قسطس,2,2,2,17,26,2,0
rft,رفت,2,1,2,17,17,2,0
jlb,جلب,2,2,2,17,33,1,1
twr,تور,2,2,2,17,20,2,0
$kl,شكل,2,2,2,17,38,2,0
nbE,نبع,2,2,2,17,39,2,0
bxE,بخع,2,2,2,18,26,2,0
jrz,جرز,2,2,2,18,32,2,0
rqd,رقد,2,2,2,18,36,2,0
$wy,شوي,2,2,2,18,70,2,0
Hff,حفف,2,2,2,18,39,2,0
zlq,زلق,2,2,2,18,68,2,0
h$m,هشم,2,2,2,18,54,2,0
gdr,غدر,2,1,2,18,18,2,0
EDd,عضد,2,2,2,18,28,2,0
wbq,وبق,2,2,2,18,42,2,0
Hqb,حقب,2,2,2,18,78,2,0
gTw,غطو,2,2,2,18,50,2,0
jny,جني,2,2,2,19,55,1,1
Azz,ازز,2,1,1,19,19,2,0
Arb,ارب,2,2,2,20,24,1,1
Dmm,ضمم,2,2,2,20,28,2,0
Azr,ازر,2,2,2,20,48,1,1
qwE,قوع,2,2,2,20,24,1,1
hDm,هضم,2,2,2,20,26,2,0
xmd,خمد,2,2,2,21,36,2,0
xrdl,خردل,2,2,2,21,31,2,0
nf$,نفش,2,2,2,21,101,2,0
gwS,غوص,2,2,2,21,38,2,0
Shr,صهر,2,2,2,22,25,1,1
Etq,عتق,2,1,2,22,22,0,2
sHq,سحق,2,2,2,22,67,1,1
Err,عرر,2,2,2,22,48,0,2
ETl,عطل,2,2,2,22,81,1,1
*bb,ذبب,2,1,1,22,22,0,2
gvw,غثو,2,2,2,23,87,2,0
nkb,نكب,2,2,2,23,67,2,0
Ebv,عبث,2,2,2,23,26,2,0
zjj,زجج,2,1,1,24,24,0,2
wdq,ودق,2,2,2,24,30,1,1
hbw,هبو,2,2,2,25,56,2,0
rss,رسس,2,2,2,25,50,2,0
mlH,ملح,2,2,2,25,35,2,0
xDE,خضع,2,2,2,26,33,1,1
qly,قلي,2,2,2,26,93,2,0
hym,هيم,2,2,2,26,56,2,0
Hjz,حجز,2,2,2,27,69,2,0
kbb,كبب,2,2,2,27,67,2,0
$TA,شطا,2,2,2,28,48,1,1
srmd,سرمد,2,1,2,28,28,2,0
Enkb,عنكب,2,1,1,29,29,2,0
rwD,روض,2,2,2,30,42,2,0
xdd,خدد,2,2,2,31,85,2,0
sbg,سبغ,2,2,2,31,34,2,0
Hnjr,حنجر,2,2,2,33,40,1,1
wTr,وطر,2,1,1,33,33,0,2
lgb,لغب,2,2,2,35,50,2,0
$gl,شغل,2,2,2,36,48,1,1
rmm,رمم,2,2,2,36,51,2,0
vqb,ثقب,2,2,2,37,86,2,0
nzf,نزف,2,2,2,37,56,2,0
sqm,سقم,2,1,2,37,37,2,0
Hnv,حنث,2,2,2,38,56,2,0
qHm,قحم,2,2,2,38,90,2,0
hyj,هيج,2,2,2,39,57,1,1
zmr,زمر,2,1,2,39,39,2,0
dxn,دخن,2,2,2,41,44,2,0
qyD,قيض,2,2,2,41,43,2,0
kmm,كمم,2,2,2,41,55,1,1
brm,برم,2,1,1,43,43,2,0
gly,غلي,2,1,2,44,44,2,0
Etl,عتل,2,2,2,44,68,2,0
dhr,دهر,2,2,2,45,76,1,1
Eyy,عيي,2,2,2,46,50,2,0
Dgn,ضغن,2,1,2,47,47,0,2
mHn,محن,2,2,2,49,60,0,2
$Eb,شعب,2,2,2,49,77,1,1
shw,سهو,2,2,2,51,107,2,0
khn,كهن,2,2,2,52,69,2,0
A$r,اشر,2,1,2,54,54,2,0
jll,جلل,2,1,2,55,55,0,2
Tmv,طمث,2,1,2,55,55,0,2
rjj,رجج,2,1,1,56,56,2,0
bss,بسس,2,1,1,56,56,2,0
wjf,وجف,2,2,2,59,79,1,1
qTf,قطف,2,2,2,69,76,1,1
Ehn,عهن,2,2,2,70,101,2,0
HTb,حطب,2,2,2,72,111,2,0
lbd,لبد,2,2,2,72,90,2,0
btl,بتل,2,1,1,73,73,2,0
bsr,بسر,2,2,2,74,75,2,0
n$T,نشط,2,1,1,79,79,2,0
xns,خنس,2,2,2,81,114,2,0
bEvr,بعثر,2,2,2,82,100,2,0
kdH,كدح,2,1,1,84,84,2,0
wsq,وسق,2,1,2,84,84,2,0
fkk,فكك,2,2,2,90,98,1,1
rbH,ربح,1,1,1,2,2,0,1
bql,بقل,1,1,1,2,2,0,1
qvA,قثا,1,1,1,2,2,0,1
fwm,فوم,1,1,1,2,2,0,1
Eds,عدس,1,1,1,2,2,0,1
bSl,بصل,1,1,1,2,2,0,1
fqE,فقع,1,1,1,2,2,0,1
w$y,وشي,1,1,1,2,2,0,1
nEq,نعق,1,1,1,2,2,0,1
wsn,وسن,1,1,1,2,2,0,1
Awd,اود,1,1,1,2,2,0,1
