root,root_arabic,total_occurrences,n_surahs,n_verses,first_surah,last_surah,meccan_count,medinan_count
Alm,الم,75,42,73,2,84,36,39
klm,كلم,75,32,71,2,78,46,29
$kr,شكر,75,35,69,2,76,55,20
Drr,ضرر,74,31,70,2,72,43,31
bAs,باس,73,33,70,2,67,36,37
rDw,رضو,73,32,64,2,101,21,52
byt,بيت,73,29,54,2,106,28,45
rjl,رجل,73,32,66,2,72,44,29
gny,غني,73,44,72,2,111,46,27
frq,فرق,72,30,66,2,98,30,42
ymn,يمن,71,34,63,2,90,40,31
mtE,متع,70,38,65,2,80,43,27
Erf,عرف,70,26,62,2,83,20,50
Elw,علو,70,41,68,2,92,55,15
wkl,وكل,70,29,61,3,73,44,26
skn,سكن,69,40,66,2,107,39,30
Znn,ظنن,69,32,57,2,84,48,21
wHd,وحد,68,35,67,2,79,49,19
hlk,هلك,68,40,63,2,90,57,11
bEv,بعث,67,33,64,2,91,49,18
ksb,كسب,67,27,60,2,111,38,29
wfy,وفي,66,27,64,2,83,35,31
jrm,جرم,66,36,65,5,83,60,6
xsr,خسر,65,35,60,2,103,46,19
Eyn,عين,65,37,63,2,102,51,14
jry,جري,64,43,64,2,98,31,33
Hml,حمل,64,29,50,2,111,41,23
Hmd,حمد,63,40,61,1,110,50,13
mwh,موه,63,41,60,2,86,48,15
tlw,تلو,63,33,61,2,98,36,27
sHr,سحر,63,27,59,2,74,59,4
qDy,قضي,63,29,59,2,80,49,14
Ewd,عود,63,39,58,2,89,51,12
*wq,ذوق,63,32,61,3,78,48,15
zyd,زيد,61,32,59,2,78,40,21
mss,مسس,61,29,57,2,70,43,18
gyb,غيب,60,35,59,2,82,42,18
ftn,فتن,60,32,58,2,85,34,26
fry,فري,60,24,54,3,61,53,7
zkw,زكو,59,29,56,2,98,25,34
nsw,نسو,59,16,53,2,65,9,50
Zhr,ظهر,59,30,57,2,94,33,26
rdd,ردد,59,30,57,2,95,35,24
Drb,ضرب,58,28,54,2,73,30,28
Edd,عدد,57,26,50,2,104,21,36
qry,قري,57,26,54,2,65,47,10
rwH,روح,57,40,52,2,97,45,12
*hb,ذهب,56,30,56,2,81,36,20
nhy,نهي,56,26,54,2,96,28,28
Ajl,اجل,56,29,48,2,77,39,17
dwr,دور,55,27,53,2,71,28,27
fsq,فسق,54,23,54,2,63,20,34
ndw,ندو,53,26,50,2,96,45,8
xbr,خبر,52,31,52,2,100,24,28
DEf,ضعف,52,21,45,2,72,25,27
tHt,تحت,51,30,50,2,98,20,31
Hll,حلل,51,21,43,2,90,13,38
