surah_a	surah_b	sim
14	19	0.3333
14	21	0.2857
14	26	0.3333
14	37	0.3333
19	21	0.4286
19	26	0.6667
19	37	0.3333
21	26	0.2857
21	37	0.1429
26	37	0.5000
