surah,N,intra_any,intra_strong,intra_strict,classical_1_2,classical_3_2,classical_3_1,inter_shifts,inter_strict,total_iltifat,total_strict,density,density_strict,primary_hist
102,8,2,0,0,0,2,0,1,1,3,1,0.3750,0.1250,"{""3"": 1, ""2"": 7}"
103,3,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,"{""3"": 1}"
104,9,1,0,0,0,1,0,0,0,1,0,0.1111,0.0000,"{""3"": 6}"
105,5,1,0,1,0,1,0,1,1,2,2,0.4000,0.4000,"{""2"": 1, ""3"": 4}"
106,4,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,"{""3"": 3}"
107,7,1,0,1,0,1,0,1,1,2,2,0.2857,0.2857,"{""2"": 1, ""3"": 5}"
108,3,2,0,0,1,1,0,1,1,3,1,1.0000,0.3333,"{""1"": 1, ""2"": 2}"
109,6,5,0,4,5,0,0,4,4,9,8,1.5000,1.3333,"{""2"": 4, ""1"": 2}"
110,3,2,0,2,0,2,0,1,1,3,3,1.0000,1.0000,"{""3"": 1, ""2"": 2}"
111,5,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,"{""3"": 5}"
112,4,1,0,1,0,1,0,1,1,2,2,0.5000,0.5000,"{""2"": 1, ""3"": 2}"
113,5,1,0,1,1,0,0,1,1,2,2,0.4000,0.4000,"{""2"": 1, ""3"": 3}"
114,6,1,0,1,1,0,0,1,1,2,2,0.3333,0.3333,"{""2"": 1, ""3"": 1}"
