count,kind,n_items,items_buckwalter,items_arabic,pos_summary,sample_translations
80,lemma,2,bunaY~ | >akovar,بُنَىّ | أَكْثَر,bunaY~=N; >akovar=N,"bunaY~: O Children of Israel, remember My favor which I have bestowed upon you and fulfi || >akovar: Is it not [true] that every time they took a covenant a party of them threw it a"
78,lemma,3,>aSoHa`b | tawal~aY` | samiEa,أَصْحَٰب | تَوَلَّىٰ | سَمِعَ,>aSoHa`b=N; tawal~aY`=V; samiEa=V,">aSoHa`b: And those who disbelieve and deny Our signs - those will be companions of the Fi || tawal~aY`: Then you turned away after that. And if not for the favor of Allah upon you and  || samiEa: Do you covet [the hope, O believers], that they would believe for you while a pa"
78,root,2,wjh | wHy,وجه | وحي,,
77,lemma,2,>amara | jahan~am,أَمَرَ | جَهَنَّم,>amara=V; jahan~am=PN,">amara: Who break the covenant of Allah after contracting it and sever that which Allah  || jahan~am: And when it is said to him, ""Fear Allah,"" pride in the sin takes hold of him. Su"
77,root,2,Swb | blg,صوب | بلغ,,
76,lemma,4,zawoj | daxala | Hayaw`p | *ikor,زَوْج | دَخَلَ | حَيَوٰة | ذِكْر,zawoj=N; daxala=V; Hayaw`p=N; *ikor=N,"zawoj: And give good tidings to those who believe and do righteous deeds that they will || daxala: And [recall] when We said, ""Enter this city and eat from it wherever you will in || Hayaw`p: Then, you are those [same ones who are] killing one another and evicting a party || *ikor: And when you have completed your rites, remember Allah like your [previous] reme"
75,lemma,4,mivol | n~abiY~ | lawolaA^ | >ax,مِثْل | نَّبِىّ | لَوْلَا^ | أَخ,mivol=N; n~abiY~=N; lawolaA^=EXH; >ax=N,"mivol: And if you are in doubt about what We have sent down upon Our Servant [Muhammad] || n~abiY~: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || lawolaA^: Then you turned away after that. And if not for the favor of Allah upon you and  || >ax: O you who have believed, prescribed for you is legal retribution for those murde"
75,root,3,Alm | klm | $kr,الم | كلم | شكر,,
74,lemma,3,xa`lid | firoEawon | >aHad,خَٰلِد | فِرْعَوْن | أَحَد,xa`lid=N; firoEawon=PN; >aHad=N,"xa`lid: And give good tidings to those who believe and do righteous deeds that they will || firoEawon: And [recall] when We saved your forefathers from the people of Pharaoh, who affl || >aHad: And you will surely find them the most greedy of people for life - [even] more t"
73,lemma,3,Ea`lamiyn | la`kin | jazaY`,عَٰلَمِين | لَٰكِن | جَزَىٰ,Ea`lamiyn=N; la`kin=AMD; jazaY`=V,"Ea`lamiyn: [All] praise is [due] to Allah, Lord of the worlds - || la`kin: Unquestionably, it is they who are the corrupters, but they perceive [it] not. || jazaY`: And fear a Day when no soul will suffice for another soul at all, nor will inter"
73,root,5,bAs | rDw | byt | rjl | gny,باس | رضو | بيت | رجل | غني,,
72,lemma,4,>aliym | wajoh | >aTaAEa | >awoHaY`^,أَلِيم | وَجْه | أَطَاعَ | أَوْحَىٰ^,>aliym=ADJ; wajoh=N; >aTaAEa=V; >awoHaY`^=V,">aliym: In their hearts is disease, so Allah has increased their disease; and for them i || wajoh: Yes [on the contrary], whoever submits his face in Islam to Allah while being a  || >aTaAEa: The Messenger has believed in what was revealed to him from his Lord, and [so ha || >awoHaY`^: That is from the news of the unseen which We reveal to you, [O Muhammad]. And yo"
71,lemma,5,<insa`n | bay~inap | >a$oraka | Eamal | >aloqaY`^,إِنسَٰن | بَيِّنَة | أَشْرَكَ | عَمَل | أَلْقَىٰ^,<insa`n=N; bay~inap=N; >a$oraka=V; Eamal=N; >aloqaY`^=V,"<insa`n: And [recall] when Moses prayed for water for his people, so We said, ""Strike wit || bay~inap: And We did certainly give Moses the Torah and followed up after him with messeng || >a$oraka: And you will surely find them the most greedy of people for life - [even] more t || Eamal: Say, [O Muhammad], ""Do you argue with us about Allah while He is our Lord and yo || >aloqaY`^: And spend in the way of Allah and do not throw [yourselves] with your [own] hand"
70,lemma,6,qaliyl | qiya`map | A^xar | quro'aAn | waEada | yawoma}i*,قَلِيل | قِيَٰمَة | ا^خَر | قُرْءَان | وَعَدَ | يَوْمَئِذ,qaliyl=N; qiya`map=N; A^xar=N; quro'aAn=PN; waEada=V; yawoma}i*=T,"qaliyl: And believe in what I have sent down confirming that which is [already] with you || qiya`map: Then, you are those [same ones who are] killing one another and evicting a party || A^xar: [Fasting for] a limited number of days. So whoever among you is ill or on a jour || quro'aAn: The month of Ramadhan [is that] in which was revealed the Qur'an, a guidance for || waEada: Satan threatens you with poverty and orders you to immorality, while Allah promi || yawoma}i*: And that He might make evi"
70,root,4,mtE | Erf | Elw | wkl,متع | عرف | علو | وكل,,
69,root,2,skn | Znn,سكن | ظنن,,
68,root,2,wHd | hlk,وحد | هلك,,
67,root,2,bEv | ksb,بعث | كسب,,
66,root,2,wfy | jrm,وفي | جرم,,
65,lemma,4,gafara | Sa`liH | bayot | yamiyn,غَفَرَ | صَٰلِح | بَيْت | يَمِين,gafara=V; Sa`liH=N; bayot=N; yamiyn=N,"gafara: And [recall] when We said, ""Enter this city and eat from it wherever you will in || Sa`liH: Indeed, those who believed and those who were Jews or Christians or Sabeans [bef || bayot: And [mention] when We made the House a place of return for the people and [a pla || yamiyn: And do not make [your oath by] Allah an excuse against being righteous and feari"
65,root,2,xsr | Eyn,خسر | عين,,
64,lemma,5,>aDal~a | >um~ap | A^baA' | >aSaAba | >aHobabo,أَضَلَّ | أُمَّة | ا^بَاء | أَصَابَ | أَحْبَبْ,>aDal~a=V; >um~ap=N; A^baA'=N; >aSaAba=V; >aHobabo=V,">aDal~a: Indeed, Allah is not timid to present an example - that of a mosquito or what is || >um~ap: Our Lord, and make us Muslims [in submission] to You and from our descendants a  || A^baA': Or were you witnesses when death approached Jacob, when he said to his sons, ""Wh || >aSaAba: Who, when disaster strikes them, say, ""Indeed we belong to Allah, and indeed to  || >aHobabo: And [yet], among the people are those who take other than Allah as equals [to Hi"
64,root,2,jry | Hml,جري | حمل,,
63,lemma,4,maA^' | kaviyr | taAba | {bon,مَا^ء | كَثِير | تَابَ | ٱبْن,maA^'=N; kaviyr=N; taAba=V; {bon=N,"maA^': [He] who made for you the earth a bed [spread out] and the sky a ceiling and sen || kaviyr: Indeed, Allah is not timid to present an example - that of a mosquito or what is || taAba: Then Adam received from his Lord [some] words, and He accepted his repentance. I || {bon: And [recall] when We saved your forefathers from the people of Pharaoh, who affl"
63,root,7,Hmd | mwh | tlw | sHr | qDy | Ewd | *wq,حمد | موه | تلو | سحر | قضي | عود | ذوق,,
62,lemma,3,naz~ala | S~a`liHa`t | kasaba,نَزَّلَ | صَّٰلِحَٰت | كَسَبَ,naz~ala=V; S~a`liHa`t=N; kasaba=V,"naz~ala: And if you are in doubt about what We have sent down upon Our Servant [Muhammad] || S~a`liHa`t: And give good tidings to those who believe and do righteous deeds that they will || kasaba: So woe to those who write the ""scripture"" with their own hands, then say, ""This "
61,lemma,2,razaqa | talaY`,رَزَقَ | تَلَىٰ,razaqa=V; talaY`=V,"razaqa: Who believe in the unseen, establish prayer, and spend out of what We have provi || talaY`: Do you order righteousness of the people and forget yourselves while you recite "
61,root,2,zyd | mss,زيد | مسس,,
60,root,3,gyb | ftn | fry,غيب | فتن | فري,,
59,lemma,4,SaAdiq | naSara | nisaA^' | qaDaY`^,صَادِق | نَصَرَ | نِسَا^ء | قَضَىٰ^,SaAdiq=N; naSara=V; nisaA^'=N; qaDaY`^=V,"SaAdiq: And if you are in doubt about what We have sent down upon Our Servant [Muhammad] || naSara: And fear a Day when no soul will suffice for another soul at all, nor will inter || nisaA^': And [recall] when We saved your forefathers from the people of Pharaoh, who affl || qaDaY`^: Originator of the heavens and the earth. When He decrees a matter, He only says "
59,root,4,zkw | nsw | Zhr | rdd,زكو | نسو | ظهر | ردد,,
58,lemma,2,Sabara | na*iyr,صَبَرَ | نَذِير,Sabara=V; na*iyr=N,"Sabara: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || na*iyr: Indeed, We have sent you, [O Muhammad], with the truth as a bringer of good tidi"
57,lemma,6,r~aHoma`n | jarayo | qaroyap | Eayon | la`kin~ | nahaAr,رَّحْمَٰن | جَرَيْ | قَرْيَة | عَيْن | لَٰكِنّ | نَهَار,r~aHoma`n=N; jarayo=V; qaroyap=N; Eayon=N; la`kin~=ACC; nahaAr=N,"r~aHoma`n: In the name of Allah, the Entirely Merciful, the Especially Merciful. || jarayo: And give good tidings to those who believe and do righteous deeds that they will || qaroyap: And [recall] when We said, ""Enter this city and eat from it wherever you will in || Eayon: And [recall] when Moses prayed for water for his people, so We said, ""Strike wit || la`kin~: And they followed [instead] what the devils had recited during the reign of Solo || nahaAr: Indeed, in the creation of the heavens "
57,root,3,Edd | qry | rwH,عدد | قري | روح,,
56,lemma,4,$ahiyd | mas~a | walad | $adiyd,شَهِيد | مَسَّ | وَلَد | شَدِيد,$ahiyd=N; mas~a=V; walad=N; $adiyd=ADJ,"$ahiyd: And if you are in doubt about what We have sent down upon Our Servant [Muhammad] || mas~a: And they say, ""Never will the Fire touch us, except for a few days."" Say, ""Have  || walad: They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whateve || $adiyd: And [yet], among the people are those who take other than Allah as equals [to Hi"
56,root,3,*hb | nhy | Ajl,ذهب | نهي | اجل,,
55,lemma,3,rizoq | Daraba | >am~aA,رِزْق | ضَرَبَ | أَمَّا,rizoq=N; Daraba=V; >am~aA=EXL,"rizoq: [He] who made for you the earth a bed [spread out] and the sky a ceiling and sen || Daraba: Indeed, Allah is not timid to present an example - that of a mosquito or what is || >am~aA: Indeed, Allah is not timid to present an example - that of a mosquito or what is"
54,lemma,3,>aqaAma | nahar | qa`tala,أَقَامَ | نَهَر | قَٰتَلَ,>aqaAma=V; nahar=N; qa`tala=V,">aqaAma: Who believe in the unseen, establish prayer, and spend out of what We have provi || nahar: And give good tidings to those who believe and do righteous deeds that they will || qa`tala: Fight in the way of Allah those who fight you but do not transgress. Indeed. All"
53,lemma,3,jamiyE | xaraja | Dal~a,جَمِيع | خَرَجَ | ضَلَّ,jamiyE=N; xaraja=V; Dal~a=V,"jamiyE: It is He who created for you all of that which is on the earth. Then He directed || xaraja: Then your hearts became hardened after that, being like stones or even harder. F || Dal~a: Or do you intend to ask your Messenger as Moses was asked before? And whoever ex"
52,lemma,4,baEava | xaloq | >ajal | mujorim,بَعَثَ | خَلْق | أَجَل | مُجْرِم,baEava=V; xaloq=N; >ajal=N; mujorim=N,"baEava: Then We revived you after your death that perhaps you would be grateful. || xaloq: Indeed, in the creation of the heavens and earth, and the alternation of the nig || >ajal: And when you divorce women and they have [nearly] fulfilled their term, either r || mujorim: And thus do We detail the verses, and [thus] the way of the criminals will becom"
52,root,2,xbr | DEf,خبر | ضعف,,
51,lemma,5,taHot | >aHoyaA | baSiyr | >aholaka | ta*ak~ara,تَحْت | أَحْيَا | بَصِير | أَهْلَكَ | تَذَكَّرَ,taHot=N; >aHoyaA=V; baSiyr=N; >aholaka=V; ta*ak~ara=V,"taHot: And give good tidings to those who believe and do righteous deeds that they will || >aHoyaA: How can you disbelieve in Allah when you were lifeless and He brought you to lif || baSiyr: And you will surely find them the most greedy of people for life - [even] more t || >aholaka: And when he goes away, he strives throughout the land to cause corruption therei || ta*ak~ara: And do not marry polytheistic women until they believe. And a believing slave wo"
51,root,2,tHt | Hll,تحت | حلل,,
50,lemma,5,mawot | Eaduw~ | niEomap | suw^' | {fotaraY`,مَوْت | عَدُوّ | نِعْمَة | سُو^ء | ٱفْتَرَىٰ,mawot=N; Eaduw~=N; niEomap=N; suw^'=N; {fotaraY`=V,"mawot: Or [it is] like a rainstorm from the sky within which is darkness, thunder and l || Eaduw~: But Satan caused them to slip out of it and removed them from that [condition] i || niEomap: O Children of Israel, remember My favor which I have bestowed upon you and fulfi || suw^': And [recall] when We saved your forefathers from the people of Pharaoh, who affl || {fotaraY`: That is because they say, ""Never will the Fire touch us except for [a few] numbe"
50,root,3,fsd | Tyb | nfE,فسد | طيب | نفع,,
49,lemma,7,mut~aqiyn | gayob | zaAda | Eaqalu | kataba | >aEolam | waEod,مُتَّقِين | غَيْب | زَادَ | عَقَلُ | كَتَبَ | أَعْلَم | وَعْد,mut~aqiyn=N; gayob=N; zaAda=V; Eaqalu=V; kataba=V; >aEolam=N; waEod=N,"mut~aqiyn: This is the Book about which there is no doubt, a guidance for those conscious o || gayob: Who believe in the unseen, establish prayer, and spend out of what We have provi || zaAda: In their hearts is disease, so Allah has increased their disease; and for them i || Eaqalu: Do you order righteousness of the people and forget yourselves while you recite  || kataba: So woe to those who write the ""scripture"" with their own hands, then say, ""This  || >aEolam: Or do you say that Abraham and"
49,root,2,Eql | swE,عقل | سوع,,
48,lemma,4,baSar | daAr | mulok | saAEap,بَصَر | دَار | مُلْك | سَاعَة,baSar=N; daAr=N; mulok=N; saAEap=N,"baSar: Allah has set a seal upon their hearts and upon their hearing, and over their vi || daAr: And [recall] when We took your covenant, [saying], ""Do not shed each other's blo || mulok: And they followed [instead] what the devils had recited during the reign of Solo || saAEap: Those will have lost who deny the meeting with Allah, until when the Hour [of re"
48,root,4,TEm | x$y | Avm | qdm,طعم | خشي | اثم | قدم,,
47,lemma,2,Zan~a | samiyE,ظَنَّ | سَمِيع,Zan~a=V; samiyE=N,Zan~a: Who are certain that they will meet their Lord and that they will return to Him. || samiyE: And [mention] when Abraham was raising the foundations of the House and [with hi
47,root,2,Ejl | krm,عجل | كرم,,
46,lemma,3,$akara | nab~a>a | >abN,شَكَرَ | نَبَّأَ | أَبٌ,$akara=V; nab~a>a=V; >abN=N,"$akara: Then We forgave you after that so perhaps you would be grateful. || nab~a>a: Say, ""Shall I inform you of [something] better than that? For those who fear All || >abN: And [mention, O Muhammad], when Abraham said to his father Azar, ""Do you take id"
46,root,3,Ehd | zyn | Sdr,عهد | زين | صدر,,
45,lemma,7,Sira`T | qadiyr | <iyma`n | Hakama | >uwliY | ya*ara | xabiyr,صِرَٰط | قَدِير | إِيمَٰن | حَكَمَ | أُولِى | يَذَرَ | خَبِير,Sira`T=N; qadiyr=N; <iyma`n=N; Hakama=V; >uwliY=N; ya*ara=V; xabiyr=ADJ,"Sira`T: Guide us to the straight path - || qadiyr: The lightning almost snatches away their sight. Every time it lights [the way] f || <iyma`n: And [recall] when We took your covenant and raised over you the mount, [saying], || Hakama: The Jews say ""The Christians have nothing [true] to stand on,"" and the Christian || >uwliY: And there is for you in legal retribution [saving of] life, O you [people] of un || ya*ara: And those who are taken in death among you and leave wives behind - they, [the w"
45,root,4,SrT | nsy | w*r | SbH,صرط | نسي | وذر | صبح,,
44,lemma,7,>an*ara | $ahida | mu$orik | Hasiba | Sador | naAdaY` | malakato,أَنذَرَ | شَهِدَ | مُشْرِك | حَسِبَ | صَدْر | نَادَىٰ | مَلَكَتْ,>an*ara=V; $ahida=V; mu$orik=N; Hasiba=V; Sador=N; naAdaY`=V; malakato=V,">an*ara: Indeed, those who disbelieve - it is all the same for them whether you warn them || $ahida: And [recall] when We took your covenant, [saying], ""Do not shed each other's blo || mu$orik: Neither those who disbelieve from the People of the Scripture nor the polytheist || Hasiba: Or do you think that you will enter Paradise while such [trial] has not yet come || Sador: Say, ""Whether you conceal what is in your breasts or reveal it, Allah knows it.  || naAdaY`: So the angels called him while"
44,root,5,bdl | srr | ysr | HfZ | dbr,بدل | سرر | يسر | حفظ | دبر,,
