count,kind,n_items,items_buckwalter,items_arabic,pos_summary,sample_translations
37,lemma,10,m~usotaqiym | faAsiq | yaHozun | naj~aY` | kufor | Ha$ara | *anb | ba$ar | Sad~a | suloTa`n,مُّسْتَقِيم | فَاسِق | يَحْزُن | نَجَّىٰ | كُفْر | حَشَرَ | ذَنب | بَشَر | صَدَّ | سُلْطَٰن,m~usotaqiym=N; faAsiq=N; yaHozun=V; naj~aY`=V; kufor=N; Ha$ara=V; *anb=N; ba$ar=N; Sad~a=V; suloTa`n=N,"m~usotaqiym: Guide us to the straight path - || faAsiq: Indeed, Allah is not timid to present an example - that of a mosquito or what is || yaHozun: We said, ""Go down from it, all of you. And when guidance comes to you from Me, w || naj~aY`: And [recall] when We saved your forefathers from the people of Pharaoh, who affl || kufor: And they said, ""Our hearts are wrapped."" But, [in fact], Allah has cursed them f || Ha$ara: And remember Allah during [specific] numbered days. Then whoever hastens [h"
37,root,3,sbq | Alw | nkr,سبق | الو | نكر,,
36,lemma,4,rad~a | >aHosan | say~i_#aAt | *aAqu,رَدَّ | أَحْسَن | سَيِّـ#َات | ذَاقُ,rad~a=V; >aHosan=N; say~i_#aAt=N; *aAqu=V,"rad~a: Then, you are those [same ones who are] killing one another and evicting a party || >aHosan: [And say, ""Ours is] the religion of Allah. And who is better than Allah in [orda || say~i_#aAt: If you disclose your charitable expenditures, they are good; but if you conceal  || *aAqu: On the Day [some] faces will turn white and [some] faces will turn black. As for"
36,root,7,ryb | qTE | bTl | Hdv | Any | Awy | qrn,ريب | قطع | بطل | حدث | اني | اوي | قرن,,
35,lemma,12,*ahaba | {sotawaY`^ | sajada | mata`E | Hiyn | nasiYa | bay~anu | <ivom | naSiyr | {xotalafa | m~urosal | >um~,ذَهَبَ | ٱسْتَوَىٰ^ | سَجَدَ | مَتَٰع | حِين | نَسِىَ | بَيَّنُ | إِثْم | نَصِير | ٱخْتَلَفَ | مُّرْسَل | أُمّ,*ahaba=V; {sotawaY`^=V; sajada=V; mata`E=N; Hiyn=N; nasiYa=V; bay~anu=V; <ivom=N; naSiyr=N; {xotalafa=V; m~urosal=N; >um~=N,"*ahaba: Their example is that of one who kindled a fire, but when it illuminated what wa || {sotawaY`^: It is He who created for you all of that which is on the earth. Then He directed || sajada: And [mention] when We said to the angels, ""Prostrate before Adam""; so they prost || mata`E: But Satan caused them to slip out of it and removed them from that [condition] i || Hiyn: But Satan caused them to slip out of it and removed them from that [condition] i || nasiYa: Do you order righteousness of "
35,root,6,Hyn | Efw | gfl | mrr | wrv | kyd,حين | عفو | غفل | مرر | ورث | كيد,,
34,lemma,4,maroyam | fitonap | {botagaY` | 'aAlaA^',مَرْيَم | فِتْنَة | ٱبْتَغَىٰ | ءَالَا^ء,maroyam=PN; fitonap=N; {botagaY`=V; 'aAlaA^'=N,maroyam: And We did certainly give Moses the Torah and followed up after him with messeng || fitonap: And they followed [instead] what the devils had recited during the reign of Solo || {botagaY`: It has been made permissible for you the night preceding fasting to go to your w || 'aAlaA^': Then do you wonder that there has come to you a reminder from your Lord through 
34,root,4,hzA | wvq | jnH | xfy,هزا | وثق | جنح | خفي,,
33,lemma,7,qaAma | fariyq | HaraAm | $amos | n~aEam | ka*ib | kal~aA,قَامَ | فَرِيق | حَرَام | شَمْس | نَّعَم | كَذِب | كَلَّا,qaAma=V; fariyq=N; HaraAm=ADJ; $amos=N; n~aEam=N; ka*ib=N; kal~aA=AVR,"qaAma: The lightning almost snatches away their sight. Every time it lights [the way] f || fariyq: Do you covet [the hope, O believers], that they would believe for you while a pa || HaraAm: We have certainly seen the turning of your face, [O Muhammad], toward the heaven || $amos: Have you not considered the one who argued with Abraham about his Lord [merely]  || n~aEam: Beautified for people is the love of that which they desire - of women and sons, || ka*ib: And among the People of the Scriptu"
33,root,8,Emy | Zll | Hjj | kfy | $ms | Er$ | jnb | qsm,عمي | ظلل | حجج | كفي | شمس | عرش | جنب | قسم,,
32,lemma,7,xa`siriyn | zakaw`p | kafaY` | ka`*ib | nahaY` | Ea`qibap | >aEoraDa,خَٰسِرِين | زَكَوٰة | كَفَىٰ | كَٰذِب | نَهَىٰ | عَٰقِبَة | أَعْرَضَ,xa`siriyn=N; zakaw`p=N; kafaY`=V; ka`*ib=N; nahaY`=V; Ea`qibap=N; >aEoraDa=V,"xa`siriyn: Who break the covenant of Allah after contracting it and sever that which Allah  || zakaw`p: And establish prayer and give zakah and bow with those who bow [in worship and o || kafaY`: So if they believe in the same as you believe in, then they have been [rightly]  || ka`*ib: Then whoever argues with you about it after [this] knowledge has come to you - s || nahaY`: And let there be [arising] from you a nation inviting to [all that is] good, enj || Ea`qibap: Similar situations [as you"
32,root,9,mdd | brr | ESy | wry | wsE | wSy | vlv | nSb | brk,مدد | برر | عصي | وري | وسع | وصي | ثلث | نصب | برك,,
31,lemma,4,>a$ad~ | nafaEa | <i*FA | wa`Hidap,أَشَدّ | نَفَعَ | إِذًا | وَٰحِدَة,>a$ad~=N; nafaEa=V; <i*FA=SUR; wa`Hidap=N,">a$ad~: Then your hearts became hardened after that, being like stones or even harder. F || nafaEa: And they followed [instead] what the devils had recited during the reign of Solo || <i*FA: And if you brought to those who were given the Scripture every sign, they would  || wa`Hidap: Mankind was [of] one religion [before their deviation]; then Allah sent the prop"
31,root,11,Thr | bdw | Hyv | $fE | brA | xlS | qEd | $rr | hjr | glb | lbv,طهر | بدو | حيث | شفع | برا | خلص | قعد | شرر | هجر | غلب | لبث,,
30,lemma,10,wa`Hid | quw~ap | wal~aY` | EasaY | $ar~ | mala> | labiva | Hukom | saA^'a | kariym,وَٰحِد | قُوَّة | وَلَّىٰ | عَسَى | شَرّ | مَلَأ | لَبِثَ | حُكْم | سَا^ءَ | كَرِيم,wa`Hid=ADJ; quw~ap=N; wal~aY`=V; EasaY=V; $ar~=N; mala>=N; labiva=V; Hukom=N; saA^'a=V; kariym=ADJ,"wa`Hid: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || quw~ap: And [recall] when We took your covenant, [O Children of Israel, to abide by the  || wal~aY`: And to Allah belongs the east and the west. So wherever you [might] turn, there  || EasaY: Fighting has been enjoined upon you while it is hateful to you. But perhaps you  || $ar~: Fighting has been enjoined upon you while it is hateful to you. But perhaps you  || mala>: Have you not considered the assembl"
30,root,6,sEy | Srf | qSS | Anv | Esy | Afk,سعي | صرف | قصص | انث | عسي | افك,,
29,lemma,9,>aboSara | Eahod | Hayov | ka>an~ | riyH | jund | Earo$ | rajul | naba>,أَبْصَرَ | عَهْد | حَيْث | كَأَنّ | رِيح | جُند | عَرْش | رَجُل | نَبَأ,>aboSara=V; Eahod=N; Hayov=N; ka>an~=ACC; riyH=N; jund=N; Earo$=N; rajul=N; naba>=N,">aboSara: Their example is that of one who kindled a fire, but when it illuminated what wa || Eahod: Who break the covenant of Allah after contracting it and sever that which Allah  || Hayov: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in || ka>an~: And when a messenger from Allah came to them confirming that which was with them || riyH: Indeed, in the creation of the heavens and earth, and the alternation of the nig || jund: And when Saul went forth with the so"
29,root,10,g$w | vny | rfE | wdd | Syr | jdl | jnd | Tyr | fwz | dry,غشو | ثني | رفع | ودد | صير | جدل | جند | طير | فوز | دري,,
28,lemma,16,>abadFA | siHor | masojid | *ur~iy~ap | maSiyr | >aSolaHa | m~agofirap | {sotajaAba | Hasanap | >an~aY` | rijaAl | r~aHima | >agonato | kalimap | >aSobaHa | Hadiyv,أَبَدًا | سِحْر | مَسْجِد | ذُرِّيَّة | مَصِير | أَصْلَحَ | مَّغْفِرَة | ٱسْتَجَابَ | حَسَنَة | أَنَّىٰ | رِجَال | رَّحِمَ | أَغْنَتْ | كَلِمَة | أَصْبَحَ | حَدِيث,>abadFA=T; siHor=N; masojid=N; *ur~iy~ap=N; maSiyr=N; >aSolaHa=V; m~agofirap=N; {sotajaAba=V; Hasanap=N; >an~aY`=INTG; rijaAl=N; r~aHima=V; >agonato=V; kalimap=N; >aSobaHa=V; Hadiyv=N,">abadFA: But they will never wish for it, ever, because of what their hands have put fort || siHor: And they followed [instead] what the devils had recited during the reign of Solo || masojid: And who are more unjust than those who prevent the name of Allah from being ment || *ur~iy~ap: And [mention, O Muhammad], when Abraham was tried by his Lord with commands and  || maSiyr: And [mention] when Abraham said, ""My Lord, make this a secure city and provide i || >aSolaHa: Except for those who repen"
28,root,11,yqn | xlw | HwT | sbE | Edl | $qq | Abd | vwb | rjw | vql | n$A,يقن | خلو | حوط | سبع | عدل | شقق | ابد | ثوب | رجو | ثقل | نشا,,
27,lemma,14,sawaA^' | kaAfir | EafaA | baAb | EaSaA | ga`fil | qad~ama | >afolaHa | ja`hada | m~akaAn | muna`fiquwn | qamar | yuwsuf | luwT,سَوَا^ء | كَافِر | عَفَا | بَاب | عَصَا | غَٰفِل | قَدَّمَ | أَفْلَحَ | جَٰهَدَ | مَّكَان | مُنَٰفِقُون | قَمَر | يُوسُف | لُوط,sawaA^'=N; kaAfir=N; EafaA=V; baAb=N; EaSaA=V; ga`fil=N; qad~ama=V; >afolaHa=V; ja`hada=V; m~akaAn=N; muna`fiquwn=N; qamar=N; yuwsuf=PN; luwT=PN,"sawaA^': Indeed, those who disbelieve - it is all the same for them whether you warn them || kaAfir: And believe in what I have sent down confirming that which is [already] with you || EafaA: Then We forgave you after that so perhaps you would be grateful. || baAb: And [recall] when We said, ""Enter this city and eat from it wherever you will in || EaSaA: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || ga`fil: Then your hearts became hardened after that, being "
27,root,10,$jr | mnn | bwb | E$r | Ejb | msk | grr | syr | wzr | qmr,شجر | منن | بوب | عشر | عجب | مسك | غرر | سير | وزر | قمر,,
26,lemma,11,maA*aA | xawof | ba`Til | 'aAl | jaHiym | >ajomaEiyn | qariyb | zay~ana | {mora>at | kayod | vamuwd,مَاذَا | خَوْف | بَٰطِل | ءَال | جَحِيم | أَجْمَعِين | قَرِيب | زَيَّنَ | ٱمْرَأَت | كَيْد | ثَمُود,maA*aA=INTG; xawof=N; ba`Til=N; 'aAl=N; jaHiym=N; >ajomaEiyn=N; qariyb=ADJ; zay~ana=V; {mora>at=N; kayod=N; vamuwd=PN,"maA*aA: Indeed, Allah is not timid to present an example - that of a mosquito or what is || xawof: We said, ""Go down from it, all of you. And when guidance comes to you from Me, w || ba`Til: And do not mix the truth with falsehood or conceal the truth while you know [it] || 'aAl: And [recall] when We saved your forefathers from the people of Pharaoh, who affl || jaHiym: Indeed, We have sent you, [O Muhammad], with the truth as a bringer of good tidi || >ajomaEiyn: Indeed, those who disbelieve an"
26,root,6,nbt | xzy | hwn | jHm | wDE | Ejz,نبت | خزي | هون | جحم | وضع | عجز,,
25,lemma,12,ya$oEuru | xalaA | m~iyva`q | A^dam | EiysaY | junaAH | baEiyd | ba>os | qadara | lisaAn | bagaY` | ja`dalu,يَشْعُرُ | خَلَا | مِّيثَٰق | ا^دَم | عِيسَى | جُنَاح | بَعِيد | بَأْس | قَدَرَ | لِسَان | بَغَىٰ | جَٰدَلُ,ya$oEuru=V; xalaA=V; m~iyva`q=N; A^dam=PN; EiysaY=PN; junaAH=N; baEiyd=ADJ; ba>os=N; qadara=V; lisaAn=N; bagaY`=V; ja`dalu=V,"ya$oEuru: They [think to] deceive Allah and those who believe, but they deceive not except || xalaA: And when they meet those who believe, they say, ""We believe""; but when they are  || m~iyva`q: Who break the covenant of Allah after contracting it and sever that which Allah  || A^dam: And He taught Adam the names - all of them. Then He showed them to the angels an || EiysaY: And We did certainly give Moses the Torah and followed up after him with messeng || junaAH: Indeed, as-Safa and al-Marwah "
25,root,13,$ry | Hwl | sqy | wEZ | HDr | flk | bTn | Hdd | bsT | qsT | whb | lsn | Sly,شري | حول | سقي | وعظ | حضر | فلك | بطن | حدد | بسط | قسط | وهب | لسن | صلي,,
24,lemma,13,<iy~aA | kaAda | TaEaAm | waraA^' | Hay~ | >unvaY` | >akobar | tawaf~aY` | ganiY~ | TaA^}ifap | wakiyl | liqaA^' | EaAd2,إِيَّا | كَادَ | طَعَام | وَرَا^ء | حَيّ | أُنثَىٰ | أَكْبَر | تَوَفَّىٰ | غَنِىّ | طَا^ئِفَة | وَكِيل | لِقَا^ء | عَاد2,<iy~aA=PRON; kaAda=V; TaEaAm=N; waraA^'=LOC; Hay~=N; >unvaY`=N; >akobar=N; tawaf~aY`=V; ganiY~=N; TaA^}ifap=N; wakiyl=N; liqaA^'=N; EaAd2=PN,"<iy~aA: It is You we worship and You we ask for help. || kaAda: The lightning almost snatches away their sight. Every time it lights [the way] f || TaEaAm: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || waraA^': And when it is said to them, ""Believe in what Allah has revealed,"" they say, ""We || Hay~: And do not say about those who are killed in the way of Allah, ""They are dead.""  || >unvaY`: O you who have believed, prescribed for you is legal retribution for"
24,root,12,gDb | mrD | kwd | vmr | fjr | *ll | jhl | Emr | fH$ | rqb | A*y | wqE,غضب | مرض | كود | ثمر | فجر | ذلل | جهل | عمر | فحش | رقب | اذي | وقع,,
23,lemma,16,Zuluma`t | saboE | <im~aA | >anjaY` | saAjid | bad~ala | yatiym | misokiyn | laEana | $aha`dap | fulok | *aA | >a*ina | fatanu | qaron | *ikoraY`,ظُلُمَٰت | سَبْع | إِمَّا | أَنجَىٰ | سَاجِد | بَدَّلَ | يَتِيم | مِسْكِين | لَعَنَ | شَهَٰدَة | فُلْك | ذَا | أَذِنَ | فَتَنُ | قَرْن | ذِكْرَىٰ,Zuluma`t=N; saboE=N; <im~aA=EXL; >anjaY`=V; saAjid=N; bad~ala=V; yatiym=N; misokiyn=N; laEana=V; $aha`dap=N; fulok=N; *aA=N; >a*ina=V; fatanu=V; qaron=N; *ikoraY`=N,"Zuluma`t: Their example is that of one who kindled a fire, but when it illuminated what wa || saboE: It is He who created for you all of that which is on the earth. Then He directed || <im~aA: We said, ""Go down from it, all of you. And when guidance comes to you from Me, w || >anjaY`: And [recall] when We parted the sea for you and saved you and drowned the people || saAjid: And [recall] when We said, ""Enter this city and eat from it wherever you will in || bad~ala: But those who wronged changed"
23,root,9,m$y | lbs | grq | ytm | srE | nkH | Tlq | srf | wzn,مشي | لبس | غرق | يتم | سرع | نكح | طلق | سرف | وزن,,
22,lemma,19,samoE | rafaEa | xalof | balaY` | say~i}ap | >asolama | duEaA^' | naSor | yarojuwA@ | wahaba | jamaEa | makara | ma>owaY` | bar~ | m~u&omina`t | >a*aAqa | jin~ | sa`Hir | sax~ara,سَمْع | رَفَعَ | خَلْف | بَلَىٰ | سَيِّئَة | أَسْلَمَ | دُعَا^ء | نَصْر | يَرْجُوا@ | وَهَبَ | جَمَعَ | مَكَرَ | مَأْوَىٰ | بَرّ | مُّؤْمِنَٰت | أَذَاقَ | جِنّ | سَٰحِر | سَخَّرَ,samoE=N; rafaEa=V; xalof=N; balaY`=ANS; say~i}ap=N; >asolama=V; duEaA^'=N; naSor=N; yarojuwA@=V; wahaba=V; jamaEa=V; makara=V; ma>owaY`=N; bar~=N; m~u&omina`t=N; >a*aAqa=V; jin~=N; sa`Hir=N; sax~ara=V,"samoE: Allah has set a seal upon their hearts and upon their hearing, and over their vi || rafaEa: And [recall] when We took your covenant, [O Children of Israel, to abide by the  || xalof: And We made it a deterrent punishment for those who were present and those who s || balaY`: Yes, whoever earns evil and his sin has encompassed him - those are the companio || say~i}ap: Yes, whoever earns evil and his sin has encompassed him - those are the companio || >asolama: Yes [on the contrary], whoever"
22,root,8,rbE | xTA | Alf | tmm | gwy | trb | frH | Erb,ربع | خطا | الف | تمم | غوي | ترب | فرح | عرب,,
21,lemma,19,mufosid | {sotuhozi}a | {$otaraY` | >aEomaY` | m~a$a | >amaAta | katama | Tay~iba`t | ruwH | $ahor | >aHosana | naSiyb | kam | Hasan | m~usam~FY | waDaEa | $aAhid | m~uka*~ibiyn | Zan~,مُفْسِد | ٱسْتُهْزِئَ | ٱشْتَرَىٰ | أَعْمَىٰ | مَّشَ | أَمَاتَ | كَتَمَ | طَيِّبَٰت | رُوح | شَهْر | أَحْسَنَ | نَصِيب | كَم | حَسَن | مُّسَمًّى | وَضَعَ | شَاهِد | مُّكَذِّبِين | ظَنّ,mufosid=N; {sotuhozi}a=V; {$otaraY`=V; >aEomaY`=N; m~a$a=V; >amaAta=V; katama=V; Tay~iba`t=N; ruwH=N; $ahor=N; >aHosana=V; naSiyb=N; kam=INTG; Hasan=ADJ; m~usam~FY=N; waDaEa=V; $aAhid=N; m~uka*~ibiyn=N; Zan~=N,"mufosid: Unquestionably, it is they who are the corrupters, but they perceive [it] not. || {sotuhozi}a: [But] Allah mocks them and prolongs them in their transgression [while] they wan || {$otaraY`: Those are the ones who have purchased error [in exchange] for guidance, so their || >aEomaY`: Deaf, dumb and blind - so they will not return [to the right path]. || m~a$a: The lightning almost snatches away their sight. Every time it lights [the way] f || >amaAta: How can you disbelieve in Allah when"
21,root,13,H*r | Hjr | ktm | hwd | mny | $hr | Hlm | bqy | snn | fty | Avr | Hmm | n$r,حذر | حجر | كتم | هود | مني | شهر | حلم | بقي | سنن | فتي | اثر | حمم | نشر,,
20,lemma,21,>aEad~a | Earafa | saEaY` | kal~ama | Hikomap | SaAbir | balawo | >aHal~a | >amina | EiqaAb | ha`ruwn | laday | Zulom | qaS~a | >aqosamu | Hizob | >an$a>a | Hamiym | taEa`laY` | Haq~a | sabaqa,أَعَدَّ | عَرَفَ | سَعَىٰ | كَلَّمَ | حِكْمَة | صَابِر | بَلَوْ | أَحَلَّ | أَمِنَ | عِقَاب | هَٰرُون | لَدَي | ظُلْم | قَصَّ | أَقْسَمُ | حِزْب | أَنشَأَ | حَمِيم | تَعَٰلَىٰ | حَقَّ | سَبَقَ,>aEad~a=V; Earafa=V; saEaY`=V; kal~ama=V; Hikomap=N; SaAbir=N; balawo=V; >aHal~a=V; >amina=V; EiqaAb=N; ha`ruwn=PN; laday=LOC; Zulom=N; qaS~a=V; >aqosamu=V; Hizob=N; >an$a>a=V; Hamiym=N; taEa`laY`=V; Haq~a=V; sabaqa=V,">aEad~a: But if you do not - and you will never be able to - then fear the Fire, whose fu || Earafa: And when there came to them a Book from Allah confirming that which was with the || saEaY`: And who are more unjust than those who prevent the name of Allah from being ment || kal~ama: Those who do not know say, ""Why does Allah not speak to us or there come to us a || Hikomap: Our Lord, and send among them a messenger from themselves who will recite to the || SaAbir: O you who have believed, seek"
20,root,13,snw | mry | drj | rbw | nxl | nzE | nfx | fqh | SnE | Hzb | lEb | fTr | k$f,سنو | مري | درج | ربو | نخل | نزع | نفخ | فقه | صنع | حزب | لعب | فطر | كشف,,
19,lemma,15,$ajarap | muSad~iq | m~uEoriDuwn | yaDur~a | >ayon | >aqorab | mar~ap | Tayor | nafaxa | fawoz | yafoqahu | Dur~ | {sotaEojala | ziynap | makor,شَجَرَة | مُصَدِّق | مُّعْرِضُون | يَضُرَّ | أَيْن | أَقْرَب | مَرَّة | طَيْر | نَفَخَ | فَوْز | يَفْقَهُ | ضُرّ | ٱسْتَعْجَلَ | زِينَة | مَكْر,$ajarap=N; muSad~iq=N; m~uEoriDuwn=N; yaDur~a=V; >ayon=INTG; >aqorab=N; mar~ap=N; Tayor=N; nafaxa=V; fawoz=N; yafoqahu=V; Dur~=N; {sotaEojala=V; ziynap=N; makor=N,"$ajarap: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in || muSad~iq: And believe in what I have sent down confirming that which is [already] with you || m~uEoriDuwn: And [recall] when We took the covenant from the Children of Israel, [enjoining u || yaDur~a: And they followed [instead] what the devils had recited during the reign of Solo || >ayon: And to Allah belongs the east and the west. So wherever you [might] turn, there  || >aqorab: Prescribed for you when"
19,root,8,vmn | grb | bld | r$d | Swr | TlE | sEr | fkh,ثمن | غرب | بلد | رشد | صور | طلع | سعر | فكه,,
18,lemma,24,rayob | >u*unN | >awofaY` | >asar~a | tabay~ana | m~at~aEo | daA^b~ap | ra>os | darajap | >amosaka | niEoma | >uxofiYa | waf~aY`^ | EaAda | *uk~ira | mawolaY` | t~aworaY`p | l~adun | *akar | munkar | dubur | Ea`lim | <ins | >uEiydu,رَيْب | أُذُنٌ | أَوْفَىٰ | أَسَرَّ | تَبَيَّنَ | مَّتَّعْ | دَا^بَّة | رَأْس | دَرَجَة | أَمْسَكَ | نِعْمَ | أُخْفِىَ | وَفَّىٰ^ | عَادَ | ذُكِّرَ | مَوْلَىٰ | تَّوْرَىٰة | لَّدُن | ذَكَر | مُنكَر | دُبُر | عَٰلِم | إِنس | أُعِيدُ,rayob=N; >u*unN=N; >awofaY`=V; >asar~a=V; tabay~ana=V; m~at~aEo=V; daA^b~ap=N; ra>os=N; darajap=N; >amosaka=V; niEoma=V; >uxofiYa=V; waf~aY`^=V; EaAda=V; *uk~ira=V; mawolaY`=N; t~aworaY`p=PN; l~adun=N; *akar=N; munkar=N; dubur=N; Ea`lim=N; <ins=N; >uEiydu=V,"rayob: This is the Book about which there is no doubt, a guidance for those conscious o || >u*unN: Or [it is] like a rainstorm from the sky within which is darkness, thunder and l || >awofaY`: O Children of Israel, remember My favor which I have bestowed upon you and fulfi || >asar~a: But do they not know that Allah knows what they conceal and what they declare? || tabay~ana: Many of the People of the Scripture wish they could turn you back to disbelief a || m~at~aEo: And [mention] when Abraham "
18,root,12,frD | mll | dbb | rAs | xSm | fkr | vbt | ldn | HSn | nfr | mkn | nwb,فرض | ملل | دبب | راس | خصم | فكر | ثبت | لدن | حصن | نفر | مكن | نوب,,
17,lemma,25,>anoEama | m~uhotaduwn | Hawol | faD~ala | >ugoriqu | >aHaATa | wad~a | sulayoma`n | >ahowaA^' | <isoHaAq | {nqalaba | baTon | taqowaY | kariha | yatafak~aru | turaAb | Hamiyd | ta>owiyl | qaA^}im | fa`Hi$ap | banaAt | HusonaY` | naEiym | faS~ala | >adoraY`,أَنْعَمَ | مُّهْتَدُون | حَوْل | فَضَّلَ | أُغْرِقُ | أَحَاطَ | وَدَّ | سُلَيْمَٰن | أَهْوَا^ء | إِسْحَاق | ٱنقَلَبَ | بَطْن | تَقْوَى | كَرِهَ | يَتَفَكَّرُ | تُرَاب | حَمِيد | تَأْوِيل | قَا^ئِم | فَٰحِشَة | بَنَات | حُسْنَىٰ | نَعِيم | فَصَّلَ | أَدْرَىٰ,>anoEama=V; m~uhotaduwn=N; Hawol=N; faD~ala=V; >ugoriqu=V; >aHaATa=V; wad~a=V; sulayoma`n=PN; >ahowaA^'=N; <isoHaAq=PN; {nqalaba=V; baTon=N; taqowaY=N; kariha=V; yatafak~aru=V; turaAb=N; Hamiyd=ADJ; ta>owiyl=N; qaA^}im=N; fa`Hi$ap=N; banaAt=N; HusonaY`=N; naEiym=N; faS~ala=V; >adoraY`=V,">anoEama: The path of those upon whom You have bestowed favor, not of those who have evoke || m~uhotaduwn: Those are the ones who have purchased error [in exchange] for guidance, so their || Hawol: Their example is that of one who kindled a fire, but when it illuminated what wa || faD~ala: O Children of Israel, remember My favor that I have bestowed upon you and that I || >ugoriqu: And [recall] when We parted the sea for you and saved you and drowned the people || >aHaATa: Yes, whoever earns evi"
17,root,14,swr | x$E | bwA | Ew* | xff | mnE | $rq | Sfw | rbS | nqm | Awb | zEm | swq | mdn,سور | خشع | بوا | عوذ | خفف | منع | شرق | صفو | ربص | نقم | اوب | زعم | سوق | مدن,,
16,lemma,27,vamara`t | >an[bata | fataHa | qurobaY` | >aZolam | >atam~a | yaEoquwb | Tay~ib | >aloba`b | {ntahaY` | waqaY` | haAjara | basaTa | daAwud | marojiE | fariHa | sun~ap | saAra | man~a | saEiyr | xasira | >ufika | {sotamaEa | fu&aAd | miyzaAn | qara>a | qad~ara,ثَمَرَٰت | أَن[بَتَ | فَتَحَ | قُرْبَىٰ | أَظْلَم | أَتَمَّ | يَعْقُوب | طَيِّب | أَلْبَٰب | ٱنتَهَىٰ | وَقَىٰ | هَاجَرَ | بَسَطَ | دَاوُد | مَرْجِع | فَرِحَ | سُنَّة | سَارَ | مَنَّ | سَعِير | خَسِرَ | أُفِكَ | ٱسْتَمَعَ | فُؤَاد | مِيزَان | قَرَأَ | قَدَّرَ,vamara`t=N; >an[bata=V; fataHa=V; qurobaY`=N; >aZolam=N; >atam~a=V; yaEoquwb=PN; Tay~ib=ADJ; >aloba`b=N; {ntahaY`=V; waqaY`=V; haAjara=V; basaTa=V; daAwud=PN; marojiE=N; fariHa=V; sun~ap=N; saAra=V; man~a=V; saEiyr=N; xasira=V; >ufika=V; {sotamaEa=V; fu&aAd=N; miyzaAn=N; qara>a=V; qad~ara=V,"vamara`t: [He] who made for you the earth a bed [spread out] and the sky a ceiling and sen || >an[bata: And [recall] when you said, ""O Moses, we can never endure one [kind of] food. So || fataHa: And when they meet those who believe, they say, ""We have believed""; but when the || qurobaY`: And [recall] when We took the covenant from the Children of Israel, [enjoining u || >aZolam: And who are more unjust than those who prevent the name of Allah from being ment || >atam~a: And [mention, O Muhammad"
16,root,14,jhr | Eln | lbb | xwn | mhd | HbT | xbv | gdw | gll | Etd | sTr | lhw | fAd | kyl,جهر | علن | لبب | خون | مهد | حبط | خبث | غدو | غلل | عتد | سطر | لهو | فاد | كيل,,
15,lemma,31,>afosadu | kul~amaA | yubodiYa | sakana | Sabor | $ariba | {EotadaY` | naSoraAniy~ | bu$oraY` | Zahor | mil~ap | Sadaqa | mun*ir | Haliym | waEaZo | malik | galabu | >atobaEa | qisoT | bala`g | gar~a | >uw*iYa | yasiyr | Haraj | >ax~ara | $ak~ | rijol | SanaEu | musorif | >agonaY` | tanziyl,أَفْسَدُ | كُلَّمَا | يُبْدِىَ | سَكَنَ | صَبْر | شَرِبَ | ٱعْتَدَىٰ | نَصْرَانِيّ | بُشْرَىٰ | ظَهْر | مِلَّة | صَدَقَ | مُنذِر | حَلِيم | وَعَظْ | مَلِك | غَلَبُ | أَتْبَعَ | قِسْط | بَلَٰغ | غَرَّ | أُوذِىَ | يَسِير | حَرَج | أَخَّرَ | شَكّ | رِجْل | صَنَعُ | مُسْرِف | أَغْنَىٰ | تَنزِيل,>afosadu=V; kul~amaA=T; yubodiYa=V; sakana=V; Sabor=N; $ariba=V; {EotadaY`=V; naSoraAniy~=PN; bu$oraY`=N; Zahor=N; mil~ap=N; Sadaqa=V; mun*ir=N; Haliym=ADJ; waEaZo=V; malik=N; galabu=V; >atobaEa=V; qisoT=N; bala`g=N; gar~a=V; >uw*iYa=V; yasiyr=ADJ; Haraj=N; >ax~ara=V; $ak~=N; rijol=N; SanaEu=V; musorif=N; >agonaY`=V; tanziyl=N,">afosadu: And when it is said to them, ""Do not cause corruption on the earth,"" they say, "" || kul~amaA: The lightning almost snatches away their sight. Every time it lights [the way] f || yubodiYa: He said, ""O Adam, inform them of their names."" And when he had informed them of  || sakana: And We said, ""O Adam, dwell, you and your wife, in Paradise and eat therefrom in || Sabor: And seek help through patience and prayer, and indeed, it is difficult except fo || $ariba: And [recall] when Moses pra"
15,root,10,Smm | swm | Hrr | kff | rkb | byE | Hrj | mTr | $kk | bdA,صمم | سوم | حرر | كفف | ركب | بيع | حرج | مطر | شكك | بدا,,
