s1,v1,s2,v2,sim,lev
15,57,51,31,0.9310,2
22,64,31,26,0.8276,10
15,58,51,32,1.0000,0
22,62,31,30,0.9605,3
22,69,32,25,0.7091,16
4,126,4,132,0.7759,13
23,2,70,23,0.7692,6
23,2,70,34,0.7143,8
23,5,23,9,0.7241,8
23,5,70,29,1.0000,0
23,5,70,34,0.7143,8
23,6,70,30,1.0000,0
23,7,70,31,1.0000,0
23,8,70,32,1.0000,0
23,9,70,29,0.7241,8
23,9,70,34,0.9655,1
23,9,70,23,0.7931,6
15,26,23,12,0.7250,11
23,13,77,21,0.7037,8
7,59,23,23,0.7604,23
7,65,23,23,0.7037,24
52,10,81,3,0.7059,5
52,11,77,15,0.9474,1
52,11,77,19,0.9474,1
52,11,77,24,0.9474,1
52,11,77,28,0.9474,1
52,11,77,34,0.9474,1
52,11,77,37,0.9474,1
52,11,77,40,0.9474,1
52,11,77,45,0.9474,1
52,11,77,47,0.9474,1
52,11,77,49,0.9474,1
52,11,83,10,0.9474,1
23,26,23,39,1.0000,0
15,45,52,17,0.8750,3
52,17,54,54,0.8750,3
52,17,77,41,0.7500,6
23,31,23,42,0.9667,1
52,19,77,43,1.0000,0
37,27,52,25,1.0000,0
37,50,52,25,0.9643,1
52,25,68,30,0.8571,4
15,5,23,43,1.0000,0
5,10,5,86,1.0000,0
52,40,68,46,1.0000,0
52,41,68,47,1.0000,0
23,57,70,27,0.7742,7
23,78,67,23,0.8382,11
23,79,67,24,0.9211,3
23,82,37,16,0.8723,6
23,82,37,53,0.7872,10
23,82,56,47,0.8000,11
23,83,27,68,0.8621,8
23,85,23,87,0.8929,3
23,85,23,89,0.7857,6
23,87,23,89,0.7500,7
53,33,96,9,0.7500,4
7,9,23,103,0.7424,17
53,43,53,48,0.7222,5
53,45,75,39,0.7667,7
24,7,24,9,0.8222,8
24,10,24,20,0.8696,6
5,92,64,12,0.8140,16
54,16,54,21,1.0000,0
54,16,54,30,1.0000,0
54,17,54,22,1.0000,0
54,17,54,32,1.0000,0
54,17,54,40,1.0000,0
54,21,54,30,1.0000,0
54,22,54,32,1.0000,0
54,22,54,40,1.0000,0
54,23,54,33,0.7368,5
54,32,54,40,1.0000,0
24,42,57,5,0.7609,11
5,120,57,2,0.7895,12
6,4,36,46,1.0000,0
6,4,26,5,0.7170,15
6,11,27,69,0.8800,6
15,45,54,54,0.8333,4
54,54,77,41,0.7083,7
6,15,39,13,1.0000,0
6,21,10,17,0.9275,5
55,13,55,16,1.0000,0
55,13,55,18,1.0000,0
55,13,55,21,1.0000,0
55,13,55,23,1.0000,0
55,13,55,25,1.0000,0
55,13,55,28,1.0000,0
55,13,55,30,1.0000,0
55,13,55,32,1.0000,0
55,13,55,34,1.0000,0
55,13,55,36,1.0000,0
55,13,55,38,1.0000,0
55,13,55,40,1.0000,0
55,13,55,42,1.0000,0
55,13,55,45,1.0000,0
55,13,55,47,1.0000,0
55,13,55,49,1.0000,0
55,13,55,51,1.0000,0
55,13,55,53,1.0000,0
55,13,55,55,1.0000,0
55,13,55,57,1.0000,0
55,13,55,59,1.0000,0
55,13,55,61,1.0000,0
55,13,55,63,1.0000,0
55,13,55,65,1.0000,0
55,13,55,67,1.0000,0
55,13,55,69,1.0000,0
55,13,55,71,1.0000,0
55,13,55,73,1.0000,0
55,13,55,75,1.0000,0
55,13,55,77,1.0000,0
55,16,55,18,1.0000,0
55,16,55,21,1.0000,0
55,16,55,23,1.0000,0
55,16,55,25,1.0000,0
55,16,55,28,1.0000,0
55,16,55,30,1.0000,0
55,16,55,32,1.0000,0
55,16,55,34,1.0000,0
55,16,55,36,1.0000,0
55,16,55,38,1.0000,0
55,16,55,40,1.0000,0
55,16,55,42,1.0000,0
55,16,55,45,1.0000,0
55,16,55,47,1.0000,0
55,16,55,49,1.0000,0
55,16,55,51,1.0000,0
55,16,55,53,1.0000,0
55,16,55,55,1.0000,0
55,16,55,57,1.0000,0
55,16,55,59,1.0000,0
55,16,55,61,1.0000,0
55,16,55,63,1.0000,0
55,16,55,65,1.0000,0
55,16,55,67,1.0000,0
55,16,55,69,1.0000,0
55,16,55,71,1.0000,0
55,16,55,73,1.0000,0
55,16,55,75,1.0000,0
55,16,55,77,1.0000,0
55,18,55,21,1.0000,0
55,18,55,23,1.0000,0
55,18,55,25,1.0000,0
55,18,55,28,1.0000,0
55,18,55,30,1.0000,0
55,18,55,32,1.0000,0
55,18,55,34,1.0000,0
55,18,55,36,1.0000,0
55,18,55,38,1.0000,0
55,18,55,40,1.0000,0
55,18,55,42,1.0000,0
55,18,55,45,1.0000,0
55,18,55,47,1.0000,0
55,18,55,49,1.0000,0
55,18,55,51,1.0000,0
55,18,55,53,1.0000,0
55,18,55,55,1.0000,0
55,18,55,57,1.0000,0
55,18,55,59,1.0000,0
55,18,55,61,1.0000,0
55,18,55,63,1.0000,0
55,18,55,65,1.0000,0
55,18,55,67,1.0000,0
55,18,55,69,1.0000,0
55,18,55,71,1.0000,0
55,18,55,73,1.0000,0
55,18,55,75,1.0000,0
55,18,55,77,1.0000,0
55,21,55,23,1.0000,0
55,21,55,25,1.0000,0
55,21,55,28,1.0000,0
55,21,55,30,1.0000,0
55,21,55,32,1.0000,0
55,21,55,34,1.0000,0
