s1,v1,s2,v2,sim,lev
26,145,26,180,1.0000,0
12,104,26,145,0.7500,13
59,1,61,1,1.0000,0
59,1,62,1,0.8254,11
7,78,7,91,1.0000,0
7,78,29,37,0.8444,7
8,13,59,4,0.8750,9
26,150,26,163,1.0000,0
26,150,26,179,1.0000,0
7,81,27,55,0.8983,6
26,153,26,185,1.0000,0
7,82,27,56,0.8553,11
7,83,27,57,0.8667,6
7,80,29,28,0.9143,6
7,79,7,93,0.7407,21
26,158,26,174,0.7037,16
26,158,26,190,0.7037,16
26,159,26,175,1.0000,0
26,159,26,191,1.0000,0
7,91,29,37,0.8444,7
26,162,26,178,1.0000,0
26,163,26,179,1.0000,0
26,161,26,177,0.7000,9
26,164,26,180,1.0000,0
12,104,26,164,0.7500,13
7,97,7,98,0.7917,10
26,170,37,134,0.8636,3
26,171,37,135,1.0000,0
26,172,37,82,0.8235,3
26,172,37,136,1.0000,0
26,173,27,58,1.0000,0
26,174,26,190,1.0000,0
26,175,26,191,1.0000,0
26,177,37,124,0.7200,7
12,104,26,180,0.7500,13
61,1,62,1,0.8254,11
9,33,61,9,1.0000,0
9,32,61,8,0.7949,16
15,12,26,200,0.8929,3
26,204,37,176,1.0000,0
15,84,26,207,0.8621,4
15,4,26,208,0.7368,10
58,16,63,2,0.7031,19
27,3,31,4,1.0000,0
7,159,7,181,0.7692,9
8,28,64,15,0.7719,13
27,10,28,31,0.7143,28
13,9,64,18,0.7647,8
32,6,64,18,0.8378,6
7,183,68,45,1.0000,0
9,73,66,9,1.0000,0
10,63,27,53,0.7500,8
32,9,67,23,0.7273,21
10,48,67,25,1.0000,0
27,71,67,25,1.0000,0
32,28,67,25,0.9167,3
34,29,67,25,1.0000,0
36,48,67,25,1.0000,0
10,48,27,71,1.0000,0
27,71,32,28,0.9167,3
27,71,34,29,1.0000,0
27,71,36,48,1.0000,0
27,74,28,69,0.8947,4
68,15,83,13,1.0000,0
27,80,30,52,0.9821,1
27,81,30,53,0.9859,1
10,67,27,86,0.7875,17
68,26,83,32,0.7188,9
37,27,68,30,0.8571,4
37,50,68,30,0.8929,3
12,1,28,2,0.7857,6
28,2,31,2,0.8636,3
37,154,68,36,1.0000,0
12,22,28,14,0.8833,7
38,87,68,52,0.8696,3
68,52,81,27,0.8696,3
69,3,86,2,0.8421,3
69,3,90,12,0.8421,3
69,3,74,27,0.7368,5
69,3,83,19,0.7368,5
69,19,69,25,0.7037,16
69,22,88,10,1.0000,0
69,34,89,18,0.8519,4
28,62,28,74,1.0000,0
69,40,81,19,1.0000,0
69,41,69,42,0.7059,10
28,71,28,72,0.8165,20
69,52,87,1,0.7000,6
9,55,9,85,0.8586,14
70,12,80,36,0.8462,2
87,8,92,7,0.7857,3
70,20,70,21,0.7500,5
70,23,70,34,0.8214,5
70,26,83,11,0.8333,4
87,11,92,17,0.8000,3
70,29,70,34,0.7143,8
87,14,91,9,0.7500,4
16,42,29,59,1.0000,0
9,119,33,70,0.7755,11
16,55,29,66,0.9070,4
29,66,30,34,0.8605,6
29,68,39,32,0.7590,20
10,1,12,1,0.8929,3
10,1,15,1,0.7188,9
10,1,31,2,0.7857,6
30,12,30,14,0.7000,9
30,15,84,25,0.7059,15
30,15,95,6,0.7059,15
73,1,74,1,0.7857,3
16,55,30,34,0.9535,2
73,19,76,29,1.0000,0
10,38,11,13,0.8617,13
10,42,10,43,0.7627,14
10,48,32,28,0.9167,3
10,48,34,29,1.0000,0
10,48,36,48,1.0000,0
74,19,74,20,0.7857,3
37,15,74,24,0.7308,7
74,27,83,8,0.8235,3
74,27,83,19,0.7222,5
74,27,86,2,0.7368,5
74,27,90,12,0.7368,5
31,8,84,25,0.7347,13
31,8,95,6,0.7200,14
31,8,98,7,0.7600,12
74,33,89,4,0.7143,4
74,34,81,18,0.8000,3
74,54,80,11,0.9286,1
74,55,80,12,1.0000,0
75,12,75,30,0.9048,2
75,19,88,26,0.7778,4
75,22,75,24,0.8235,3
75,22,80,38,0.8125,3
75,22,88,2,0.8125,3
75,22,88,8,0.8750,2
75,24,80,38,0.7647,4
75,24,88,2,0.7647,4
75,24,88,8,0.7647,4
32,28,34,29,0.9167,3
32,28,36,48,0.9167,3
11,11,34,4,0.7541,15
11,11,98,7,0.7018,17
75,32,92,16,0.7857,3
75,34,75,35,0.8125,3
11,22,16,109,0.9394,2
77,3,79,2,0.8571,2
37,3,77,5,0.7857,3
77,9,81,11,0.8125,3
77,9,82,1,0.7059,5
77,10,81,3,0.8125,3
77,14,82,17,0.8636,3
77,14,82,18,0.7500,6
77,14,97,2,0.7391,6
77,15,77,19,1.0000,0
77,15,77,24,1.0000,0
77,15,77,28,1.0000,0
77,15,77,34,1.0000,0
77,15,77,37,1.0000,0
77,15,77,40,1.0000,0
77,15,77,45,1.0000,0
77,15,77,47,1.0000,0
77,15,77,49,1.0000,0
77,15,83,10,1.0000,0
37,34,77,18,0.8261,4
77,19,77,24,1.0000,0
77,19,77,28,1.0000,0
77,19,77,34,1.0000,0
77,19,77,37,1.0000,0
77,19,77,40,1.0000,0
77,19,77,45,1.0000,0
77,19,77,47,1.0000,0
77,19,77,49,1.0000,0
77,19,83,10,1.0000,0
77,24,77,28,1.0000,0
77,24,77,34,1.0000,0
77,24,77,37,1.0000,0
77,24,77,40,1.0000,0
77,24,77,45,1.0000,0
77,24,77,47,1.0000,0
77,24,77,49,1.0000,0
77,24,83,10,1.0000,0
77,25,78,6,0.8500,3
77,28,77,34,1.0000,0
77,28,77,37,1.0000,0
77,28,77,40,1.0000,0
77,28,77,45,1.0000,0
77,28,77,47,1.0000,0
77,28,77,49,1.0000,0
77,28,83,10,1.0000,0
77,34,77,37,1.0000,0
77,34,77,40,1.0000,0
77,34,77,45,1.0000,0
77,34,77,47,1.0000,0
77,34,77,49,1.0000,0
77,34,83,10,1.0000,0
37,92,77,35,0.7059,5
77,37,77,40,1.0000,0
77,37,77,45,1.0000,0
77,37,77,47,1.0000,0
77,37,77,49,1.0000,0
77,37,83,10,1.0000,0
34,5,34,38,0.7143,16
77,40,77,45,1.0000,0
77,40,77,47,1.0000,0
77,40,77,49,1.0000,0
77,40,83,10,1.0000,0
15,45,77,41,0.8750,3
37,80,77,44,1.0000,0
37,121,77,44,1.0000,0
37,131,77,44,1.0000,0
37,110,77,44,0.8182,4
77,45,77,47,1.0000,0
77,45,77,49,1.0000,0
77,45,83,10,1.0000,0
77,47,77,49,1.0000,0
77,47,83,10,1.0000,0
77,49,83,10,1.0000,0
78,4,78,5,0.7857,3
78,7,79,32,0.7857,3
34,29,36,48,1.0000,0
12,1,15,1,0.8125,6
78,24,78,35,0.7241,8
79,3,79,4,0.7857,3
14,20,35,17,1.0000,0
35,20,35,21,0.7619,5
79,33,80,32,1.0000,0
79,39,79,41,0.8500,3
36,3,37,133,0.7143,6
36,3,37,139,0.7143,6
36,29,36,53,0.7292,13
80,38,88,2,0.7500,4
80,38,88,8,0.7500,4
81,3,81,6,0.7500,4
81,3,81,12,0.7500,4
81,5,81,10,0.7500,4
81,6,81,12,0.7500,4
81,6,82,3,0.9375,1
81,11,82,1,0.7059,5
81,11,84,1,0.7500,4
81,15,84,16,0.8000,3
81,17,89,4,0.8000,3
81,17,92,1,0.7333,4
81,17,93,2,0.8000,3
38,87,81,27,1.0000,0
82,1,84,1,0.8235,3
37,5,38,66,0.7907,9
82,13,83,22,1.0000,0
15,17,37,7,0.7200,7
82,17,82,18,0.8750,3
82,17,97,2,0.7391,6
37,16,37,53,0.9024,4
83,7,83,18,0.7931,6
83,8,83,19,0.8333,3
83,9,83,20,1.0000,0
37,25,37,92,0.8235,3
37,27,37,50,0.9643,1
83,19,86,2,0.7368,5
83,19,90,12,0.7368,5
83,23,83,35,1.0000,0
14,29,38,56,0.7692,6
37,40,37,74,1.0000,0
37,40,37,128,1.0000,0
37,40,37,160,1.0000,0
37,40,37,169,0.8696,3
15,40,37,40,0.7826,5
37,40,38,83,0.7826,5
37,48,38,52,0.7407,7
84,2,84,5,1.0000,0
37,60,37,106,0.7083,7
84,17,89,4,0.7143,4
84,22,85,19,0.7391,6
84,25,95,6,0.9800,1
85,1,86,11,0.8333,3
37,74,37,128,1.0000,0
37,74,37,160,1.0000,0
37,74,37,169,0.8696,3
15,40,37,74,0.7826,5
37,74,38,83,0.7826,5
37,78,37,108,1.0000,0
37,78,37,119,0.9167,2
37,78,37,129,1.0000,0
37,80,37,121,1.0000,0
37,80,37,131,1.0000,0
37,80,37,110,0.8182,4
37,82,37,136,0.8235,3
37,81,37,111,1.0000,0
37,81,37,122,0.9167,2
37,81,37,132,1.0000,0
85,17,88,1,0.7500,5
15,29,38,72,1.0000,0
15,30,38,73,1.0000,0
15,34,38,77,1.0000,0
86,2,90,12,0.7895,4
15,36,38,79,1.0000,0
15,37,38,80,1.0000,0
15,38,38,81,1.0000,0
15,35,38,78,0.8621,4
15,40,37,128,0.7826,5
15,40,37,160,0.7826,5
15,40,38,83,1.0000,0
37,108,37,119,0.9167,2
37,108,37,129,1.0000,0
37,109,37,130,0.7059,5
37,110,37,121,0.8182,4
37,110,37,131,0.8182,4
37,111,37,122,0.9167,2
37,111,37,132,1.0000,0
37,114,37,120,0.7200,7
37,117,37,118,0.7200,7
37,119,37,129,0.9167,2
37,122,37,132,0.9167,2
37,121,37,131,1.0000,0
37,123,37,133,0.8182,4
37,123,37,139,0.8182,4
37,128,37,160,1.0000,0
37,128,37,169,0.8696,3
37,128,38,83,0.7826,5
37,133,37,139,0.8571,3
88,2,88,8,0.8125,3
15,73,15,83,0.8571,3
15,75,15,77,0.7600,6
88,18,88,19,0.7000,6
37,160,37,169,0.8696,3
37,160,38,83,0.7826,5
89,4,91,4,0.7059,5
89,4,92,1,0.8000,3
89,4,93,2,0.7857,3
37,165,37,166,0.7778,4
37,174,37,178,0.9412,1
37,175,37,179,0.8947,2
90,5,90,7,0.7200,7
91,2,91,3,0.7647,4
91,3,92,2,0.7647,4
91,4,92,1,0.8235,3
92,1,93,2,0.8000,3
92,6,92,9,0.7500,3
92,7,92,10,0.9286,1
93,7,93,8,0.7059,5
93,9,93,10,0.7000,6
94,5,94,6,0.9412,1
