global_idx,surah,verse,n_letters,rhyme_letter,topics,pct_emphatic,pct_resonant,pct_plosive,pct_fricative,pct_guttural,pct_labial
1379,10,15,138,م,punishment|prophets|dialogue,0.07971,0.42029,0.28986,0.11594,0.2029,0.15217
1380,10,16,65,ن,creation|dialogue,0.09231,0.41538,0.29231,0.13846,0.15385,0.24615
1381,10,17,54,ن,polytheism-rejection,0.05556,0.42593,0.22222,0.18519,0.16667,0.25926
1382,10,18,123,ن,creation|prayer|dialogue|polytheism-rejection,0.05691,0.47967,0.15447,0.14634,0.17073,0.22764
1383,10,19,71,ن,,0.05634,0.43662,0.19718,0.22535,0.14085,0.28169
1384,10,20,68,ن,dialogue,0.10294,0.57353,0.16176,0.14706,0.16176,0.22059
1385,10,21,84,ن,mercy|prophets|dialogue,0.11905,0.42857,0.2381,0.16667,0.16667,0.17857
1386,10,22,166,ن,nature-imagery,0.07831,0.46386,0.20482,0.19277,0.16867,0.21084
1387,10,23,113,ن,creation,0.04425,0.42478,0.22124,0.15929,0.18584,0.22124
1388,10,24,198,ن,creation|nature-imagery,0.07576,0.38889,0.21717,0.19192,0.19697,0.14141
1389,10,25,45,م,,0.11111,0.46667,0.2,0.13333,0.13333,0.15556
1390,10,26,72,ن,paradise,0.06944,0.41667,0.18056,0.26389,0.22222,0.16667
1391,10,27,118,ن,hell|eschatology,0.0678,0.41525,0.19492,0.22034,0.20339,0.20339
1392,10,28,89,ن,prophets|prayer|dialogue|polytheism-rejection,0.06742,0.49438,0.23596,0.13483,0.1236,0.24719
1393,10,29,46,ن,legal|prayer,0.0,0.3913,0.26087,0.15217,0.13043,0.21739
1394,10,30,63,ن,,0.06349,0.47619,0.1746,0.1746,0.12698,0.25397
1395,10,31,114,ن,creation|dialogue,0.12281,0.5614,0.19298,0.12281,0.10526,0.23684
1396,10,32,48,ن,,0.125,0.35417,0.20833,0.22917,0.125,0.20833
1397,10,33,39,ن,,0.07692,0.4359,0.28205,0.15385,0.12821,0.17949
1398,10,34,63,ن,creation|dialogue,0.07937,0.4127,0.30159,0.1746,0.20635,0.15873
1399,10,35,97,ن,dialogue,0.07216,0.43299,0.28866,0.16495,0.2268,0.13402
1400,10,36,60,ن,,0.06667,0.48333,0.16667,0.15,0.2,0.16667
1401,10,37,83,ن,,0.09639,0.49398,0.21687,0.13253,0.08434,0.18072
1402,10,38,66,ن,prophets|dialogue,0.10606,0.43939,0.25758,0.15152,0.13636,0.24242
1403,10,39,81,ن,polytheism-rejection,0.07407,0.4321,0.24691,0.17284,0.12346,0.25926
1404,10,40,45,ن,,0.02222,0.6,0.2,0.13333,0.17778,0.4
1405,10,41,60,ن,prophets|dialogue|polytheism-rejection,0.05,0.58333,0.26667,0.03333,0.16667,0.35
1406,10,42,47,ن,,0.04255,0.55319,0.19149,0.10638,0.14894,0.2766
1407,10,43,45,ن,,0.08889,0.57778,0.2,0.11111,0.13333,0.24444
1408,10,44,42,ن,,0.04762,0.52381,0.09524,0.21429,0.11905,0.14286
1409,10,45,87,ن,eschatology|polytheism-rejection,0.06897,0.47126,0.18391,0.17241,0.14943,0.21839
1410,10,46,63,ن,prophets|legal,0.04762,0.49206,0.15873,0.1746,0.19048,0.22222
1411,10,47,49,ن,prophets,0.14286,0.4898,0.20408,0.22449,0.14286,0.26531
1412,10,48,30,ن,dialogue,0.1,0.46667,0.26667,0.1,0.1,0.2
1413,10,49,81,ن,dialogue|eschatology,0.06173,0.39506,0.23457,0.18519,0.19753,0.14815
1414,10,50,53,ن,punishment|dialogue,0.07547,0.39623,0.28302,0.11321,0.18868,0.18868
1415,10,51,39,ن,,0.05128,0.35897,0.41026,0.12821,0.23077,0.25641
