surah,period,verses,la,ma,lam,lan,in_neg,kayla,laysa,ghayr,total_neg,density
87,Meccan,19,3,0,0,0,0,0,0,0,3,0.1579
88,Meccan,26,4,0,0,0,0,0,2,0,6,0.2308
89,Meccan,30,4,0,2,0,0,0,0,0,6,0.2000
90,Meccan,20,2,0,2,1,0,0,0,0,5,0.2500
91,Meccan,15,1,0,0,0,0,0,0,0,1,0.0667
92,Meccan,21,1,2,0,0,0,0,0,0,3,0.1429
93,Meccan,11,0,2,1,0,0,0,0,0,3,0.2727
94,Meccan,8,0,0,1,0,0,0,0,0,1,0.1250
95,Meccan,8,0,0,0,0,0,0,1,1,2,0.2500
96,Meccan,19,0,0,3,0,0,0,0,0,3,0.1579
97,Meccan,5,0,0,0,0,0,0,0,0,0,0.0000
98,Medinan,8,0,2,1,0,0,0,0,0,3,0.3750
99,Medinan,8,0,0,0,0,0,0,0,0,0,0.0000
100,Meccan,11,1,0,0,0,0,0,0,0,1,0.0909
101,Meccan,11,0,0,0,0,0,0,0,0,0,0.0000
102,Meccan,8,0,0,0,0,0,0,0,0,0,0.0000
103,Meccan,3,0,0,0,0,0,0,0,0,0,0.0000
104,Meccan,9,0,0,0,0,0,0,0,0,0,0.0000
105,Meccan,5,0,0,2,0,0,0,0,0,2,0.4000
106,Meccan,4,0,0,0,0,0,0,0,0,0,0.0000
107,Meccan,7,1,0,0,0,0,0,0,0,1,0.1429
108,Meccan,3,0,0,0,0,0,0,0,0,0,0.0000
109,Meccan,6,4,0,0,0,0,0,0,0,4,0.6667
110,Medinan,3,0,0,0,0,0,0,0,0,0,0.0000
111,Meccan,5,0,1,0,0,0,0,0,0,1,0.2000
112,Meccan,4,0,0,3,0,0,0,0,0,3,0.7500
113,Meccan,5,0,0,0,0,0,0,0,0,0,0.0000
114,Meccan,6,0,0,0,0,0,0,0,0,0,0.0000
