sid,name,type,n_verses,n_letters,n_bigrams,H_unigram,H_joint,H_cond,residual_H_cond
98,Al-Bayyinah,medinan,8,404,403,4.294343,7.045688,2.751345,0.072475
99,Az-Zalzalah,medinan,8,158,157,4.322201,6.245142,1.922941,-0.326449
100,Al-'Adiyat,meccan,11,169,168,4.393188,6.565473,2.172285,-0.107957
101,Al-Qari'ah,meccan,11,160,159,4.080432,6.230938,2.150506,-0.104651
102,At-Takathur,meccan,8,123,122,3.985419,5.857706,1.872287,-0.262192
103,Al-'Asr,meccan,3,73,72,3.671001,5.280233,1.609231,-0.284990
104,Al-Humazah,meccan,9,134,133,4.215409,6.318635,2.103225,-0.070584
105,Al-Fil,meccan,5,97,96,4.081716,6.084963,2.003247,-0.022040
106,Quraysh,meccan,4,77,76,4.261206,5.833325,1.572119,-0.346735
107,Al-Ma'un,meccan,7,114,113,3.942016,5.918636,1.976620,-0.122946
108,Al-Kawthar,meccan,3,43,42,3.996384,5.106603,1.110219,-0.538442
109,Al-Kafirun,meccan,6,99,98,3.657928,5.175571,1.517643,-0.517037
110,An-Nasr,medinan,3,80,79,4.182706,5.898717,1.716011,-0.220481
111,Al-Masad,meccan,5,81,80,4.158112,5.978056,1.819944,-0.122278
112,Al-Ikhlas,meccan,4,47,46,3.406517,4.675311,1.268794,-0.421312
113,Al-Falaq,meccan,5,73,72,4.146356,5.565623,1.419266,-0.474955
114,An-Nas,meccan,6,80,79,3.746890,5.051227,1.304337,-0.632155
