surah_id,type,letter_count,cluster,labial,alveolar,palatal,velar,pharyngeal,glottal,emphatic,voiced,continuant
101,meccan,160,0,0.237500,0.237500,0.087500,0.062500,0.043750,0.093750,0.006250,0.725000,0.887500
102,meccan,123,1,0.203252,0.390244,0.081301,0.065041,0.073171,0.016260,0.000000,0.747967,0.845528
103,meccan,73,2,0.219178,0.383562,0.027397,0.013699,0.068493,0.000000,0.068493,0.794521,0.904110
104,meccan,134,0,0.179104,0.343284,0.074627,0.029851,0.074627,0.111940,0.029851,0.738806,0.835821
105,meccan,97,0,0.237113,0.319588,0.154639,0.051546,0.072165,0.051546,0.041237,0.731959,0.793814
106,meccan,77,0,0.259740,0.259740,0.129870,0.012987,0.064935,0.077922,0.025974,0.740260,0.870130
107,meccan,114,0,0.175439,0.350877,0.149123,0.026316,0.061404,0.043860,0.035088,0.833333,0.894737
108,meccan,43,2,0.139535,0.372093,0.046512,0.093023,0.046512,0.023256,0.046512,0.697674,0.813953
109,meccan,99,3,0.262626,0.323232,0.050505,0.040404,0.080808,0.010101,0.000000,0.898990,0.737374
110,medinan,80,0,0.200000,0.350000,0.075000,0.025000,0.062500,0.062500,0.012500,0.700000,0.800000
111,meccan,81,0,0.234568,0.320988,0.098765,0.012346,0.061728,0.086420,0.024691,0.728395,0.765432
112,meccan,47,1,0.212766,0.404255,0.063830,0.063830,0.042553,0.085106,0.021277,0.765957,0.829787
113,meccan,73,1,0.219178,0.315068,0.068493,0.082192,0.082192,0.000000,0.000000,0.712329,0.821918
114,meccan,80,1,0.162500,0.450000,0.062500,0.025000,0.025000,0.025000,0.012500,0.775000,0.925000
