surah_id,name,transliteration,type,length_tokens,MaxN,top_ngram,top_count,h195_residual,highest_count_refrain_ngram,highest_count_refrain_count,highest_count_refrain_n
60,الممتحنة,Al-Mumtahanah,medinan,352,4,يا أيها الذين آمنوا,3,0.115673,يا أيها,4,2
61,الصف,As-Saf,medinan,226,4,يا أيها الذين آمنوا,3,0.229273,الذين آمنوا,4,2
62,الجمعة,Al-Jumu'ah,medinan,177,1,الله,6,0.189209,,,
63,المنافقون,Al-Munafiqun,medinan,181,1,الله,9,0.156591,,,
64,التغابن,At-Taghabun,medinan,242,1,الله,9,0.227614,,,
65,الطلاق,At-Talaq,medinan,289,3,ومن يتق الله,3,0.226441,ومن يتق الله,3,3
66,التحريم,At-Tahrim,medinan,254,3,يا أيها الذين,3,0.291803,يا أيها,5,2
67,الملك,Al-Mulk,meccan,333,2,قل هو,3,0.246042,قل هو,3,2
68,القلم,Al-Qalam,meccan,301,1,إن,7,0.341326,,,
69,الحاقة,Al-Haqqah,meccan,260,1,في,6,0.313886,,,
70,المعارج,Al-Ma'arij,meccan,217,2,والذين هم,5,0.306768,والذين هم,5,2
71,نوح,Nuh,meccan,227,1,لكم,6,0.181114,,,
72,الجن,Al-Jinn,meccan,286,2,أن لن,3,0.215014,أن لن,3,2
73,المزمل,Al-Muzzammil,meccan,200,1,إن,7,0.33666,,,
74,المدثر,Al-Muddaththir,meccan,256,1,إلا,8,0.375387,,,
75,القيامة,Al-Qiyamah,meccan,164,1,الإنسان,6,0.218565,,,
76,الانسان,Al-Insan,medinan,243,2,من فضة,3,0.308597,من فضة,3,2
77,المرسلات,Al-Mursalat,meccan,181,4,ويل يومئذ للمكذبين ألم,3,0.15991,ويل يومئذ للمكذبين,10,3
78,النبإ,An-Naba,meccan,174,1,لا,5,0.295769,,,
79,النازعات,An-Nazi'at,meccan,179,1,إلى,4,0.25643,,,
80,عبس,'Abasa,meccan,133,1,من,5,0.358374,,,
81,التكوير,At-Takwir,meccan,104,1,وإذا,11,0.095312,,,
82,الإنفطار,Al-Infitar,meccan,81,2,يوم الدين,3,0.160845,يوم الدين,3,2
83,المطففين,Al-Mutaffifin,meccan,169,1,إن,5,0.182013,,,
84,الإنشقاق,Al-Inshiqaq,meccan,108,0,,0,0.372991,,,
85,البروج,Al-Buruj,meccan,109,1,إن,3,0.173389,,,
86,الطارق,At-Tariq,meccan,61,1,من,3,0.081713,,,
87,الأعلى,Al-A'la,meccan,72,0,,0,0.207811,,,
88,الغاشية,Al-Ghashiyah,meccan,92,1,كيف,4,0.24194,,,
89,الفجر,Al-Fajr,meccan,139,1,ربك,5,0.283242,,,
90,البلد,Al-Balad,meccan,82,0,,0,0.265145,,,
91,الشمس,Ash-Shams,meccan,54,1,إذا,3,-0.057457,,,
92,الليل,Al-Layl,meccan,71,1,إذا,3,0.04848,,,
93,الضحى,Ad-Duhaa,meccan,40,1,ربك,3,-0.063091,,,
94,الشرح,Ash-Sharh,meccan,27,0,,0,-0.315432,,,
95,التين,At-Tin,meccan,34,0,,0,0.098414,,,
96,العلق,Al-'Alaq,meccan,72,1,إن,4,0.025446,,,
97,القدر,Al-Qadr,meccan,30,2,ليلة القدر,3,-0.20824,ليلة القدر,3,2
98,البينة,Al-Bayyinah,medinan,94,1,من,5,0.072475,,,
99,الزلزلة,Az-Zalzalah,medinan,36,0,,0,-0.326449,,,
100,العاديات,Al-'Adiyat,meccan,40,0,,0,-0.107957,,,
101,القارعة,Al-Qari'ah,meccan,36,1,القارعة,3,-0.104651,,,
102,التكاثر,At-Takathur,meccan,28,1,تعلمون,3,-0.262192,,,
103,العصر,Al-'Asr,meccan,14,0,,0,-0.28499,,,
104,الهمزة,Al-Humazah,meccan,33,0,,0,-0.070584,,,
105,الفيل,Al-Fil,meccan,23,0,,0,-0.02204,,,
106,قريش,Quraysh,meccan,17,0,,0,-0.346735,,,
107,الماعون,Al-Ma'un,meccan,25,0,,0,-0.122946,,,
108,الكوثر,Al-Kawthar,meccan,10,0,,0,-0.538442,,,
109,الكافرون,Al-Kafirun,meccan,27,1,ما,4,-0.517037,,,
110,النصر,An-Nasr,medinan,19,0,,0,-0.220481,,,
111,المسد,Al-Masad,meccan,23,0,,0,-0.122278,,,
112,الإخلاص,Al-Ikhlas,meccan,15,0,,0,-0.421312,,,
113,الفلق,Al-Falaq,meccan,23,2,ومن شر,3,-0.474955,ومن شر,3,2
114,الناس,An-Nas,meccan,20,1,الناس,4,-0.632155,,,
