mushaf_order,name_tl,period,revelation_order,noldeke_order,noldeke_phase,n_lemma_tokens,n_distinct_lemmas,zipf_alpha,r_squared,boot_alpha_lo,boot_alpha_hi,boot_alpha_median,status
55,Ar-Rahman,Medinan,97,43,Early Meccan,348,141,0.727058,0.864303,0.824386,0.935272,0.877455,ok
56,Al-Waqiah,Meccan,46,41,Early Meccan,363,205,0.580572,0.876633,0.663245,0.759908,0.708574,ok
57,Al-Hadid,Medinan,94,99,Medinan,550,248,0.691199,0.933658,0.736994,0.821245,0.777882,ok
58,Al-Mujadilah,Medinan,105,106,Medinan,453,197,0.719053,0.935783,0.749681,0.845394,0.799458,ok
59,Al-Hashr,Medinan,101,102,Medinan,427,212,0.64359,0.908894,0.706397,0.801104,0.756384,ok
60,Al-Mumtahanah,Medinan,91,110,Medinan,332,157,0.689605,0.926087,0.717806,0.826208,0.772711,ok
61,As-Saff,Medinan,109,98,Medinan,216,123,0.581942,0.893803,0.631992,0.767014,0.701839,ok
62,Al-Jumuah,Medinan,110,94,Medinan,171,103,0.547118,0.894857,0.598708,0.744416,0.6706,ok
63,Al-Munafiqun,Medinan,104,104,Medinan,170,102,0.547045,0.889969,0.601449,0.742681,0.675752,ok
64,At-Taghabun,Medinan,108,93,Medinan,233,137,0.554652,0.878142,0.622509,0.746571,0.684934,ok
65,At-Talaq,Medinan,99,101,Medinan,279,147,0.60731,0.918867,0.651113,0.769359,0.713638,ok
66,At-Tahrim,Medinan,107,109,Medinan,241,143,0.544804,0.903589,0.594797,0.714395,0.655188,ok
67,Al-Mulk,Meccan,77,63,Middle Meccan,314,170,0.61268,0.898751,0.655781,0.763966,0.70937,ok
68,Al-Qalam,Meccan,2,18,Early Meccan,278,170,0.525477,0.861834,0.615663,0.727168,0.671539,ok
69,Al-Haqqah,Meccan,78,38,Early Meccan,252,156,0.524014,0.879117,0.596816,0.707427,0.652944,ok
70,Al-Maarij,Meccan,79,42,Early Meccan,209,141,0.46375,0.839074,0.562162,0.687693,0.62825,ok
71,Nuh,Meccan,71,51,Middle Meccan,216,127,0.570359,0.87636,0.618175,0.752401,0.684321,ok
72,Al-Jinn,Meccan,40,62,Middle Meccan,279,138,0.669206,0.908349,0.704431,0.825499,0.764272,ok
73,Al-Muzzammil,Meccan,3,23,Early Meccan,194,128,0.484099,0.860684,0.559421,0.694905,0.626915,ok
74,Al-Muddaththir,Meccan,4,2,Early Meccan,249,154,0.525115,0.87349,0.582134,0.699023,0.641193,ok
75,Al-Qiyamah,Meccan,31,36,Early Meccan,160,103,0.500797,0.86838,0.551717,0.710317,0.630193,ok
76,Al-Insan,Medinan,98,52,Middle Meccan,238,154,0.498378,0.832663,0.5927,0.713027,0.653123,ok
77,Al-Mursalat,Meccan,33,32,Early Meccan,179,107,0.563393,0.846653,0.633758,0.772638,0.704468,ok
78,An-Naba,Meccan,80,33,Early Meccan,171,121,0.433721,0.816551,0.535543,0.67297,0.601094,ok
79,An-Naziat,Meccan,81,31,Early Meccan,172,126,0.406171,0.806266,0.503927,0.650128,0.577784,ok
80,Abasa,Meccan,24,17,Early Meccan,128,102,0.329656,0.761294,0.468469,0.611103,0.538325,ok
81,At-Takwir,Meccan,7,27,Early Meccan,101,76,0.352359,0.625015,0.539964,0.709022,0.625349,ok
82,Al-Infitar,Meccan,82,26,Early Meccan,79,53,0.497944,0.787342,0.559642,0.786973,0.678066,ok
83,Al-Mutaffifin,Meccan,86,37,Early Meccan,165,95,0.575316,0.894415,0.588767,0.750662,0.675176,ok
84,Al-Inshiqaq,Meccan,83,29,Early Meccan,104,75,0.405258,0.829555,0.490339,0.661501,0.575244,ok
85,Al-Buruj,Meccan,27,22,Early Meccan,100,76,0.375848,0.789976,0.476587,0.656358,0.562281,ok
86,At-Tariq,Meccan,36,15,Early Meccan,60,43,,,,,,insufficient-data
87,Al-A'la,Meccan,8,19,Early Meccan,72,60,0.290574,0.722509,0.43904,0.644054,0.536677,ok
88,Al-Ghashiyah,Meccan,68,34,Early Meccan,91,68,0.400622,0.77188,0.503738,0.686572,0.594527,ok
