id,name,type,raw_bytes,gzip_bytes,zlib_bytes,gzip_ratio,zlib_ratio
74,Al-Muddaththir,meccan,2352,942,930,0.4005102040816326,0.39540816326530615
75,Al-Qiyamah,meccan,1518,600,588,0.3952569169960474,0.38735177865612647
76,Al-Insan,medinan,2437,977,965,0.400902749281904,0.39597866228970047
77,Al-Mursalat,meccan,1865,667,655,0.3576407506702413,0.3512064343163539
78,An-Naba,meccan,1774,721,709,0.4064261555806088,0.3996617812852311
79,An-Nazi'at,meccan,1751,730,718,0.4169046259280411,0.41005139920045686
80,'Abasa,meccan,1236,551,539,0.4457928802588997,0.436084142394822
81,At-Takwir,meccan,973,418,406,0.4295991778006166,0.4172661870503597
82,Al-Infitar,meccan,749,339,327,0.45260347129506007,0.43658210947930576
83,Al-Mutaffifin,meccan,1677,653,641,0.38938580799045913,0.38223017292784733
84,Al-Inshiqaq,meccan,1000,438,426,0.438,0.426
85,Al-Buruj,meccan,1052,466,454,0.4429657794676806,0.43155893536121676
86,At-Tariq,meccan,568,282,270,0.4964788732394366,0.4753521126760563
87,Al-A'la,meccan,666,338,326,0.5075075075075075,0.4894894894894895
88,Al-Ghashiyah,meccan,855,397,385,0.464327485380117,0.4502923976608187
89,Al-Fajr,meccan,1312,572,560,0.43597560975609756,0.4268292682926829
90,Al-Balad,meccan,765,351,339,0.4588235294117647,0.44313725490196076
91,Ash-Shams,meccan,559,264,252,0.47227191413237923,0.45080500894454384
92,Al-Layl,meccan,698,330,318,0.47277936962750716,0.45558739255014324
93,Ad-Duhaa,meccan,369,202,190,0.5474254742547425,0.5149051490514905
94,Ash-Sharh,meccan,230,143,131,0.6217391304347826,0.5695652173913044
95,At-Tin,meccan,357,203,191,0.5686274509803921,0.5350140056022409
96,Al-'Alaq,meccan,650,303,291,0.46615384615384614,0.44769230769230767
97,Al-Qadr,meccan,259,156,144,0.6023166023166023,0.555984555984556
98,Al-Bayyinah,medinan,913,386,374,0.42278203723986857,0.40963855421686746
99,Az-Zalzalah,medinan,351,183,171,0.5213675213675214,0.48717948717948717
100,Al-'Adiyat,meccan,380,212,200,0.5578947368421052,0.5263157894736842
101,Al-Qari'ah,meccan,355,179,167,0.504225352112676,0.4704225352112676
102,At-Takathur,meccan,273,151,139,0.5531135531135531,0.5091575091575091
103,Al-'Asr,meccan,159,108,96,0.6792452830188679,0.6037735849056604
104,Al-Humazah,meccan,303,185,173,0.6105610561056105,0.570957095709571
105,Al-Fil,meccan,216,146,134,0.6759259259259259,0.6203703703703703
106,Quraysh,meccan,170,128,116,0.7529411764705882,0.6823529411764706
107,Al-Ma'un,meccan,252,151,139,0.5992063492063492,0.5515873015873016
108,Al-Kawthar,meccan,95,93,81,0.9789473684210527,0.8526315789473684
109,Al-Kafirun,meccan,224,115,103,0.5133928571428571,0.45982142857142855
110,An-Nasr,medinan,181,138,126,0.7624309392265194,0.6961325966850829
111,Al-Masad,meccan,184,135,123,0.7336956521739131,0.6684782608695652
112,Al-Ikhlas,meccan,108,85,73,0.7870370370370371,0.6759259259259259
113,Al-Falaq,meccan,168,116,104,0.6904761904761905,0.6190476190476191
114,An-Nas,meccan,179,115,103,0.6424581005586593,0.5754189944134078
