surah,verse,word,form_bw,form_ar,pos,root,lemma,marker,stem_dual,pron_suffix_dual,is_verb,is_impf,mood
5,64,12,yadaAhu,يَدَاهُ,N,ydy,yad,FD,1,0,0,0,
5,64,13,mabosuwTataAni,مَبْسُوطَتَانِ,N,bsT,mabosuwTataAn,FD,1,0,0,0,
5,75,14,kaAnaA,كَانَا,V,kwn,kaAna,3MD,1,1,1,0,
5,75,15,ya>okulaAni,يَأْكُلَانِ,V,Akl,>akala,3MD,1,1,1,1,
5,77,5,tagoluwA@,تَغْلُوا@,V,glw,tagoluw,2D,1,1,1,1,JUS
5,95,21,*awaA,ذَوَا,N,,*aA,MD,1,0,0,0,
5,106,12,{vonaAni,ٱثْنَانِ,N,vny,{vonayon,MD,1,0,0,0,
5,106,13,*awaA,ذَوَا,N,,*aA,MD,1,0,0,0,
5,106,17,'aAxaraAni,ءَاخَرَانِ,N,Axr,A^xar,MD,1,0,0,0,
5,106,28,taHobisuwnahumaA,تَحْبِسُونَهُمَا,V,Hbs,yaHobisu,,0,1,1,1,
5,106,32,fayuqosimaAni,فَيُقْسِمَانِ,V,qsm,>aqosamu,3MD,1,1,1,1,
5,107,4,>an~ahumaA,أَنَّهُمَا,ACC,,>an~,,0,1,0,0,
5,107,5,{sotaHaq~aA^,ٱسْتَحَقَّآ,V,Hqq,{sotaHaq~a,3MD,1,1,1,0,
5,107,7,fa_#aAxaraAni,فَـ#َاخَرَانِ,N,Axr,A^xar,MD,1,0,0,0,
5,107,8,yaquwmaAni,يَقُومَانِ,V,qwm,qaAma,3MD,1,1,1,1,
5,107,9,maqaAmahumaA,مَقَامَهُمَا,N,qwm,maqaAm,,0,1,0,0,
5,107,14,{lo>awolaya`ni,ٱلْأَوْلَيَٰنِ,N,wly,>awolaya`n,MD,1,0,0,0,
5,107,15,fayuqosimaAni,فَيُقْسِمَانِ,V,qsm,>aqosamu,3MD,1,1,1,1,
5,107,20,$aha`datihimaA,شَهَٰدَتِهِمَا,N,$hd,$aha`dap,,0,1,0,0,
5,116,12,<ila`hayoni,إِلَٰهَيْنِ,N,Alh,<ila`h,MD,1,0,0,0,
