loc,surah,verse,word,seg,form,pos,lemma,tag
(2:17:7:1),2,17,7,1,>aDaA^'ato,V,>aDaA^'a,V
(2:20:6:1),2,20,6,1,>aDaA^'a,V,>aDaA^'a,V
(10:5:5:1),10,5,5,1,DiyaA^'F,N,DiyaA^',N
(21:48:6:2),21,48,6,2,DiyaA^'F,N,DiyaA^',N
(24:35:28:1),24,35,28,1,yuDiY^'u,V,>aDaA^'a,V
(28:71:17:2),28,71,17,2,DiyaA^'K,N,DiyaA^',N
