sura,aya,surah_name,n_words,eligible,ineligible_reason,n_hadith,n_hadith_ambiguous,n_books,n_hadith_all17,n_hadith_surah_level,max_span_words,driver_span,b_bukhari,b_muslim,b_abudawud,b_tirmidhi,b_nasai,b_ibnmajah,b_malik,b_ahmed,b_darimi
2,59,البقره,18,1,,1,1,1,1,1,5,فبدل الذين ظلموا قولا غير,0,0,0,1,0,0,0,0,0
2,60,البقره,28,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,61,البقره,60,1,,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,62,البقره,24,1,,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,63,البقره,15,0,no_verse_distinctive_span,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,64,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,65,البقره,12,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,66,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,67,البقره,20,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,68,البقره,23,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,69,البقره,18,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,70,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,71,البقره,24,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,72,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,73,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,74,البقره,37,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,75,البقره,19,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,76,البقره,23,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,77,البقره,9,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,78,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,79,البقره,24,1,,2,0,1,2,2,5,من عند الله ليشتروا به,2,0,0,0,0,0,0,0,0
2,80,البقره,23,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,81,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,82,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,83,البقره,29,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,84,البقره,15,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,85,البقره,49,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,86,البقره,13,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,87,البقره,28,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,88,البقره,10,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,89,البقره,26,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,90,البقره,27,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,91,البقره,30,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,92,البقره,11,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,93,البقره,27,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2,94,البقره,17,1,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
