surah,verse,word,laA_form,verb_form,verb_lem,verb_root,verb_pgn
6,142,9,laA,tat~abiEu,{t~abaEa,tbE,2MP
6,150,12,laA,ta$ohado,$ahida,$hd,2MS
6,150,15,laA,tat~abiEo,{t~abaEa,tbE,2MS
6,151,14,laA,taqotulu,qatala,qtl,2MP
6,151,22,laA,taqorabu,yaqorabu,qrb,2MP
6,151,30,laA,taqotulu,qatala,qtl,2MP
6,152,1,laA,taqorabu,yaqorabu,qrb,2MP
6,153,6,laA,tat~abiEu,{t~abaEa,tbE,2MP
7,2,4,laA,yakun,kaAna,kwn,3MS
7,3,7,laA,tat~abiEu,{t~abaEa,tbE,2MP
7,19,10,laA,taqoraba,yaqorabu,qrb,
7,31,10,laA,tusorifu,>asorafa,srf,2MP
7,47,9,laA,tajoEalo,jaEala,jEl,2MS
7,56,1,laA,tufosidu,>afosadu,fsd,2MP
7,73,29,laA,tamas~u,mas~a,mss,2MP
7,74,21,laA,taEova,taEova,Evw,2MP
7,85,22,laA,taboxasu,yaboxaso,bxs,2MP
7,85,26,laA,tufosidu,>afosadu,fsd,2MP
7,86,1,laA,taqoEudu,qaEada,qEd,2MP
7,142,20,laA,tat~abiEo,{t~abaEa,tbE,2MS
7,150,31,laA,tu$omito,tu$omito,$mt,3FS
7,195,25,laA,tunZiru,yunZaru,nZr,2MP
7,205,13,laA,takun,kaAna,kwn,2MS
8,15,9,laA,tuwal~u,wal~aY`,wly,2MP
8,20,7,laA,tawal~a,tawal~aY`,wly,2MP
8,21,1,laA,takuwnu,kaAna,kwn,2MP
8,27,4,laA,taxuwnu,xaAnu,xwn,2MP
8,46,4,laA,tana`zaEu,tana`zaEu,nzE,2MP
8,47,1,laA,takuwnu,kaAna,kwn,2MP
8,60,32,laA,tuZolamu,Zalama,Zlm,2MP
9,23,4,laA,tat~axi*u,{t~axa*a,Ax*,2MP
9,36,22,laA,taZolimu,Zalama,Zlm,2MP
9,39,9,laA,taDur~u,yaDur~a,Drr,2MP
9,55,1,laA,tuEojibo,>aEojaba,Ejb,2MS
9,66,1,laA,taEota*iru,yaEota*iru,E*r,2MP
9,81,16,laA,tanfiru,nafara,nfr,2MP
9,84,8,laA,taqumo,qaAma,qwm,2MS
9,85,1,laA,tuEojibo,>aEojaba,Ejb,2MS
9,108,1,laA,taqumo,qaAma,qwm,2MS
10,71,32,laA,tunZiru,yunZaru,nZr,2MP
10,85,6,laA,tajoEalo,jaEala,jEl,2MS
10,89,6,laA,tat~abiEaA^,{t~abaEa,tbE,
10,105,6,laA,takuwna,kaAna,kwn,2MS
10,106,1,laA,tadoEu,daEaA,dEw,2MS
11,42,16,laA,takun,kaAna,kwn,2MS
11,52,15,laA,tatawal~a,tawal~aY`,wly,2MP
11,55,6,laA,tunZiru,yunZaru,nZr,2MP
11,64,12,laA,tamas~u,mas~a,mss,2MP
11,70,12,laA,taxafo,xaAfa,xwf,2MS
11,78,19,laA,tuxozu,>axozayo,xzy,2MP
11,84,14,laA,tanquSu,yunqaSu,nqS,2MP
11,85,6,laA,taboxasu,yaboxaso,bxs,2MP
11,85,10,laA,taEova,taEova,Evw,2MP
11,109,1,laA,taku,kaAna,kwn,2MS
11,112,7,laA,taToga,TagaY`,Tgy,2MP
11,113,1,laA,tarokanu,tarokanu,rkn,2MP
12,5,3,laA,taqoSuSo,qaS~a,qSS,2MS
12,10,4,laA,taqotulu,qatala,qtl,2MP
12,60,9,laA,taqorabu,yaqorabu,qrb,2MP
12,67,3,laA,tadoxulu,daxala,dxl,2MP
12,69,12,laA,tabota}iso,tabota}iso,bAs,2MS
12,87,7,laA,taA@yo_#asu,ya}isa,yAs,2MP
14,22,24,laA,taluwmu,lumo,lwm,2MP
14,34,10,laA,tuHoSu,>aHoSaY`,HSy,2MP
15,53,2,laA,tawojalo,wajilato,wjl,2MS
15,55,4,laA,takun,kaAna,kwn,2MS
15,68,5,laA,tafoDaHu,tafoDaHu,fDH,2MP
15,69,3,laA,tuxozu,>axozayo,xzy,2MP
15,88,10,laA,taHozano,yaHozun,Hzn,2MS
16,1,4,laA,tasotaEojilu,{sotaEojala,Ejl,2MP
16,18,5,laA,tuHoSu,>aHoSaY`,HSy,2MP
16,51,3,laA,tat~axi*u,{t~axa*a,Ax*,2MP
16,74,1,laA,taDoribu,Daraba,Drb,2MP
16,91,6,laA,tanquDu,naqaDato,nqD,2MP
16,92,1,laA,takuwnu,kaAna,kwn,2MP
16,94,1,laA,tat~axi*u,{t~axa*a,Ax*,2MP
16,95,1,laA,ta$otaru,{$otaraY`,$ry,2MP
16,116,1,laA,taquwlu,qaAla,qwl,2MP
16,127,9,laA,taku,kaAna,kwn,2MS
17,23,16,laA,taqul,qaAla,qwl,2MS
17,31,1,laA,taqotulu,qatala,qtl,2MP
