sid,name_tl,type,genre,n_root_tokens,n_distinct_roots,mean_freq,geom_mean_freq,median_freq,rare_density_5,hapax_density,common_only_density,null_z,log_n,length_quintile,gm_resid_rank_in_quintile,rare5_resid_rank_in_quintile,hapax_resid_rank_in_quintile
52,At-Tur,meccan,narrative,202,133,326.7722772277228,94.49752476375217,129.0,0.06930693069306931,0.009900990099009901,0.5396039603960396,-3.069542526397254,5.308267697401205,2,7,16,10
53,An-Najm,meccan,narrative,213,120,287.07042253521126,99.50434156400222,119,0.06103286384976526,0.028169014084507043,0.5352112676056338,-2.9380941545792236,5.3612921657094255,2,8,12,21
54,Al-Qamar,meccan,narrative,252,140,228.68650793650792,94.01736599495426,130.0,0.06746031746031746,0.015873015873015872,0.5595238095238095,-3.4346176042432117,5.529429087511423,2,6,15,14
55,Ar-Rahman,medinan,narrative,256,105,263.9609375,81.34111895512466,97.0,0.09765625,0.03515625,0.484375,-4.54345728705803,5.545177444479562,2,3,20,22
56,Al-Waqi'ah,meccan,narrative,255,141,210.23921568627452,62.06299268320207,75,0.11372549019607843,0.0196078431372549,0.40784313725490196,-5.589416826562068,5.541263545158426,2,1,22,17
57,Al-Hadid,medinan,narrative,390,175,482.5923076923077,172.8079820520045,194.0,0.02564102564102564,0.0,0.7,1.8527061127906648,5.966146739123692,3,18,6,3
58,Al-Mujadila,medinan,legal,297,143,620.1414141414141,176.5768606479754,160,0.037037037037037035,0.003367003367003367,0.5993265993265994,1.8769152547723287,5.6937321388027,3,19,14,12
59,Al-Hashr,medinan,polemic,286,157,524.1818181818181,155.41635880071462,160.5,0.045454545454545456,0.0,0.6258741258741258,0.3600938178505547,5.655991810819852,3,11,17,1
60,Al-Mumtahanah,medinan,legal,215,107,549.5488372093023,188.8855952622827,191,0.013953488372093023,0.0,0.6883720930232559,2.149773742623175,5.3706380281276624,2,19,4,3
61,As-Saf,medinan,narrative,145,81,642.2413793103449,223.83847887851704,201,0.013793103448275862,0.006896551724137931,0.7310344827586207,3.309930317178848,4.976733742420574,2,21,3,9
62,Al-Jumu'ah,medinan,narrative,117,76,563.3162393162393,187.69257694756385,191,0.0,0.0,0.6837606837606838,1.4955780595566286,4.762173934797756,1,21,1,6
63,Al-Munafiqun,medinan,narrative,117,73,648.2307692307693,206.57193606441822,201,0.03418803418803419,0.017094017094017096,0.7350427350427351,2.244806090415653,4.762173934797756,1,22,3,8
64,At-Taghabun,medinan,narrative,171,96,603.6081871345029,229.03964358708072,234,0.011695906432748537,0.005847953216374269,0.7251461988304093,4.079730735814755,5.14166355650266,2,22,2,6
65,At-Talaq,medinan,legal,202,97,555.7623762376238,180.76770951121657,181.0,0.009900990099009901,0.0,0.6584158415841584,1.7477890650103347,5.308267697401205,2,18,1,1
66,At-Tahrim,medinan,legal,171,96,480.5730994152047,160.64038015232265,160,0.017543859649122806,0.005847953216374269,0.6198830409356725,0.5419642438300364,5.14166355650266,2,16,5,7
67,Al-Mulk,meccan,narrative,208,127,358.71153846153845,119.63455888864281,148.0,0.0673076923076923,0.0,0.6009615384615384,-1.7590209957212424,5.337538079701318,2,12,13,2
68,Al-Qalam,meccan,narrative,191,123,298.5497382198953,87.5221894519967,129,0.1099476439790576,0.020942408376963352,0.5497382198952879,-3.445292389542874,5.25227342804663,2,5,21,18
69,Al-Haqqah,meccan,narrative,168,113,261.7261904761905,74.0466812870513,69.0,0.09523809523809523,0.023809523809523808,0.4107142857142857,-3.739543511312701,5.123963979403259,2,2,19,20
70,Al-Ma'arij,meccan,narrative,142,105,221.61267605633802,75.84587145910297,98.0,0.056338028169014086,0.02112676056338028,0.4788732394366197,-3.555535923774941,4.955827057601261,1,11,6,11
71,Nuh,meccan,narrative,153,87,439.3071895424837,150.81103960150563,184,0.0392156862745098,0.006535947712418301,0.6470588235294118,0.050929506155795466,5.030437921392435,2,15,9,8
72,Al-Jinn,meccan,narrative,178,100,457.2696629213483,115.57025390137395,107.0,0.06741573033707865,0.02247191011235955,0.5168539325842697,-1.9314410507748867,5.181783550292085,2,11,14,19
73,Al-Muzzammil,meccan,narrative,142,91,411.4154929577465,112.84628166136834,113.0,0.07042253521126761,0.028169014084507043,0.5563380281690141,-1.7701697555130522,4.955827057601261,1,17,9,14
74,Al-Muddaththir,meccan,narrative,162,109,313.75925925925924,104.3548852097062,127.0,0.043209876543209874,0.012345679012345678,0.5493827160493827,-2.3623504023177486,5.087596335232384,2,9,10,12
75,Al-Qiyamah,meccan,narrative,106,73,197.03773584905662,70.04564552775621,97.0,0.08490566037735849,0.03773584905660377,0.44339622641509435,-3.2281272910829233,4.663439094112067,1,9,11,16
76,Al-Insan,medinan,narrative,175,112,299.9657142857143,83.95578514711272,95,0.07428571428571429,0.017142857142857144,0.48,-3.379463000293043,5.1647859739235145,2,4,18,16
77,Al-Mursalat,meccan,narrative,115,79,189.62608695652173,67.21298596674704,72,0.08695652173913043,0.017391304347826087,0.46956521739130436,-3.632814250202992,4.74493212836325,1,7,13,9
78,An-Naba,meccan,eschatological,131,100,263.2290076335878,79.11085234436364,109,0.11450381679389313,0.022900763358778626,0.5190839694656488,-3.2375964244331543,4.875197323201151,1,13,20,13
79,An-Nazi'at,meccan,eschatological,122,93,235.88524590163934,61.70483323699004,61.0,0.10655737704918032,0.04918032786885246,0.4180327868852459,-3.9579240056114555,4.804021044733257,1,6,17,19
80,'Abasa,meccan,eschatological,88,70,118.45454545454545,47.53587966434437,54.5,0.11363636363636363,0.03409090909090909,0.3409090909090909,-3.7613700951870186,4.477336814478207,1,1,19,15
81,At-Takwir,meccan,eschatological,66,58,273.6363636363636,53.884664800086775,51.5,0.18181818181818182,0.10606060606060606,0.3939393939393939,-3.2008438557625944,4.189654742026425,1,3,22,22
82,Al-Infitar,meccan,eschatological,50,37,249.48,90.53436841128439,101.0,0.06,0.0,0.52,-1.7857862480070295,3.912023005428146,1,14,7,2
83,Al-Mutaffifin,meccan,eschatological,101,68,272.0693069306931,78.00145634619987,96,0.10891089108910891,0.04950495049504951,0.49504950495049505,-2.892211838320437,4.61512051684126,1,12,18,20
84,Al-Inshiqaq,meccan,eschatological,69,52,291.2608695652174,92.62199658842812,108,0.10144927536231885,0.0,0.5362318840579711,-1.882600937420556,4.23410650459726,1,15,15,5
85,Al-Buruj,meccan,eschatological,66,53,343.90909090909093,113.33434310661187,149.5,0.045454545454545456,0.0,0.5909090909090909,-1.313014420423645,4.189654742026425,1,18,5,4
86,At-Tariq,meccan,eschatological,41,33,175.0731707317073,55.24028466382347,44,0.0975609756097561,0.04878048780487805,0.43902439024390244,-2.4579894753503395,3.713572066704308,1,4,14,18
87,Al-A'la,meccan,hymn,49,41,243.75510204081633,93.09455367725778,132,0.04081632653061224,0.0,0.5102040816326531,-1.587486238736224,3.8918202981106265,1,16,4,1
88,Al-Ghashiyah,meccan,eschatological,60,50,162.03333333333333,56.880764900258086,67.5,0.08333333333333333,0.016666666666666666,0.31666666666666665,-2.9495170551056273,4.0943445622221,1,5,10,7
89,Al-Fajr,meccan,eschatological,92,64,228.2826086956522,67.82896039116635,84.0,0.08695652173913043,0.021739130434782608,0.40217391304347827,-3.2360802238769164,4.5217885770490405,1,8,12,12
90,Al-Balad,meccan,eschatological,52,45,176.78846153846155,50.123728452799,80.0,0.17307692307692307,0.07692307692307693,0.34615384615384615,-2.999402810289218,3.9512437185814275,1,2,21,21
91,Ash-Shams,meccan,eschatological,39,36,311.05128205128204,53.595402400882996,63,0.15384615384615385,0.10256410256410256,0.358974358974359,-2.4012285734244427,3.6635616461296463,0,11,12,16
92,Al-Layl,meccan,eschatological,48,41,141.375,72.29706438020952,86.0,0.0625,0.020833333333333332,0.4375,-2.2046202145778357,3.871201010907891,1,10,8,10
93,Ad-Duhaa,meccan,eschatological,28,23,184.35714285714286,55.293305437810666,99.5,0.14285714285714285,0.03571428571428571,0.5,-2.0463842969891255,3.332204510175204,0,12,11,12
94,Ash-Sharh,meccan,hymn,16,14,101.9375,29.35885343968429,28.0,0.0625,0.0,0.125,-1.9200185878475196,2.772588722239781,0,6,7,3
95,At-Tin,meccan,eschatological,25,22,315.76,97.03472423460131,154,0.04,0.04,0.6,-1.125367339482445,3.2188758248682006,0,14,6,13
96,Al-'Alaq,meccan,eschatological,49,32,343.0816326530612,127.76559290005606,212,0.10204081632653061,0.04081632653061224,0.5714285714285714,-0.6484208720616004,3.8918202981106265,1,19,16,17
97,Al-Qadr,meccan,eschatological,21,16,175.1904761904762,105.07596111958657,132,0.0,0.0,0.5714285714285714,-0.9500553139030712,3.044522437723423,0,18,3,7
