loc,surah,verse,word,seg,form,pos,lemma,tag
(25:61:9:1),25,61,9,1,sira`jFA,N,siraAj,N
(33:46:5:2),33,46,5,2,siraAjFA,N,siraAj,N
(71:16:7:1),71,16,7,1,siraAjFA,N,siraAj,N
(78:13:2:1),78,13,2,1,siraAjFA,N,siraAj,N
