loc,surah,verse,word,seg,form,pos,lemma,tag
(15:18:6:1),15,18,6,1,$ihaAbN,N,$ihaAb,N
(27:7:13:2),27,7,13,2,$ihaAbK,N,$ihaAb,N
(37:10:6:1),37,10,6,1,$ihaAbN,N,$ihaAb,N
(72:8:8:2),72,8,8,2,$uhubFA,N,$uhub,N
(72:9:12:1),72,9,12,1,$ihaAbFA,N,$ihaAb,N
