loc,surah,verse,word,seg,form,pos,lemma,tag
(20:10:13:2),20,10,13,2,qabasK,N,qabas,N
(27:7:14:1),27,7,14,1,qabasK,N,qabas,N
(57:13:8:1),57,13,8,1,naqotabiso,V,naqotabiso,V
