surah,name,type,n_verses,opening_chars,body_chars,self_concat_gz,self_delta,self_ncd,foreign_mean_gz,foreign_mean_delta,foreign_min_delta,foreign_max_delta,self_rank_size,self_rank_delta,self_rank_ncd,n_candidates
90,Al-Balad,meccan,20,18,404,351,8,0.8717201166180758,2087.1858407079644,13.84070796460177,5,22,28,10,24,114
91,Ash-Shams,meccan,15,13,292,264,10,0.8582677165354331,2086.2477876106195,12.11504424778761,6,19,22,33,22,114
92,Al-Layl,meccan,21,15,368,330,9,0.8785046728971962,2086.646017699115,13.106194690265486,-1,21,25,14,23,114
93,Ad-Duhaa,meccan,11,6,197,202,5,0.8578680203045685,2081.008849557522,6.371681415929204,2,11,20,34,20,114
94,Ash-Sharh,meccan,8,16,111,143,14,0.7209302325581395,2089.637168141593,14.398230088495575,4,25,11,55,10,114
95,At-Tin,meccan,8,15,179,203,9,0.8144329896907216,2083.309734513274,8.646017699115044,-2,16,19,62,19,114
96,Al-'Alaq,meccan,19,22,338,303,13,0.8344827586206897,2092.495575221239,18.68141592920354,11,25,24,10,22,114
97,Al-Qadr,meccan,5,25,118,156,12,0.6527777777777778,2092.2035398230087,17.097345132743364,4,27,12,18,8,114
98,Al-Bayyinah,medinan,8,67,437,386,25,0.7867036011080333,2115.902654867257,42.716814159292035,21,60,29,2,22,114
99,Az-Zalzalah,medinan,8,23,169,183,8,0.7428571428571429,2088.8849557522126,14.053097345132743,5,23,16,5,13,114
100,Al-'Adiyat,meccan,11,14,195,212,8,0.803921568627451,2086.9380530973453,12.36283185840708,2,19,21,12,19,114
101,Al-Qari'ah,meccan,11,7,187,179,1,0.8089887640449438,2081.0530973451328,6.247787610619469,0,11,18,6,15,114
102,At-Takathur,meccan,8,14,135,151,13,0.7536231884057971,2087.1769911504425,12.017699115044248,4,18,13,76,12,114
103,Al-'Asr,meccan,3,6,79,108,5,0.7281553398058253,2080.929203539823,5.460176991150442,-2,11,5,57,3,114
104,Al-Humazah,meccan,9,17,150,185,13,0.8197674418604651,2086.973451327434,12.11504424778761,4,18,16,75,16,114
105,Al-Fil,meccan,5,31,87,146,24,0.6065573770491803,2102.1150442477874,26.8141592920354,14,37,7,31,4,114
106,Quraysh,meccan,4,11,81,128,11,0.7350427350427351,2086.920353982301,11.575221238938052,7,17,7,59,7,114
107,Al-Ma'un,meccan,7,22,115,151,17,0.6865671641791045,2091.451327433628,16.256637168141594,2,24,12,72,11,114
108,Al-Kawthar,meccan,3,18,33,93,19,0.5540540540540541,2090.619469026549,14.893805309734514,6,23,1,106,1,114
109,Al-Kafirun,meccan,6,19,105,115,18,0.6391752577319587,2086.9823008849557,11.460176991150442,1,21,3,109,3,114
110,An-Nasr,medinan,3,23,76,138,22,0.6724137931034483,2092.3008849557523,16.946902654867255,8,25,7,103,7,114
111,Al-Masad,meccan,5,19,83,135,15,0.6666666666666666,2091.83185840708,16.513274336283185,9,23,8,41,7,114
112,Al-Ikhlas,meccan,4,14,46,85,11,0.5405405405405406,2086.6991150442477,10.973451327433628,2,17,1,65,1,114
113,Al-Falaq,meccan,5,17,77,116,15,0.6336633663366337,2091.0884955752213,15.601769911504425,9,24,4,57,3,114
114,An-Nas,meccan,6,17,81,115,14,0.6039603960396039,2089.9557522123896,14.469026548672566,6,23,4,53,3,114
