surah,surah_name,type,start,end,length,is_opening,first_oath_type,sworn_by_forms,sworn_by_roots,categories,mixed,chiastic_cats,in_U2,out_U2,post_v,post_en
79,An-Nazi'at,meccan,1,5,5,True,waw,n~a`ziEa`ti | n~a`$iTa`ti | s~a`biHa`ti | s~a`biqa`ti | mudab~ira`ti,nzE | n$T | sbH | sbq | dbr,angelic | angelic | angelic | angelic | angelic,False,False,0.4,0.2682926829268293,6,
80,'Abasa,meccan,35,36,4,False,waw,>um~i | >abiy | Sa`Hibati | baniy,Amm | Abw | SHb | bny,other | other | other | other,False,False,1.0,0.4,37,
81,At-Takwir,meccan,15,15,1,False,qsm,xun~asi,xns,other,False,False,1.0,0.2857142857142857,16,
81,At-Takwir,meccan,17,18,2,False,waw,yoli | S~uboHi,lyl | SbH,temporal | warrior,True,False,0.5,0.2962962962962963,19,
84,Al-Inshiqaq,meccan,16,18,3,False,qsm,$~afaqi | yoli | qamari,$fq | lyl | qmr,other | temporal | celestial,True,False,0.6666666666666666,0.2727272727272727,19,
85,Al-Buruj,meccan,1,3,4,True,waw,s~amaA^'i | yawomi | $aAhidK | ma$ohuwdK,smw | ywm | $hd | $hd,celestial | temporal | abstract | abstract,True,False,0.6666666666666666,0.3684210526315789,4,
86,At-Tariq,meccan,1,1,2,True,waw,s~amaA^'i | T~aAriqi,smw | Trq,celestial | celestial,False,False,1.0,0.1875,2,
86,At-Tariq,meccan,11,12,2,False,waw,s~amaA^'i | >aroDi,smw | ArD,celestial | terrestrial,True,False,0.5,0.2,13,
89,Al-Fajr,meccan,1,4,5,True,waw,fajori | layaAlK | $~afoEi | watori | yoli,fjr | lyl | $fE | wtr | lyl,temporal | temporal | numeric | numeric | temporal,True,False,0.25,0.23076923076923078,5,
89,Al-Fajr,meccan,9,10,2,False,waw,vamuwda | firoEawona, | ,other | other,False,False,1.0,0.14285714285714285,11,
90,Al-Balad,meccan,1,1,1,True,qsm,baladi,bld,terrestrial,False,False,1.0,0.3157894736842105,2,
90,Al-Balad,meccan,3,3,1,False,waw,waAlidK,wld,other,False,False,1.0,0.3157894736842105,4,
91,Ash-Shams,meccan,1,7,8,True,waw,$~amosi | DuHaY` | qamari | n~ahaAri | yoli | s~amaA^'i | >aroDi | nafosK,$ms | DHw | qmr | nhr | lyl | smw | ArD | nfs,celestial | temporal | celestial | temporal | temporal | celestial | terrestrial | psychological,True,False,1.0,1.0,8,
92,Al-Layl,meccan,1,2,2,True,waw,yoli | n~ahaAri,lyl | nhr,temporal | temporal,False,False,0.5,0.15789473684210525,3,
93,Ad-Duhaa,meccan,1,2,2,True,waw,D~uHaY` | yoli,DHw | lyl,temporal | temporal,False,False,0.5,0.2222222222222222,3,
95,At-Tin,meccan,1,3,4,True,waw,t~iyni | z~ayotuwni | Tuwri | baladi,tyn | zyt | Twr | bld,terrestrial | terrestrial | terrestrial | terrestrial,False,False,0.6666666666666666,0.6,4,
100,Al-'Adiyat,meccan,1,3,3,True,waw,Ea`diya`ti | muwriya`ti | mugiyra`ti,Edw | wry | gyr,warrior | other | warrior,True,True,1.0,0.25,4,
103,Al-'Asr,meccan,1,1,1,True,waw,EaSori,ESr,temporal,False,False,1.0,0.5,2,
