surah,verse,word,seg,form,lemma,root,pgn,addressee,rule
62,11,10,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
63,4,18,2,{Ho*aro,yaHo*aru,H*r,2MS,prophet:Muhammad,2MS-default
63,5,4,1,taEaAla,taEaAla,Elw,2MP,believers-or-group,2MP-default
63,10,1,2,>anfiqu,>anfaqa,nfq,2MP,believers-or-group,2MP-default
64,7,7,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
64,8,1,2,_#aAminu,'aAmana,Amn,2MP,believers-or-group,2MP-default
64,12,1,2,>aTiyEu,>aTaAEa,TwE,2MP,believers-or-group,2MP-default
64,12,3,2,>aTiyEu,>aTaAEa,TwE,2MP,believers-or-group,2MP-default
64,14,10,2,{Ho*aru,yaHo*aru,H*r,2MP,believers,voc
64,16,1,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
64,16,5,2,{somaEu,samiEa,smE,2MP,believers-or-group,2MP-default
64,16,6,2,>aTiyEu,>aTaAEa,TwE,2MP,believers-or-group,2MP-default
64,16,7,2,>anfiqu,>anfaqa,nfq,2MP,believers-or-group,2MP-default
65,1,6,2,Tal~iqu,Tal~aqa,Tlq,2MP,believers-or-group,2MP-default
65,1,8,2,>aHoSu,>aHoSaY`,HSy,2MP,believers-or-group,2MP-default
65,1,10,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
65,2,4,2,>amosiku,>amosaka,msk,2MP,believers-or-group,2MP-default
65,2,7,1,faAriqu,faAriqu,frq,2MP,believers-or-group,2MP-default
65,2,9,2,>a$ohidu,>a$ohada,$hd,2MP,believers-or-group,2MP-default
65,2,13,2,>aqiymu,>aqaAma,qwm,2MP,believers-or-group,2MP-default
65,6,1,1,>asokinu,>asokan,skn,2MP,believers-or-group,2MP-default
65,6,15,2,>anfiqu,>anfaqa,nfq,2MP,believers-or-group,2MP-default
65,6,23,2,_#aAtu,A^taY,Aty,2MP,believers-or-group,2MP-default
65,6,25,2,>otamiru,ya>otamiru,Amr,2MP,believers-or-group,2MP-default
65,10,6,2,{t~aqu,{t~aqaY`,wqy,2MP,believers,voc
66,6,4,1,qu,waqaY`,wqy,2MP,believers,voc
66,8,4,1,tuwbu,taAba,twb,2MP,believers,voc
66,8,36,1,>atomimo,>atam~a,tmm,2MS,believers,voc
66,8,39,2,{gofiro,gafara,gfr,2MS,believers,voc
66,9,3,1,ja`hidi,ja`hada,jhd,2MS,prophet:Muhammad,2MS-default
66,9,6,2,{goluZo,{goluZo,glZ,2MS,prophet:Muhammad,2MS-default
66,10,24,1,{doxula,daxala,dxl,2MD,dual-addressee,2MD
66,11,11,1,{boni,banaY`,bny,2MS,prophet:Muhammad,2MS-default
66,11,17,2,naj~i,naj~aY`,njw,2MS,prophet:Muhammad,2MS-default
66,11,21,2,naj~i,naj~aY`,njw,2MS,prophet:Muhammad,2MS-default
67,3,13,2,{rojiEi,rajaEa,rjE,2MS,prophet:Muhammad,2MS-default
67,4,2,1,{rojiEi,rajaEa,rjE,2MS,prophet:Muhammad,2MS-default
67,13,1,2,>asir~u,>asar~a,srr,2MP,believers-or-group,2MP-default
67,13,4,1,{joharu,jahara,jhr,2MP,believers-or-group,2MP-default
67,15,7,2,{mo$u,m~a$a,m$y,2MP,believers-or-group,2MP-default
67,15,10,2,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
67,23,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
67,24,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
67,26,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
67,28,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
67,29,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
67,30,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
68,22,2,1,{godu,gada,gdw,2MP,believers-or-group,2MP-default
68,40,1,1,salo,sa>ala,sAl,2MS,prophet:Muhammad,2MS-default
68,44,1,2,*aro,ya*ara,w*r,2MS,prophet:Muhammad,2MS-default
68,48,1,2,{Sobiro,Sabara,Sbr,2MS,prophet:Muhammad,2MS-default
69,19,8,1,{qora'u,qara>a,qrA,2MP,believers-or-group,2MP-default
69,24,1,1,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
69,24,2,2,{$orabu,$ariba,$rb,2MP,believers-or-group,2MP-default
69,30,1,1,xu*u,>axa*a,Ax*,2MP,believers-or-group,2MP-default
69,30,2,2,gul~u,gal~a,gll,2MP,believers-or-group,2MP-default
69,31,3,1,Sal~u,Sal~u,Sly,2MP,believers-or-group,2MP-default
69,32,7,2,{soluku,salaka,slk,2MP,believers-or-group,2MP-default
69,52,1,2,sab~iHo,sab~aHa,sbH,2MS,prophet:Muhammad,2MS-default
70,5,1,2,{Sobiro,Sabara,Sbr,2MS,prophet:Muhammad,2MS-default
70,42,1,2,*aro,ya*ara,w*r,2MS,prophet:Muhammad,2MS-default
71,1,7,1,>an*iro,>an*ara,n*r,2MS,prophet:Muhammad,2MS-default
71,3,2,1,{Eobudu,Eabada,Ebd,2MP,believers-or-group,2MP-default
71,3,4,2,{t~aqu,{t~aqaY`,wqy,2MP,believers-or-group,2MP-default
71,3,5,2,>aTiyEu,>aTaAEa,TwE,2MP,believers-or-group,2MP-default
71,10,2,1,{sotagofiru,{sotagofara,gfr,2MP,believers-or-group,2MP-default
71,28,2,1,{gofiro,gafara,gfr,2MS,prophet:Muhammad,2MS-default
72,1,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
72,20,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
72,21,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
72,22,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
72,25,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
73,2,1,1,qumi,qaAma,qwm,2MS,prophet:Muhammad,2MS-default
73,3,3,1,{nquSo,yunqaSu,nqS,2MS,prophet:Muhammad,2MS-default
73,4,2,1,zido,zaAda,zyd,2MS,prophet:Muhammad,2MS-default
73,4,4,2,rat~ili,rat~alo,rtl,2MS,prophet:Muhammad,2MS-default
73,8,1,2,{*okuri,*akara,*kr,2MS,prophet:Muhammad,2MS-default
73,8,4,2,tabat~alo,tabat~alo,btl,2MS,prophet:Muhammad,2MS-default
73,9,8,2,{t~axi*o,{t~axa*a,Ax*,2MS,prophet:Muhammad,2MS-default
73,10,1,2,{Sobiro,Sabara,Sbr,2MS,prophet:Muhammad,2MS-default
73,10,5,2,{hojuro,{hojuro,hjr,2MS,prophet:Muhammad,2MS-default
73,11,1,2,*aro,ya*ara,w*r,2MS,prophet:Muhammad,2MS-default
73,11,5,2,mah~ilo,mah~ili,mhl,2MS,prophet:Muhammad,2MS-default
73,20,26,2,{qora'u,qara>a,qrA,2MP,believers-or-group,2MP-default
73,20,49,2,{qora'u,qara>a,qrA,2MP,believers-or-group,2MP-default
73,20,53,2,>aqiymu,>aqaAma,qwm,2MP,believers-or-group,2MP-default
73,20,55,2,'aAtu,A^taY,Aty,2MP,believers-or-group,2MP-default
73,20,57,2,>aqoriDu,>aqoraDu,qrD,2MP,believers-or-group,2MP-default
73,20,73,2,{sotagofiru,{sotagofara,gfr,2MP,believers-or-group,2MP-default
74,2,1,1,qumo,qaAma,qwm,2MS,prophet:Muhammad,2MS-default
74,2,2,2,>an*iro,>an*ara,n*r,2MS,prophet:Muhammad,2MS-default
74,3,2,2,kab~iro,kab~iro,kbr,2MS,prophet:Muhammad,2MS-default
74,4,2,2,Tah~iro,Tah~ara,Thr,2MS,prophet:Muhammad,2MS-default
74,5,2,2,{hojuro,{hojuro,hjr,2MS,prophet:Muhammad,2MS-default
74,7,2,2,{Sobiro,Sabara,Sbr,2MS,prophet:Muhammad,2MS-default
74,11,1,1,*aro,ya*ara,w*r,2MS,prophet:Muhammad,2MS-default
75,18,3,2,{t~abiEo,{t~abaEa,tbE,2MS,prophet:Muhammad,2MS-default
76,24,1,2,{Sobiro,Sabara,Sbr,2MS,prophet:Muhammad,2MS-default
76,25,1,2,{*okuri,*akara,*kr,2MS,prophet:Muhammad,2MS-default
76,26,3,2,{sojudo,sajada,sjd,2MS,prophet:Muhammad,2MS-default
76,26,5,2,sab~iHo,sab~aHa,sbH,2MS,prophet:Muhammad,2MS-default
77,29,1,1,{nTaliqu,{nTalaqa,Tlq,2MP,believers-or-group,2MP-default
77,30,1,1,{nTaliqu,{nTalaqa,Tlq,2MP,believers-or-group,2MP-default
77,39,5,2,kiydu,kiydu,kyd,2MP,believers-or-group,2MP-default
77,43,1,1,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
77,43,2,2,{$orabu,$ariba,$rb,2MP,believers-or-group,2MP-default
77,46,1,1,kulu,>akala,Akl,2MP,believers-or-group,2MP-default
77,46,2,2,tamat~aEu,tamat~aEa,mtE,2MP,believers-or-group,2MP-default
77,48,4,1,{rokaEu,yarokaEu,rkE,2MP,believers-or-group,2MP-default
78,30,1,2,*uwqu,*aAqu,*wq,2MP,believers-or-group,2MP-default
79,17,1,1,{*ohabo,*ahaba,*hb,2MS,prophet:Muhammad,2MS-default
79,18,1,2,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
84,24,1,2,ba$~iro,bu$~ira,b$r,2MS,prophet:Muhammad,2MS-default
86,17,1,2,mah~ili,mah~ili,mhl,2MS,prophet:Muhammad,2MS-default
86,17,3,1,>amohilo,>amohilo,mhl,2MS,prophet:Muhammad,2MS-default
87,1,1,1,sab~iHi,sab~aHa,sbH,2MS,prophet:Muhammad,2MS-default
87,9,1,2,*ak~iro,*uk~ira,*kr,2MS,prophet:Muhammad,2MS-default
88,21,1,2,*ak~iro,*uk~ira,*kr,2MS,prophet:Muhammad,2MS-default
89,28,1,1,{rojiEi,rajaEa,rjE,2FS,female-individual,2FS
89,29,1,2,{doxuli,daxala,dxl,2FS,female-individual,2FS
89,30,1,2,{doxuli,daxala,dxl,2FS,female-individual,2FS
93,11,4,2,Had~ivo,tuHad~ivu,Hdv,2MS,prophet:Muhammad,2MS-default
94,7,3,2,{nSabo,nuSibato,nSb,2MS,prophet:Muhammad,2MS-default
94,8,3,2,{rogab,yarogabu,rgb,2MS,prophet:Muhammad,2MS-default
96,1,1,1,{qora>o,qara>a,qrA,2MS,prophet:Muhammad,2MS-default
96,3,1,1,{qora>o,qara>a,qrA,2MS,prophet:Muhammad,2MS-default
96,19,4,2,{sojudo,sajada,sjd,2MS,prophet:Muhammad,2MS-default
96,19,5,2,{qotarib,{qotaraba,qrb,2MS,prophet:Muhammad,2MS-default
108,2,1,2,Sal~i,Sal~aY`,Slw,2MS,prophet:Muhammad,2MS-default
108,2,3,2,{noHaro,{noHaro,nHr,2MS,prophet:Muhammad,2MS-default
109,1,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
110,3,1,2,sab~iHo,sab~aHa,sbH,2MS,prophet:Muhammad,2MS-default
110,3,4,2,{sotagofiro,{sotagofara,gfr,2MS,prophet:Muhammad,2MS-default
112,1,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
113,1,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
114,1,1,1,qulo,qaAla,qwl,2MS,prophet:Muhammad,qul
