surah,verse,reference,surah_name,verse_text,n_words,length_decile,decile_word_range,struct_z_composite,struct_rank,S_within_decile,n_hadith,reception_rank,R_within_decile,M,n_books,n_hadith_all17,driver_span,frac_hapax_root_tokens,mean_root_surprisal_bits,frac_root_tokens_freq_le5,rime_class_size,text_repeats,is_later_occurrence
106,2,Q 106:2,قريش,إِۦلَٰفِهِمۡ رِحۡلَةَ ٱلشِّتَآءِ وَٱلصَّيۡفِ,4,1,3-5,5.050184,3,0.996929,0,3060.5,0.0,0.996929,0,0,,0.5,13.993858949361249,0.75,1,False,False
13,13,Q 13:13,الرعد,وَيُسَبِّحُ ٱلرَّعۡدُ بِحَمۡدِهِۦ وَٱلۡمَلَـٰٓئِكَةُ مِنۡ خِيفَتِهِۦ وَيُرۡسِلُ ٱلصَّوَٰعِقَ فَيُصِيبُ بِهَا مَن يَشَآءُ وَهُمۡ يُجَٰدِلُونَ فِي ٱللَّهِ وَهُوَ شَدِيدُ ٱلۡمِحَالِ,19,8,17-19,1.165171,208,0.996888,0,3060.5,0.0,0.996888,0,2,,0.07692307692307693,9.53965367852356,0.15384615384615385,15,False,False
69,7,Q 69:7,الحاقه,سَخَّرَهَا عَلَيۡهِمۡ سَبۡعَ لَيَالٖ وَثَمَٰنِيَةَ أَيَّامٍ حُسُومٗاۖ فَتَرَى ٱلۡقَوۡمَ فِيهَا صَرۡعَىٰ كَأَنَّهُمۡ أَعۡجَازُ نَخۡلٍ خَاوِيَةٖ,15,7,15-16,1.559277,129,0.996429,0,3060.5,0.0,0.996429,0,0,,0.16666666666666666,10.716957684113185,0.25,121,False,False
20,118,Q 20:118,طه,إِنَّ لَكَ أَلَّا تَجُوعَ فِيهَا وَلَا تَعۡرَىٰ,7,3,7-8,2.566699,44,0.995922,0,3060.5,0.0,0.995922,0,0,,0.0,13.655271556216313,1.0,1192,False,False
61,4,Q 61:4,الصف,إِنَّ ٱللَّهَ يُحِبُّ ٱلَّذِينَ يُقَٰتِلُونَ فِي سَبِيلِهِۦ صَفّٗا كَأَنَّهُم بُنۡيَٰنٞ مَّرۡصُوصٞ,11,5,11-12,1.649515,106,0.995734,0,3060.5,0.0,0.995734,0,0,,0.14285714285714285,9.287738658997927,0.14285714285714285,2,False,False
91,10,Q 91:10,الشمس,وَقَدۡ خَابَ مَن دَسَّىٰهَا,4,1,3-5,4.509769,5,0.9957,0,3060.5,0.0,0.9957,0,0,,0.5,14.447752806576892,1.0,1192,False,False
38,22,Q 38:22,ص,إِذۡ دَخَلُواْ عَلَىٰ دَاوُۥدَ فَفَزِعَ مِنۡهُمۡۖ قَالُواْ لَا تَخَفۡۖ خَصۡمَانِ بَغَىٰ بَعۡضُنَا عَلَىٰ بَعۡضٖ فَٱحۡكُم بَيۡنَنَا بِٱلۡحَقِّ وَلَا تُشۡطِطۡ وَٱهۡدِنَآ إِلَىٰ سَوَآءِ ٱلصِّرَٰطِ,23,9,20-25,1.043188,246,0.995098,0,3060.5,0.0,0.995098,0,0,,0.0,8.989102686174835,0.06666666666666667,1,False,False
21,18,Q 21:18,الانبياء,بَلۡ نَقۡذِفُ بِٱلۡحَقِّ عَلَى ٱلۡبَٰطِلِ فَيَدۡمَغُهُۥ فَإِذَا هُوَ زَاهِقٞۚ وَلَكُمُ ٱلۡوَيۡلُ مِمَّا تَصِفُونَ,13,6,13-14,1.504396,142,0.994919,0,3060.5,0.0,0.994919,0,0,,0.16666666666666666,11.83637686293636,0.3333333333333333,1751,False,False
16,66,Q 16:66,النحل,وَإِنَّ لَكُمۡ فِي ٱلۡأَنۡعَٰمِ لَعِبۡرَةٗۖ نُّسۡقِيكُم مِّمَّا فِي بُطُونِهِۦ مِنۢ بَيۡنِ فَرۡثٖ وَدَمٖ لَّبَنًا خَالِصٗا سَآئِغٗا لِّلشَّـٰرِبِينَ,17,8,17-19,1.109292,222,0.994813,0,3060.5,0.0,0.994813,0,0,,0.09090909090909091,11.539255339562272,0.2727272727272727,1293,False,False
37,103,Q 37:103,الصافات,فَلَمَّآ أَسۡلَمَا وَتَلَّهُۥ لِلۡجَبِينِ,4,1,3-5,4.24115,6,0.994472,0,3060.5,0.0,0.994472,0,0,,0.6666666666666666,13.232289181705584,0.6666666666666666,1293,False,False
69,32,Q 69:32,الحاقه,ثُمَّ فِي سِلۡسِلَةٖ ذَرۡعُهَا سَبۡعُونَ ذِرَاعٗا فَٱسۡلُكُوهُ,7,3,7-8,2.556471,47,0.99429,0,3060.5,0.0,0.99429,0,0,,0.0,12.684489631365645,0.6,3,False,False
11,106,Q 11:106,هود,فَأَمَّا ٱلَّذِينَ شَقُواْ فَفِي ٱلنَّارِ لَهُمۡ فِيهَا زَفِيرٞ وَشَهِيقٌ,9,4,9-10,2.084972,67,0.994068,0,3060.5,0.0,0.994068,0,0,,0.0,12.166257393113213,0.5,10,False,False
50,36,Q 50:36,ق,وَكَمۡ أَهۡلَكۡنَا قَبۡلَهُم مِّن قَرۡنٍ هُمۡ أَشَدُّ مِنۡهُم بَطۡشٗا فَنَقَّبُواْ فِي ٱلۡبِلَٰدِ هَلۡ مِن مَّحِيصٍ,15,7,15-16,1.522943,133,0.994048,0,3060.5,0.0,0.994048,0,0,,0.0,10.907937887340577,0.25,4,False,False
37,11,Q 37:11,الصافات,فَٱسۡتَفۡتِهِمۡ أَهُمۡ أَشَدُّ خَلۡقًا أَم مَّنۡ خَلَقۡنَآۚ إِنَّا خَلَقۡنَٰهُم مِّن طِينٖ لَّازِبِۭ,12,5,11-12,1.575341,124,0.994027,0,3060.5,0.0,0.994027,0,0,,0.14285714285714285,10.075370674708992,0.14285714285714285,8,False,False
22,5,Q 22:5,الحج,يَـٰٓأَيُّهَا ٱلنَّاسُ إِن كُنتُمۡ فِي رَيۡبٖ مِّنَ ٱلۡبَعۡثِ فَإِنَّا خَلَقۡنَٰكُم مِّن تُرَابٖ ثُمَّ مِن نُّطۡفَةٖ ثُمَّ مِنۡ عَلَقَةٖ ثُمَّ مِن مُّضۡغَةٖ مُّخَلَّقَةٖ وَغَيۡرِ مُخَلَّقَةٖ لِّنُبَيِّنَ لَكُمۡۚ وَنُقِرُّ فِي ٱلۡأَرۡحَامِ مَا نَشَآءُ إِلَىٰٓ أَجَلٖ مُّسَمّٗى ثُمَّ نُخۡرِجُكُمۡ طِفۡلٗا ثُمَّ لِتَبۡلُغُوٓاْ أَشُدَّكُمۡۖ وَمِنكُم مَّن يُتَوَفَّىٰ وَمِنكُم مَّن يُرَدُّ إِلَىٰٓ أَرۡذَلِ ٱلۡعُمُرِ لِكَيۡلَا يَعۡلَمَ مِنۢ بَعۡدِ عِلۡمٖ شَيۡـٔٗاۚ وَتَرَى ٱلۡأَرۡضَ هَامِدَةٗ فَإِذَآ أَنزَلۡنَا عَلَيۡهَا ٱلۡمَآءَ ٱهۡتَزَّتۡ وَرَبَتۡ وَأَنۢبَتَتۡ مِن كُلِّ زَوۡجِۭ بَهِيجٖ,69,10,26-128,1.180303,204,0.993446,0,3060.5,0.0,0.993446,0,0,,0.024390243902439025,9.364854489307191,0.14634146341463414,3,False,False
