rank_by_Q,sid,name_ar,N,Q_LB,z_Q,p_LB_perm,p_LB_chi2,acf_1,acf_2,acf_3,acf_4,acf_5,acf_6,acf_7,acf_8,acf_9,acf_10,pacf_1,pacf_2,pacf_3,pacf_4,pacf_5,max_abs_acf,max_abs_acf_lag,is_muq,period,muq_or_meccan
57,81,التكوير,29,7.4905,0.1613,0.370815,0.678470,0.1281,0.0992,-0.1136,0.1839,0.2686,0.1240,-0.0165,-0.1219,0.1508,0.0041,0.1281,0.0841,-0.1393,0.2156,0.2598,0.2686,5,0,Meccan,1
58,79,النازعات,46,7.4503,-0.4930,0.653173,0.682360,0.1189,0.0870,-0.2143,0.0201,-0.0805,0.2391,-0.0106,-0.0682,-0.0211,-0.0555,0.1189,0.0739,-0.2373,0.0723,-0.0551,0.2391,6,0,Meccan,1
59,29,العنكبوت,69,7.3633,-0.5654,0.691154,0.690762,-0.0621,0.0819,-0.1232,-0.0539,0.0799,-0.0320,0.1715,-0.0566,-0.0797,-0.1380,-0.0621,0.0783,-0.1148,-0.0745,0.0941,0.1715,7,1,Meccan,1
60,15,الحجر,99,7.2121,-0.5556,0.685157,0.705283,0.0681,0.0095,0.2139,-0.0802,0.0045,0.0760,0.0141,0.0249,0.0182,-0.0692,0.0681,0.0049,0.2139,-0.1147,0.0212,0.2139,3,1,Meccan,1
61,47,محمد,38,7.1403,-0.5217,0.653673,0.712140,0.0087,-0.1126,-0.0293,-0.0141,0.0437,-0.0130,-0.2243,0.0511,-0.2431,-0.1185,0.0087,-0.1127,-0.0276,-0.0267,0.0381,0.2431,9,0,Medinan,0
62,45,الجاثية,37,7.0628,-0.6154,0.699650,0.719501,0.1199,0.1175,0.0081,0.0361,0.1318,0.1233,0.1823,0.0664,0.0927,-0.1984,0.1199,0.1046,-0.0175,0.0255,0.1297,0.1984,10,1,Meccan,1
63,3,آل عمران,200,7.0107,-0.6143,0.713643,0.724438,0.0043,0.1077,-0.0334,-0.0785,-0.0540,0.0200,0.0700,0.0615,-0.0097,-0.0538,0.0043,0.1076,-0.0347,-0.0908,-0.0466,0.1077,2,1,Medinan,1
64,89,الفجر,30,6.8651,-0.4936,0.646677,0.738117,0.3185,0.0303,0.0357,-0.0048,-0.0467,-0.0002,0.1744,0.2127,-0.0349,-0.0314,0.3185,-0.0792,0.0566,-0.0363,-0.0359,0.3185,1,0,Meccan,1
65,43,الزخرف,89,6.6288,-0.6899,0.749625,0.759963,0.1943,0.0609,0.0477,-0.0485,-0.1004,0.0315,-0.0812,-0.0152,-0.0018,0.0783,0.1943,0.0241,0.0327,-0.0676,-0.0854,0.1943,1,1,Meccan,1
66,48,الفتح,29,6.5898,-0.6300,0.724138,0.763517,0.1632,0.0077,-0.1943,0.1378,0.1194,-0.0376,-0.1313,-0.2361,0.0375,0.0027,0.1632,-0.0195,-0.1977,0.2156,0.0670,0.2361,8,0,Medinan,0
67,19,مريم,98,6.5587,-0.5752,0.689655,0.766348,0.1087,0.1252,0.1007,0.0400,-0.0586,0.0670,0.0058,-0.0648,0.0411,0.0977,0.1087,0.1148,0.0781,0.0096,-0.0862,0.1252,2,1,Meccan,1
68,9,التوبة,129,6.0583,-0.8632,0.813593,0.810346,0.0655,0.1290,-0.0719,-0.0501,0.0052,0.0526,-0.0323,-0.1075,0.0139,0.0231,0.0655,0.1252,-0.0893,-0.0577,0.0341,0.1290,2,0,Medinan,0
69,37,الصافات,182,5.8373,-0.5452,0.668166,0.828739,0.0509,-0.0124,0.0929,-0.0489,0.0419,0.0166,-0.1028,-0.0180,-0.0379,-0.0516,0.0509,-0.0150,0.0946,-0.0596,0.0518,0.1028,7,0,Meccan,1
70,40,غافر,85,5.6009,-0.9614,0.860070,0.847607,0.0299,-0.1308,0.0767,-0.1164,-0.1097,-0.0300,-0.0262,0.0528,0.0017,-0.0843,0.0299,-0.1318,0.0867,-0.1438,-0.0782,0.1308,2,1,Meccan,1
71,90,البلد,20,5.5817,-0.4890,0.652674,0.849102,-0.0561,0.2939,-0.0302,-0.2427,0.0532,-0.1429,-0.0073,-0.1278,-0.0936,-0.0417,-0.0561,0.2917,-0.0023,-0.3616,0.0505,0.2939,2,0,Meccan,1
72,84,الإنشقاق,25,4.7842,-0.8994,0.818591,0.905118,0.0375,0.0438,-0.0359,0.1503,-0.2078,-0.1202,-0.1027,-0.1448,-0.0998,-0.0823,0.0375,0.0425,-0.0392,0.1519,-0.2229,0.2078,5,0,Meccan,1
73,57,الحديد,29,4.1846,-1.1663,0.950025,0.938635,-0.0192,0.0004,-0.0879,-0.0151,-0.0729,0.2702,0.1193,-0.0093,-0.0676,-0.0340,-0.0192,0.0001,-0.0880,-0.0186,-0.0743,0.2702,6,0,Medinan,0
74,80,عبس,42,3.9900,-1.2447,0.943028,0.947796,0.0551,0.0065,0.1621,-0.0062,0.1504,-0.0521,-0.0504,0.0599,-0.1311,0.0273,0.0551,0.0034,0.1621,-0.0246,0.1567,0.1621,3,0,Meccan,1
75,92,الليل,21,3.7340,-1.2631,0.968016,0.958549,-0.1223,-0.0537,-0.0438,-0.0473,0.1382,0.0314,-0.0690,0.0889,0.0156,-0.2191,-0.1223,-0.0697,-0.0605,-0.0663,0.1195,0.2191,10,0,Meccan,1
76,17,الإسراء,111,3.3675,-1.4206,0.975512,0.971407,-0.0647,0.0653,0.0193,-0.0133,0.0790,0.0366,0.0116,-0.0536,-0.0325,-0.0870,-0.0647,0.0614,0.0275,-0.0146,0.0749,0.0870,10,0,Meccan,1
77,28,القصص,88,3.0287,-1.4720,0.986507,0.980741,0.0636,0.0866,-0.0593,0.0742,0.0248,-0.0843,-0.0479,-0.0127,-0.0280,0.0241,0.0636,0.0829,-0.0704,0.0761,0.0266,0.0866,2,1,Meccan,1
78,74,المدثر,56,1.1252,0.3754,0.306847,0.999705,-0.0437,-0.0451,-0.0285,-0.0115,-0.0601,0.0309,0.0160,-0.0194,-0.0407,-0.0736,-0.0437,-0.0471,-0.0327,-0.0165,-0.0647,0.0736,10,0,Meccan,1
79,73,المزمل,20,0.3317,-1.3484,0.951524,0.999999,0.0143,-0.0127,0.0110,-0.0017,0.0645,0.0279,-0.0404,-0.0549,-0.0013,-0.0127,0.0143,-0.0129,0.0113,-0.0022,0.0649,0.0645,5,0,Meccan,1
