pair_a,pair_b,joint_max_abs_ACF,joint_lag1,joint_lag2,joint_lag3,root_jaccard,root_overlap_min,root_n_shared
1,2,0.19138203661439815,0.19138203661439815,0.18091324472832457,0.11542725104980046,0.03076923076923077,1.0,18
2,3,0.15575886420204246,0.1416086974183668,0.15575886420204246,0.07705635217893869,0.47763347763347763,0.7539863325740319,331
3,4,0.16680335011934047,0.16680335011934047,0.09617855724966862,-0.03338865945949066,0.4746317512274959,0.6605922551252847,290
4,5,0.1967405673117623,0.1967405673117623,0.06339425550884817,0.013964049516120883,0.46115702479338844,0.6611374407582938,279
5,6,0.19472779037878038,0.19472779037878038,0.14095839263589918,0.14256765071142455,0.4239864864864865,0.5961995249406176,251
6,7,0.20640715421351655,0.20640715421351655,0.15953592094566538,0.15936839609646303,0.4867549668874172,0.6983372921615202,294
7,8,0.219852881318741,0.219852881318741,0.14598172997889475,0.15115820957450865,0.3339317773788151,0.6992481203007519,186
8,9,0.13501151130676367,0.08919004092961777,0.13501151130676367,-0.03499960885564891,0.3504273504273504,0.6165413533834586,164
9,10,0.1527286199692945,0.1290967162767092,0.1527286199692945,0.0589784567110707,0.4199134199134199,0.6689655172413793,194
10,11,0.10534517927709501,0.06247765900231173,0.01244002894524428,0.10534517927709501,0.463302752293578,0.696551724137931,202
11,12,0.09404238218625854,0.09404238218625854,-0.004269774688358993,0.04362753712482594,0.34911242603550297,0.5267857142857143,177
12,13,0.21101112430495994,0.21101112430495994,0.08262245741602209,-0.0008661661109570141,0.2860310421286031,0.5286885245901639,129
13,14,0.30584114797897266,0.30584114797897266,0.006945221635281427,-0.02250248927803902,0.3875739644970414,0.5822222222222222,131
14,15,0.5954476538175199,0.5954476538175199,0.35304838199058614,0.4003850425291226,0.25663716814159293,0.43283582089552236,87
15,16,0.5476032892089534,0.5476032892089534,0.4683780046106151,0.527319941662098,0.2791762013729977,0.6069651741293532,122
16,17,0.14488253554306949,0.13064241897722415,0.10889060477361684,0.14488253554306949,0.3435700575815739,0.5233918128654971,179
17,18,0.18815932908257288,0.16025891140994225,0.18187230807991503,0.18815932908257288,0.3620689655172414,0.5526315789473685,189
18,19,0.3104879267633334,0.30545667861362175,0.28848259872159876,0.3104879267633334,0.288135593220339,0.5690376569037657,136
19,20,0.23664414137248407,0.23664414137248407,0.12507512715859875,0.11836465444634402,0.3185011709601874,0.5690376569037657,136
20,21,0.25340112317518176,0.25340112317518176,0.09924992516863822,0.14833283565159525,0.3217391304347826,0.5211267605633803,148
21,22,0.1414479361528487,0.1414479361528487,-0.019794206070550522,0.04909086108893808,0.3049040511727079,0.5035211267605634,143
22,23,0.1688603281114302,0.1688603281114302,0.020557481238521795,0.12043862478388247,0.31072210065645517,0.5239852398523985,142
23,24,0.4113144005274226,0.3170093325669686,0.4113144005274226,0.33850148135108027,0.30985915492957744,0.4870848708487085,132
24,25,0.37363430095457534,0.22737985232352878,0.37363430095457534,0.2338281997256995,0.29086538461538464,0.484,121
25,26,0.5035917670061263,0.5035917670061263,0.48669230969785016,0.45696989017017153,0.32051282051282054,0.5,125
26,27,0.5107063682189469,0.5107063682189469,0.4911721061283288,0.49137810205632754,0.3118811881188119,0.47547169811320755,126
27,28,0.23529248209851902,0.23529248209851902,0.22123956201734912,0.12673000092399964,0.39552238805970147,0.6,159
28,29,0.09655823139006141,0.019264484157441183,0.09655823139006141,-0.07087608572473376,0.344559585492228,0.5964125560538116,133
29,30,0.1410537330502601,0.1410537330502601,0.09566573257735977,-0.09140825502807373,0.30218068535825543,0.49743589743589745,97
30,31,0.34026152992468384,0.34026152992468384,0.18467152164537426,-0.011048575902600303,0.31141868512110726,0.4891304347826087,90
31,32,0.26612033438984795,0.26612033438984795,0.0027211245022429813,-0.12857326085076756,0.23529411764705882,0.4580152671755725,60
32,33,0.30549115242261216,0.23579719164476343,0.30549115242261216,0.21726394670260735,0.22916666666666666,0.5877862595419847,77
33,34,0.25381777656338517,0.17470764879474818,0.25381777656338517,0.1617094896730993,0.2864450127877238,0.5067873303167421,112
34,35,0.19518991463660876,0.19518991463660876,0.10909421586977121,0.06930291519947342,0.3303834808259587,0.5067873303167421,112
35,36,0.48480996336950355,0.48480996336950355,0.3716460356208658,0.32154240724636357,0.32831325301204817,0.5165876777251185,109
36,37,0.40673232229904693,0.40673232229904693,0.37096522146825883,0.36037615885905516,0.30346820809248554,0.4976303317535545,105
37,38,0.5166649846923704,0.4004103906383455,0.5166649846923704,0.33719736245729126,0.31215469613259667,0.4808510638297872,113
38,39,0.5014959792152668,0.4189418522703259,0.5014959792152668,0.35656883252805827,0.32142857142857145,0.4978723404255319,117
39,40,0.11886590852986528,0.10989548907866473,0.0748560875717237,0.11886590852986528,0.3743169398907104,0.556910569105691,137
40,41,0.14655028250679486,0.052707188065477605,-0.14655028250679486,0.09964038131819342,0.34110787172011664,0.5763546798029556,117
41,42,0.25045019066274377,0.25045019066274377,0.0951325688513186,0.15932320052943943,0.3771043771043771,0.5517241379310345,112
42,43,0.44822641353372467,0.44822641353372467,0.355275888735428,0.2806100354984295,0.30606060606060603,0.49029126213592233,101
43,44,0.3907091047061721,0.3907091047061721,0.29976250403949484,0.263577215939209,0.26181818181818184,0.5901639344262295,72
44,45,0.6110677547545914,0.6110677547545914,0.6014453026467537,0.5403213195291324,0.2828282828282828,0.45901639344262296,56
45,46,0.13140964392636473,0.13140964392636473,0.11043697050767565,0.017007452703993883,0.34934497816593885,0.6060606060606061,80
46,47,0.0681106654247461,0.0049302822909407665,-0.0681106654247461,-0.03947888403504977,0.25830258302583026,0.4268292682926829,70
47,48,0.1296207654569444,0.1296207654569444,0.03237728349396582,-0.07626633925388386,0.26394052044609667,0.4329268292682927,71
48,49,0.18287910180960093,0.0468236402708604,0.11420505511712235,-0.18287910180960093,0.23076923076923078,0.48214285714285715,54
49,50,0.6432985424596959,0.4921162744334108,0.6432985424596959,0.48103566400020664,0.1935483870967742,0.375,42
50,51,0.33550397811894406,0.33550397811894406,0.25690009581727924,0.16684564194062806,0.2,0.3404255319148936,48
51,52,0.4140091232885472,0.4140091232885472,0.38118451841933676,0.3100389400466208,0.2398190045248869,0.39849624060150374,53
52,53,0.3489863474437351,0.3489863474437351,0.2739936085651983,0.31316866689105766,0.1552511415525114,0.2833333333333333,34
53,54,0.299363110214845,0.299363110214845,0.20112787405255422,0.2966754654663639,0.18181818181818182,0.3333333333333333,40
54,55,0.2557643688159585,0.05093817901840082,0.2557643688159585,0.14081754278162956,0.14485981308411214,0.29523809523809524,31
55,56,0.27552354412977453,0.1758052855211808,0.27552354412977453,0.034094810945399685,0.14953271028037382,0.3047619047619048,32
56,57,0.6624076989210415,0.6624076989210415,0.6538680861881531,0.5842590094107074,0.17037037037037037,0.3262411347517731,46
57,58,0.04934523829549966,0.04934523829549966,-0.03817321705953611,-0.029515726886650513,0.26693227091633465,0.46853146853146854,67
58,59,0.23804900500448614,0.02218481002115766,0.23804900500448614,-0.012846709419238697,0.2605042016806723,0.43356643356643354,62
59,60,0.13368831130130562,-0.07177738772018433,0.13368831130130562,0.0611259890920908,0.21658986175115208,0.4392523364485981,47
60,61,0.08228018036586426,0.02406389490041081,0.08228018036586426,0.06437279114457356,0.175,0.345679012345679,28
61,62,0.1719503168832525,-0.04601046922218379,-0.028006278922531668,-0.1719503168832525,0.18045112781954886,0.3157894736842105,24
62,63,0.3459884409788782,-0.170410587969223,-0.3459884409788782,0.3163023769506339,0.20161290322580644,0.3424657534246575,25
63,64,0.20618650790156506,-0.12661381100818334,0.08837307597478075,0.20618650790156506,0.23357664233576642,0.4383561643835616,32
64,65,0.05843686917696542,0.05843686917696542,-0.036147139866864464,0.03530777859283356,0.30405405405405406,0.46875,45
65,66,0.1953708539722119,-0.1953708539722119,-0.013787332502162153,-0.18616057889948442,0.2138364779874214,0.3541666666666667,34
66,67,0.5347937043616855,0.24987974710017147,0.5347937043616855,0.3281087988799144,0.1319796954314721,0.2708333333333333,26
67,68,0.450367497556323,0.40817678342562297,0.450367497556323,0.29842858191904365,0.15207373271889402,0.2682926829268293,33
68,69,0.19919691799544564,0.16367274000131882,0.19919691799544564,-0.009399442891419654,0.11848341232227488,0.22123893805309736,25
69,70,0.268888159421207,0.268888159421207,0.20734855196270752,0.09637212870973866,0.14736842105263157,0.26666666666666666,28
