surah,name,type,n_verses,n_chars,gzip_ratio,zlib_ratio,lz_complexity,lz_normalized,entropy_bpc,gzip_null_mean,gzip_null_std,gzip_z,gzip_emp_p_twotail
1,Al-Fatihah,meccan,7,171,0.5159235668789809,0.47770700636942676,57,2.472617504961966,3.922477353923441,0.48705344262599487,0.03399404611320482,0.8492700208984997,0.404
2,Al-Baqarah,medinan,286,33368,0.25787345899812003,0.2576738150298634,5328,2.3992889665615498,4.282240682628296,0.3044366303082582,0.003166245738939224,-14.706114164637786,0.0
3,Ali 'Imran,medinan,200,18917,0.27199718623600444,0.27164546573656134,3313,2.4881906185300586,4.251727331557176,0.31616406227380756,0.003710849793063182,-11.902092108488402,0.0
4,An-Nisa,medinan,176,20626,0.26203524607779927,0.2617128734150011,3462,2.4056043273668695,4.267065989826958,0.32040145512998874,0.0042274539568789024,-13.806468301615947,0.0
5,Al-Ma'idah,medinan,120,15462,0.27494798766052087,0.27451754071310713,2767,2.490414409881064,4.270638562190342,0.3329980468185297,0.004865805070853599,-11.930206474100535,0.0
6,Al-An'am,meccan,165,16277,0.2895969368568596,0.28918669447198386,3046,2.6181241492021954,4.3104771682295455,0.32268004121069127,0.004039944321185501,-8.189000076150453,0.0
7,Al-A'raf,meccan,206,18195,0.2882460414129111,0.2878806333739342,3381,2.6295900648691863,4.305285845635143,0.3149000041021667,0.0037439441846890847,-7.119220099022135,0.0
8,Al-Anfal,medinan,75,6784,0.2960241652379786,0.29504449342803496,1371,2.5722256696943018,4.263521991335998,0.34957123561786724,0.0058732843324639525,-9.117057399028502,0.0
9,At-Tawbah,medinan,129,13957,0.2723346935541381,0.2718592765738283,2487,2.4534470170008595,4.262397610613663,0.3304427356422599,0.0047903836467116274,-12.130143715735638,0.0
10,Yunus,meccan,109,9677,0.2988327295727675,0.2981427174975562,1924,2.6324710280168286,4.260507737760608,0.33633515023335353,0.0049459024354837015,-7.582523341247093,0.0
11,Hud,meccan,123,10036,0.3042245692051139,0.3035575319622012,2013,2.666261575193171,4.288162049608561,0.3321478569836317,0.004873770449344591,-5.729298921386993,0.0
12,Yusuf,meccan,111,9335,0.3108180679038129,0.31010203472760905,1922,2.715390545074694,4.2884426286304675,0.33555774740111577,0.0050063409413015555,-4.941668932933486,0.0
13,Ar-Ra'd,medinan,43,4547,0.33819027794783885,0.33672095016529935,1057,2.8245632610958826,4.282578531902257,0.3723206733044392,0.007946306858563098,-4.295126775757565,0.0
14,Ibrahim,meccan,52,4478,0.3405599603567889,0.3390733399405352,1055,2.8574618015988142,4.287242014125749,0.36429450870905467,0.007293649696241078,-3.2541387838379174,0.0
15,Al-Hijr,meccan,99,3556,0.34605242748565224,0.34419109663409336,867,2.8760310294868985,4.246566597457405,0.33972014105363446,0.00544897158059979,1.1621067091931419,0.248
16,An-Nahl,meccan,128,9913,0.29998880429914915,0.29931706224809673,1967,2.634130286673298,4.278822711273361,0.3308510362662223,0.00476950373839425,-6.470742798382533,0.0
17,Al-Isra,meccan,111,8372,0.3210383418316668,0.3202436924706973,1815,2.825120905662221,4.333550289188364,0.3356176918903663,0.004929471832740553,-2.957588673469314,0.0
18,Al-Kahf,meccan,110,8282,0.3284813522940703,0.32767641534746444,1842,2.894836554423487,4.340434342946648,0.33592610837879705,0.005016453782402519,-1.4840675121622027,0.15
19,Maryam,meccan,98,4987,0.33459779091821934,0.33325895347539886,1139,2.8055797953580437,4.250643883922813,0.3398856806884963,0.005344363387659756,-0.9894330506205451,0.288
20,Taha,meccan,135,6863,0.33909725604805974,0.33812307192726093,1589,2.9507805570329237,4.32907420300206,0.328927697776696,0.004601265032396236,2.2101657261128587,0.034
21,Al-Anbya,meccan,112,6391,0.3255391010652117,0.32449987009612885,1413,2.795008621263511,4.270810989928036,0.33519573230831545,0.004953677272374093,-1.94938642792846,0.066
22,Al-Hajj,medinan,78,6746,0.3118563071599242,0.31086759495756777,1427,2.6906579146912044,4.261565543914328,0.34843931835997843,0.005801836920667278,-6.305418732080939,0.0
23,Al-Mu'minun,meccan,118,5608,0.32553317535545023,0.3243483412322275,1252,2.7802237578069366,4.285170785196805,0.3334992223849082,0.00477209494454318,-1.6692976820519938,0.092
24,An-Nur,medinan,64,7264,0.2953332316608205,0.2944181790452951,1472,2.5992124687902294,4.3031939729542215,0.35560125271534077,0.006685542182483337,-9.014679648933694,0.0
25,Al-Furqan,meccan,77,4845,0.3366822696654869,0.33531225025687866,1133,2.862849188171862,4.25463907191555,0.3487736422308235,0.005906868231349286,-2.0470022508991383,0.034
26,Ash-Shu'ara,meccan,227,7015,0.2819056633538413,0.28095914182047643,1335,2.4313989399368774,4.255919566490635,0.3120078151569933,0.0035976000783635824,-8.367286843301475,0.0
27,An-Naml,meccan,93,6060,0.32926829268292684,0.3281679809279296,1362,2.824037793849298,4.293096788960984,0.3418142565031245,0.005263518340358704,-2.383569887844769,0.018
28,Al-Qasas,meccan,88,7531,0.3191316547293805,0.3182455881267075,1608,2.7498114690648006,4.270044092249916,0.3441762719704559,0.005580345603305317,-4.4880046902903565,0.0
29,Al-'Ankabut,meccan,69,5426,0.31369150779896016,0.3124681415027016,1178,2.6933068900530848,4.239180715136089,0.3529631913596938,0.006635395823721648,-5.918514072715409,0.0
30,Ar-Rum,meccan,60,4390,0.31088082901554404,0.3093643371666877,944,2.601914563064931,4.293115517177408,0.35866475868312525,0.006984050773606292,-6.841864587835385,0.0
31,Luqman,meccan,34,2792,0.35547109421884376,0.3530706141228246,688,2.820771224796648,4.249351867899268,0.38263252802300624,0.009740739468371836,-2.7884365342442017,0.002
32,As-Sajdah,meccan,30,1970,0.377640101379893,0.37426077161363,541,3.0054279866294227,4.241058068099969,0.3894033894474727,0.01042058724918829,-1.1288507822336022,0.282
33,Al-Ahzab,medinan,73,7252,0.30058684551482356,0.29967228107613747,1482,2.6207128898015504,4.241651094981765,0.3507779989923375,0.006415095768626306,-7.823913358079396,0.0
34,Saba,meccan,54,4589,0.33098677023910666,0.32953028280131086,1050,2.783212529087576,4.261925183195042,0.36263111667093506,0.007391987215057327,-4.280898425712846,0.0
35,Fatir,meccan,45,4147,0.3374043752516441,0.3357938531740706,977,2.8313097970272785,4.286468224275989,0.37083959418732665,0.008591081783116003,-3.8918520134906167,0.0
36,Ya-Sin,meccan,83,3845,0.3420787083753784,0.3403488539714574,918,2.84323768958532,4.2602193164657916,0.34574801477359035,0.005673049654361387,-0.6467961011747921,0.54
37,As-Saffat,meccan,182,4795,0.31814006888633756,0.31676234213547644,1054,2.687714309760248,4.264247713338553,0.31903425255367385,0.003942639325784552,-0.22679824184991998,0.79
38,Sad,meccan,88,3877,0.35582294800171893,0.3541039965620971,962,2.957889468403569,4.320530657278522,0.3437793403326429,0.005794827728748283,2.0783374817731675,0.04
39,Az-Zumar,meccan,75,6209,0.3171146953405018,0.3160394265232975,1336,2.7111924640127523,4.285468546326883,0.34975565206669773,0.006047392485684062,-5.397525760642554,0.0
40,Ghafir,meccan,85,6473,0.3106171144107802,0.3095871599004377,1364,2.667779766346761,4.26471678204844,0.3450909456602752,0.0057775568167995955,-5.9668528311576745,0.0
