surah_id,translit,gloss,class,mushaf_rank,revelation_order,type,noldeke_phase
72,Al-Jinn,the Jinn,OTHER_ABSTRACT,72,40,meccan,Middle Meccan
73,Al-Muzzammil,the Enwrapped,REVELATION_RITUAL,73,3,meccan,Early Meccan
74,Al-Muddaththir,the Cloaked,REVELATION_RITUAL,74,4,meccan,Early Meccan
75,Al-Qiyamah,the Resurrection,EVENT_ESCHATOLOGICAL,75,31,meccan,Early Meccan
76,Al-Insan,Man,SOCIAL_LEGAL,76,98,medinan,Middle Meccan
77,Al-Mursalat,Those Sent Forth,EVENT_ESCHATOLOGICAL,77,33,meccan,Early Meccan
78,An-Naba,the Tidings,EVENT_ESCHATOLOGICAL,78,80,meccan,Early Meccan
79,An-Naziat,Those who Pull Out,EVENT_ESCHATOLOGICAL,79,81,meccan,Early Meccan
80,Abasa,He Frowned,EVENT_ESCHATOLOGICAL,80,24,meccan,Early Meccan
81,At-Takwir,the Folding Up,EVENT_ESCHATOLOGICAL,81,7,meccan,Early Meccan
82,Al-Infitar,the Cleaving,EVENT_ESCHATOLOGICAL,82,82,meccan,Early Meccan
83,Al-Mutaffifin,the Defrauders,SOCIAL_LEGAL,83,86,meccan,Early Meccan
84,Al-Inshiqaq,the Splitting,EVENT_ESCHATOLOGICAL,84,83,meccan,Early Meccan
85,Al-Buruj,the Constellations,COSMOLOGICAL_NATURAL,85,27,meccan,Early Meccan
86,At-Tariq,the Night-comer,COSMOLOGICAL_NATURAL,86,36,meccan,Early Meccan
87,Al-Ala,the Most High,DIVINE_ATTRIBUTE,87,8,meccan,Early Meccan
88,Al-Ghashiyah,the Overwhelming,EVENT_ESCHATOLOGICAL,88,68,meccan,Early Meccan
89,Al-Fajr,the Dawn,COSMOLOGICAL_NATURAL,89,10,meccan,Early Meccan
90,Al-Balad,the City,COSMOLOGICAL_NATURAL,90,35,meccan,Early Meccan
91,Ash-Shams,the Sun,COSMOLOGICAL_NATURAL,91,26,meccan,Early Meccan
92,Al-Layl,the Night,COSMOLOGICAL_NATURAL,92,9,meccan,Early Meccan
93,Ad-Duha,the Forenoon,COSMOLOGICAL_NATURAL,93,11,meccan,Early Meccan
94,Ash-Sharh,the Opening Forth,REVELATION_RITUAL,94,12,meccan,Early Meccan
95,At-Tin,the Fig,ANIMAL_OBJECT,95,28,meccan,Early Meccan
96,Al-Alaq,the Clot,REVELATION_RITUAL,96,1,meccan,Early Meccan
97,Al-Qadr,the Decree,REVELATION_RITUAL,97,25,meccan,Early Meccan
98,Al-Bayyinah,the Clear Proof,REVELATION_RITUAL,98,100,medinan,Medinan
99,Az-Zalzalah,the Earthquake,EVENT_ESCHATOLOGICAL,99,93,medinan,Early Meccan
100,Al-Adiyat,the Chargers,ANIMAL_OBJECT,100,14,meccan,Early Meccan
101,Al-Qariah,the Striking Calamity,EVENT_ESCHATOLOGICAL,101,30,meccan,Early Meccan
102,At-Takathur,the Multiplication,OTHER_ABSTRACT,102,16,meccan,Early Meccan
103,Al-Asr,the Time,COSMOLOGICAL_NATURAL,103,13,meccan,Early Meccan
104,Al-Humazah,the Slanderer,SOCIAL_LEGAL,104,32,meccan,Early Meccan
105,Al-Fil,the Elephant,ANIMAL_OBJECT,105,19,meccan,Early Meccan
106,Quraysh,Quraysh,SOCIAL_LEGAL,106,29,meccan,Early Meccan
107,Al-Maun,the Small Kindnesses,REVELATION_RITUAL,107,17,meccan,Early Meccan
108,Al-Kawthar,the Abundance,OTHER_ABSTRACT,108,15,meccan,Early Meccan
109,Al-Kafirun,the Disbelievers,SOCIAL_LEGAL,109,18,meccan,Early Meccan
110,An-Nasr,the Help,EVENT_ESCHATOLOGICAL,110,114,medinan,Medinan
111,Al-Masad,the Palm Fibre,ANIMAL_OBJECT,111,6,meccan,Early Meccan
112,Al-Ikhlas,the Sincerity,DIVINE_ATTRIBUTE,112,22,meccan,Early Meccan
113,Al-Falaq,the Daybreak,COSMOLOGICAL_NATURAL,113,20,meccan,Early Meccan
114,An-Nas,Mankind,SOCIAL_LEGAL,114,21,meccan,Early Meccan
