surah	verse	surah_name_translit	source	peak_keyword_context	char_pos	confidence	snippet_verbatim
2	286	al-Baqara	razi-mafatih-al-ghayb	المقصود	14377470	MEDIUM	ماسك أجزائها إلى أن يتصل بعضها ببعض ثانيها: قوله وإنا لموسعون أي لقادرون ومنه قوله تعالى: لا يكلف الله نفسا إلا وسعها [البقرة: 286] أي قدرتها والمناسبة حينئذ ظاهرة، ويحتمل أن يقال بأن ذلك حينئذ إشارة إلى المقصود الآخر وهو الحشر كأنه ي
3	1	Al Imran	razi-mafatih-al-ghayb	غرض	15476811	MEDIUM	ب التبيين، لأنها إنما تخفى في حروف الفم عند الاتصال، ووجه الإخفاء أن همزة الوصل لم تقطع مع هذه الحروف في نحو الم الله [آل عمران: 1] وقولهم في العدد واحد اثنان فمن # PageV30P598 # حيث لم تقطع الهمزة معها علمنا أنها في تقدير الوصل وإذا وص
3	4	Al Imran	razi-mafatih-al-ghayb	المقصود	3570322	MEDIUM	من ينازعه في دينه فلا جرم أردفه بالتهديد والوعيد فقال: إن الذين كفروا بآيات الله لهم عذاب شديد والله عزيز ذو انتقام [آل عمران: 4] فقد ظهر أنه لا يمكن/ أن يكون كلام أقرب إلى الضبط، وإلى حسن الترتيب وجودة التأليف من هذا الكلام، والحمد ل
3	6	Al Imran	razi-mafatih-al-ghayb	المقصود	2988929	MEDIUM	ني: أن المراد هو النهي عن كتمان الحمل فقط، واحتجوا عليه بوجوه أحدها: قوله تعالى: # هو الذي يصوركم في الأرحام كيف يشاء [آل عمران: 6] وثانيها: أن الحيض خارج عن الرحم لا أنه # PageV06P438 # مخلوق في الرحم وثالثها: أن حمل قوله تعالى: ما خلق
3	7	Al Imran	razi-mafatih-al-ghayb	المقصود	954315	MEDIUM	ات في تقرير المجمل الباطل كما قال تعالى: فأما الذين في قلوبهم زيغ فيتبعون ما تشابه منه ابتغاء الفتنة وابتغاء تأويله [آل عمران: 7] وأما العقوبة والنكال فكقوله: إذ الأغلال في أعناقهم والسلاسل يسحبون [غافر: 71] إلى أن قال: كذلك يضل الل
3	15	Al Imran	razi-mafatih-al-ghayb	المقصود	3652372	MEDIUM	ذكر ذلك في معرض الذم للدنيا والذم للشيء يمتنع أن يكون مزينا له ورابعها: قوله بعد هذه الآية قل أأنبئكم بخير من ذلكم [آل عمران: 15] والمقصود من هذا الكلام صرف العبد عن الدنيا وتقبيحها في عينه، وذلك لا يليق بمن ms2140 يزين الدنيا في عين
3	18	Al Imran	razi-mafatih-al-ghayb	غاية	3842328	MEDIUM	الملأ الأعلى وعند الملائكة المقربين. # القول الخامس: إنه تعالى قال: شهد الله أنه لا إله إلا هو والملائكة وأولوا العلم [آل عمران: 18] فجعل أولو العلم من الشاهدين، وقرن ms2251 ذكرهم بذكر نفسه، وذلك درجة عظيمة، ومرتبة عالية، فقالوا: فاكتبن
3	19	Al Imran	razi-mafatih-al-ghayb	المقصود	3689901	MEDIUM	ى قبل هذه الآية أن الدين عند الله الإسلام لا غير، ثم قال: فإن حاجوك يعني فإن نازعوك في قولك إن الدين عند الله الإسلام [آل عمران: 19] فقل: الدليل عليه أني أسلمت وجهي لله، وذلك لأن المقصود من الدين إنما هو الوفاء بلوازم الربوبية، فإذا أ
3	20	Al Imran	razi-mafatih-al-ghayb	غاية	3698673	MEDIUM	عالى ألم تر إلى الذين أوتوا نصيبا من الكتاب] اعلم أنه تعالى لما نبه على عناد القوم بقوله فإن حاجوك فقل أسلمت وجهي لله [آل عمران: 20] بين في هذه الآية غاية عنادهم، وهو أنهم يدعون إلى الكتاب الذي يزعمون أنهم يؤمنون به، وهو التوراة ثم إن
3	21	Al Imran	razi-mafatih-al-ghayb		4131675	MEDIUM	يقول الرجل: ms2421 قد أحسنتم إلينا وأنعمتم علينا، وهو يريد أحسنتم إلى/ إخواننا، وقال تعالى: # ويقتلون النبيين بغير حق [آل عمران: 21] أي آباؤهم فعلوا ذلك. # PageV08P339 # المسألة الثانية: في قوله من دونكم احتمالان أحدهما: أن يكون متعلقا
3	26	Al Imran	razi-mafatih-al-ghayb	المقصود	9491672	MEDIUM	ح والمفاسد من المولى، وذلك يدل على أن ذلة ذلك العبد وعزة ذلك المولى من الله تعالى كما قال: تعز من تشاء وتذل من تشاء [آل عمران: 26] . # والقول الثاني: أن المراد من هذه الآية الرد على من أثبت شريكا لله تعالى، ثم على هذا القول ففيه وجهان
3	28	Al Imran	razi-mafatih-al-ghayb	غاية	901300	MEDIUM	لم، ثم اتسع فيه فاستعمل في كل ما يجاوز حدا إلى حد، قال الله تعالى: # لا يتخذ المؤمنون الكافرين أولياء من دون المؤمنين [آل عمران: 28] أي لا يتجاوزون ولاية المؤمنين إلى ولاية الكافرين فإن قيل فما متعلق من دون الله قلنا فيه وجهان: أحدهما
3	30	Al Imran	razi-mafatih-al-ghayb	غرض	16083898	MEDIUM	والمراد: ما أحضرت من استحقاق الجنة والنار فإن قيل كل نفس تعلم ما أحضرت، لقوله/: يوم تجد كل نفس ما عملت من خير محضرا [آل عمران: 30] فما معنى قوله: علمت نفس؟ قلنا: الجواب: من وجهين الأول: أن هذا هو من عكس كلامهم الذي يقصدون به الإفراط
3	36	Al Imran	razi-mafatih-al-ghayb	المقصود	3803566	MEDIUM	إلا لدعاء أمها حيث قالت فتقبل مني إنك أنت السميع العليم [آل عمران: 35] وقالت إني أعيذها بك وذريتها من الشيطان الرجيم [آل عمران: 36] . ### | ### | [سورة آل عمران (3) : الآيات 45 الى # 46]</span> # إذ قالت الملائكة يا مريم إن الله يبشر
3	37	Al Imran	razi-mafatih-al-ghayb	المقصود	3304433	MEDIUM	ل التأكيد، كما قال إبراهيم عليه ms1936 السلام: أرني كيف تحي الموتى [البقرة: 260] وقوله أنى أي من أين كقوله أنى لك هذا [آل عمران: 37] والمراد بإحياء هذه القرية عمارتها، أي متى يفعل الله تعالى ذلك، على معنى أنه لا يفعله فأحب الله أن يري
3	42	Al Imran	razi-mafatih-al-ghayb	غاية	15419708	MEDIUM	المرأة وعفتها مفيدة غاية الإفادة، كما أفاد مريم بنت عمران، كما أخبر الله تعالى، فقال: إن الله اصطفاك وطهرك واصطفاك [آل عمران: 42] ومنها التنبيه على أن التضرع بالصدق في حضرة الله تعالى وسيلة إلى الخلاص ms9044 من العقاب، وإلى الثواب بغ
3	45	Al Imran	razi-mafatih-al-ghayb	غاية	5376333	MEDIUM	ا قوله وكلمته ألقاها إلى مريم وروح منه. # فاعلم أنا فسرنا (الكلمة) في قوله تعالى: إن الله يبشرك بكلمة منه اسمه المسيح [آل عمران: 45] والمعنى أنه وجد بكلمة الله وأمره من غير واسطة ولا نطفة كما قال إن مثل عيسى عند الله كمثل آدم خلقه من تر
3	59	Al Imran	razi-mafatih-al-ghayb	غاية	5376477	MEDIUM	نه وجد بكلمة الله وأمره من غير واسطة ولا نطفة كما قال إن مثل عيسى عند الله كمثل آدم خلقه من تراب ثم قال له كن فيكون [آل عمران: 59] أما قوله وروح منه ففيه وجوه: الأول: أنه جرت عادة الناس أنهم إذا وصفوا شيئا بغاية الطهارة والنظافة قالوا
3	64	Al Imran	razi-mafatih-al-ghayb	المقصود	2823040	MEDIUM	رآن بهذا اللفظ كقوله: وطعام الذين أوتوا الكتاب حل لكم [المائدة: 5] قل يا أهل الكتاب تعالوا إلى كلمة سواء بيننا وبينكم [آل عمران: 64] ثم المراد باختلافهم يحتمل أن يكون هو تكفير بعضهم بعضا كقوله تعالى: وقالت اليهود ليست النصارى على شيء
3	79	Al Imran	razi-mafatih-al-ghayb	المقصود	14660527	MEDIUM	ت الجن والإنس إلا ليعبدون [الذاريات: 56] لكن منهم من عبد فحقق المقصود فصار عبده، ويؤيد هذا قوله تعالى: كونوا عبادا لي [آل عمران: 79] أي حققوا المقصود الثالث: الإضافة تفيد الحصر فمعنى عبدنا هو الذي لم يقل: بمعبود سوانا، ومن اتبع هواه ف
3	93	Al Imran	razi-mafatih-al-ghayb	غاية	4041182	MEDIUM	فالشبهة الأولى: ما يتعلق بإنكار النسخ. # وأجاب عنها بقوله كل الطعام كان حلا لبني إسرائيل إلا ما حرم إسرائيل على نفسه [آل عمران: 93] . # والشبهة الثانية: ما يتعلق بالكعبة ووجوب استقبالها في الصلاة ووجوب حجها. # وأجاب عنها بقوله إن أول ب
3	96	Al Imran	razi-mafatih-al-ghayb	غاية	4041315	MEDIUM	] . # والشبهة الثانية: ما يتعلق بالكعبة ووجوب استقبالها في الصلاة ووجوب حجها. # وأجاب عنها بقوله إن أول بيت وضع للناس [آل عمران: 96] إلى آخرها، فعند هذا تمت وظيفة الاستدلال وكمل الجواب عن شبهات أرباب الضلال، فعند ذلك خاطبهم بالكلام ال
3	97	Al Imran	razi-mafatih-al-ghayb	المقصود	2614699	MEDIUM	العمرة بالاتفاق، وإذا ثبت أن العمرة حج، وجب أن تكون واجبة لقوله تعالى: وأتموا الحج ولقوله: ولله على الناس حج البيت [آل عمران: 97] . # الحجة الثالثة: في المسألة أحاديث منها ما # أورده ابن الجوزي في المتفق بين الصحيحين أن جبريل # PageV05
3	102	Al Imran	razi-mafatih-al-ghayb	غرض	652048	MEDIUM	وشعيب لقومهم، وفي العنكبوت قال إبراهيم لقومه اعبدوا الله واتقوه [نوح: 3] يعني اخشوه، وكذا قوله: اتقوا الله حق تقاته [آل عمران: 102] وتزودوا فإن خير الزاد التقوى [البقرة: 197] واتقوا يوما/ لا تجزي نفس عن نفس شيئا [البقرة: 48] واعلم أن
3	108	Al Imran	razi-mafatih-al-ghayb	غاية	6344990	MEDIUM	القوم إنما قيدوا ذلك بما لا يكون من باب الفعل لأنه تعالى تمدح بنفي الظلم عن نفسه في قوله: وما الله يريد ظلما للعالمين [آل عمران: 108] وقوله: وما ربك بظلام للعبيد [فصلت: 46] مع أنه تعالى قادر على الظلم عندهم، فذكروا هذا القيد دفعا لهذا
3	110	Al Imran	razi-mafatih-al-ghayb	المقصود	422637	MEDIUM	لخيرات الرفيعة والبركات العالية دخل هذا القائل تحت قوله: كنتم خير أمة أخرجت للناس تأمرون بالمعروف وتنهون عن المنكر، [آل عمران: 110] لأن هذا القائل بسبب إظهار هذه الكلمة أمر بما هو أحسن أنواع الأمر بالمعروف، وهو الرجوع إلى الله بالكلية
3	113	Al Imran	razi-mafatih-al-ghayb	غاية	3699112	MEDIUM	ل آخر، على أنه ليس كل أهل الكتاب كذلك لأنه تعالى يقول من أهل الكتاب أمة قائمة يتلون آيات الله آناء الليل وهم يسجدون [آل عمران: 113] . # المسألة الثانية: قوله تعالى: أوتوا نصيبا من الكتاب المراد به غير القرآن لأنه أضاف الكتاب إلى الكفا
3	117	Al Imran	razi-mafatih-al-ghayb	المقصود	13519282	MEDIUM	ل الثاني: أنها الباردة التي تحرق ببردها كما تحرق النار بحرها، وأصلها من الصر وهو البرد قال تعالى: مثل ريح فيها صر # [آل عمران: 117] # وروي عن رسول الله صلى الله عليه وسلم أنه قال: «الرياح ثمان أربع منها عذاب العاصف والصرصر والعقيم وال
3	118	Al Imran	razi-mafatih-al-ghayb	غرض	1782698	MEDIUM	تمسسكم حسنة تسؤهم وإن تصبكم سيئة يفرحوا بها # [آل عمران: 119، 120] وكذا قال: ودوا ما عنتم قد بدت البغضاء من أفواههم [آل عمران: 118] . واعلم أن الحسد ربما أفضى إلى التنازع والتقاتل. # السبب الثاني: التعزز، فإن واحدا من أمثاله إذا نال منص
3	120	Al Imran	razi-mafatih-al-ghayb	المقصود	4154383	MEDIUM	طلوبه إلا بالتوكل على الله والاستعانة به والمقصود من ذكر هذه القصة تأكيد قوله وإن تصبروا وتتقوا لا يضركم كيدهم شيئا [آل عمران: 120] وتأكيد قوله وعلى الله فليتوكل المؤمنون [آل عمران: 122] الثاني: أنه تعالى حكى عن الطائفتين أنهما همتا ب
3	121	Al Imran	razi-mafatih-al-ghayb	المقصود	4187698	MEDIUM	: قال أبو العالية: هو الهجرة. والخامس: أنه الجهاد وهو قول الضحاك ومحمد بن إسحاق، قال: لأن من قوله: وإذ غدوت من أهلك [آل عمران: 121] إلى تمام ستين آية نزل في يوم أحد فكان كل هذه الأوامر والنواهي مختصة بما يتعلق بباب الجهاد. السادس: ق
3	122	Al Imran	razi-mafatih-al-ghayb	المقصود	4154440	MEDIUM	ر هذه القصة تأكيد قوله وإن تصبروا وتتقوا لا يضركم كيدهم شيئا [آل عمران: 120] وتأكيد قوله وعلى الله فليتوكل المؤمنون [آل عمران: 122] الثاني: أنه تعالى حكى عن الطائفتين أنهما همتا بالفشل. # ثم قال: والله وليهما وعلى الله فليتوكل المؤمنون
3	123	Al Imran	razi-mafatih-al-ghayb	المقصود	4146072	MEDIUM	أكثر العلماء بالمغازي زعموا أن هذه الآية نزلت في وقعة أحد الثاني: أنه تعالى قال بعد هذه الآية ولقد نصركم الله ببدر [آل عمران: 123] والظاهر أنه معطوف على ما تقدم، / ومن حق المعطوف أن يكون غير المعطوف عليه، وأما يوم الأحزاب، فالقوم إنم
3	125	Al Imran	razi-mafatih-al-ghayb	المقصود	4320944	MEDIUM	معاصي الله تعالى نصره الله، وهو قوله: بلى إن تصبروا وتتقوا ويأتوكم من فورهم هذا يمددكم ربكم بخمسة آلاف من الملائكة [آل عمران: 125] ثم بين في هذه الآية أن من نصره الله فلا غالب له، فيحصل من مجموع هاتين المقدمتين، أن من اتقى الله فقد ~
3	128	Al Imran	razi-mafatih-al-ghayb	المقصود	4180145	MEDIUM	لسماوات وما في الأرض] فيه مسألتان: # المسألة الأولى: أن المقصود من هذا تأكيد ما ذكره أولا من قوله ليس لك من الأمر شيء [آل عمران: 128] والمعنى أن الأمر إنما يكون لمن له الملك، وملك السموات والأرض وليس إلا لله تعالى فالأمر في السموات والأ
3	133	Al Imran	razi-mafatih-al-ghayb	غاية	4116056	MEDIUM	فرط الرغبة فيما يتعلق بالدين، لأن من رغب ms2412 في الأمر، آثر الفور على التراخي، قال تعالى: وسارعوا إلى مغفرة من ربكم [آل عمران: 133] وأيضا العجلة ليست مذمومة على الإطلاق بدليل قوله تعالى: وعجلت إليك رب لترضى [طه: 84] . # الصفة الثامن
3	142	Al Imran	razi-mafatih-al-ghayb	المقصود	2832959	MEDIUM	قبلهم فليعلمن الله [العنكبوت: 1- 3] وقال: أم حسبتم أن تدخلوا الجنة ولما يعلم الله الذين جاهدوا منكم ويعلم الصابرين [آل عمران: 142] والمقصود من هذه الآية ما ذكرنا أن أصحاب الرسول عليه الصلاة والسلام كان ينالهم الأمر العظيم من البأسا
3	144	Al Imran	razi-mafatih-al-ghayb	المقصود	4232038	MEDIUM	د من هذه الآية حكاية ما جرى لسائر الأنبياء لتقتدي هذه الأمة بهم، وقد قال تعالى: أفإن مات أو قتل انقلبتم على أعقابكم [آل عمران: 144] فيجب أن يكون المذكور قتل سائر الأنبياء لا قتالهم، ومن قرأ قاتل معه فالمعنى: وكم من نبي قاتل معه العدد
3	145	Al Imran	razi-mafatih-al-ghayb	غاية	4238488	MEDIUM	لكرم والله أعلم. # المسألة الثالثة: قال فيما تقدم: ms2483 ومن يرد ثواب الدنيا نؤته منها ومن يرد ثواب الآخرة نؤته منها [آل عمران: 145] فذكر لفظة (من) الدالة على التبعيض فقال في الآية: فآتاهم الله ثواب الدنيا وحسن ثواب الآخرة ولم يذكر كلم
3	147	Al Imran	razi-mafatih-al-ghayb	غاية	4238855	MEDIUM	رون في هذه الآية فإنهم لم يذكروا في أنفسهم إلا الذنب والقصور، وهو المراد من قوله: اغفر لنا ذنوبنا وإسرافنا في أمرنا [آل عمران: 147] ولم يروا التدبير والنصرة والإعانة إلا من ربهم، وهو المراد بقوله: وثبت أقدامنا وانصرنا على القوم الكا
3	152	Al Imran	razi-mafatih-al-ghayb	المقصود	7913896	MEDIUM	تعالى: وإذ زاغت الأبصار وبلغت القلوب الحناجر [الأحزاب: 10] وقوله: لقد صدقكم الله وعده إذ تحسونهم بإذنه حتى إذا فشلتم [آل عمران: 152] الآية، والمقصود منه وصف المهاجرين والأنصار بأنهم اتبعوا الرسول عليه السلام في الأوقات الشديدة والأحو
3	159	Al Imran	razi-mafatih-al-ghayb	غرض	1617422	MEDIUM	ونهاية كفر فرعون وتمرده وعتوه على الله تعالى، وقال لمحمد صلى الله عليه وسلم: ولو كنت فظا غليظ القلب لانفضوا من حولك [آل عمران: 159] الآية، وأما دعوة الفساق فالقول الحسن فيه معتبر، قال تعالى: ادع إلى سبيل ربك بالحكمة والموعظة الحسنة #
3	161	Al Imran	razi-mafatih-al-ghayb	غاية	3940467	MEDIUM	يتخذ من ولد [مريم: 35] على سبيل النفي لذلك عن نفسه، لا على وجه التحريم والحظر، وكذا قوله تعالى: ما كان لنبي أن يغل [آل عمران: 161] والمراد النفي لا النهي والله أعلم. # PageV08P270 # المسألة الثالثة: قوله أن يؤتيه الله الكتاب والحكم و
3	164	Al Imran	razi-mafatih-al-ghayb	غاية	4509528	MEDIUM	نها زوجها أي من جنسها وهو كقوله تعالى: والله جعل لكم من أنفسكم أزواجا [النحل: 72] وكقوله: إذ بعث فيهم رسولا من أنفسهم [آل عمران: 164] وقوله: لقد جاءكم رسول من أنفسكم [التوبة: 128] قال القاضي: # والقول الأول أقوى، لكي يصح قوله: خلقكم من
3	167	Al Imran	razi-mafatih-al-ghayb	غرض	4592582	MEDIUM	البطن فما فائدة قوله: إنما يأكلون في بطونهم نارا. # PageV09P506 # وجوابه: أنه كقوله: يقولون بأفواههم ما ليس في قلوبهم [آل عمران: 167] والقول لا يكون إلا بالفهم، وقال: ولكن تعمى القلوب التي في الصدور [الحج: 46] والقلب لا يكون إلا في ال
3	179	Al Imran	razi-mafatih-al-ghayb	المقصود	9155703	MEDIUM	يلها نصب الفعل المستقبل. والنحويون يسمونها لام الجحد ومثله قوله تعالى: # PageV19P110 # وما كان الله ليطلعكم على الغيب [آل عمران: 179] . ما كان الله ليذر المؤمنين [آل عمران: 179] والجبال هاهنا مثل لأمر النبي صلى الله عليه وسلم ولأمر دي
3	185	Al Imran	razi-mafatih-al-ghayb	غرض	4441020	MEDIUM	صبروا وتتقوا فإن ذلك من عزم الأمور (186) # اعلم أنه تعالى لما سلى الرسول صلى الله عليه وسلم بقوله: كل نفس ذائقة الموت [آل عمران: 185] زاد في تسليته بهذه الآية، فبين أن الكفار بعد أن آذوا الرسول والمسلمين يوم أحد، فسيؤذونهم أيضا في المست
3	187	Al Imran	razi-mafatih-al-ghayb	المقصود	10250493	MEDIUM	لهذه القصة العجيبة فيه. # المسألة الثانية: النبذ أصله الطرح والإلقاء والانتباذ افتعال منه ومنه: فنبذوه وراء ظهورهم [آل عمران: 187] وانتبذت تنحت يقال جلس نبذة من الناس ونبذة بضم النون وفتحها أي ناحية وهذا إذا جلس قريبا منك حتى لو نبذت
3	191	Al Imran	razi-mafatih-al-ghayb	غرض	10738739	MEDIUM	ا سويناهم لفوائد دينية ودنيوية أما الدينية فليتفكر المتفكرون فيها على ما قال تعالى: ويتفكرون في خلق السماوات والأرض [آل عمران: 191] وأما الدنيوية فلما يتعلق بها من المنافع التي لا تعد ولا تحصى وهذا كقوله: وما خلقنا السماء والأرض وما ~
3	194	Al Imran	razi-mafatih-al-ghayb	المقصود	3546905	MEDIUM	لم يدع، قال الله تعالى: قال رب احكم بالحق [الأنبياء: 112] وقال: ربنا وآتنا ما وعدتنا على رسلك ولا تخزنا يوم القيامة [آل عمران: 194] وقالت الملائكة في دعائهم فاغفر للذين تابوا واتبعوا سبيلك [غافر: 7] فكذا في هذه الآية العلم بأن النسيان
3	200	Al Imran	razi-mafatih-al-ghayb	المقصود	7361648	MEDIUM	مع الصابرين والمقصود أن كمال أمر الجهاد مبني على الصبر، فأمرهم بالصبر. كما قال في آية أخرى: اصبروا وصابروا ورابطوا [آل عمران: 200] وبين أنه تعالى مع الصابرين، ولا شبهة أن المراد بهذه المعية النصرة والمعونة. ms4308 # ثم قال: ولا تكونو
4	1	al-Nisa	razi-mafatih-al-ghayb	غاية	4859578	MEDIUM	أبيه وكان مشركا. # النوع الرابع: قوله تعالى: وبذي القربى وهو أمر بصلة الرحم كما ذكر في أول السورة بقوله: # والأرحام [النساء: 1] . # واعلم أن الوالدين من الأقارب أيضا، إلا أن قرابة الولاد لما كانت مخصوصة بكونها أقرب القرابات وكانت مخصو
4	2	al-Nisa	razi-mafatih-al-ghayb	غاية	3835984	MEDIUM	ويظهر أمر الله تعالى الثالث: قال الأكثرون من أهل اللغة إلى هاهنا بمعنى مع قال تعالى: ولا تأكلوا أموالهم إلى أموالكم [النساء: 2] أي معها، # وقال صلى الله عليه وسلم: «الذود إلى الذود إبل» # أي مع الذود. # قال الزجاج: كلمة إلى ليست بمعنى م
4	3	al-Nisa	razi-mafatih-al-ghayb	غاية	5296715	MEDIUM	الذي غاية أمره إيذاء حيوان. الثالث: أنه تقدم في هذه السورة أمر الناس بالقسط كما قال وإن خفتم ألا تقسطوا في اليتامى [النساء: 3] وأمرهم بالإشهاد عن دفع أموال اليتامى إليهم، وأمرهم # PageV11P240 # بعد ذلك ببذل النفس والمال في سبيل الله، و
4	6	al-Nisa	razi-mafatih-al-ghayb	المقصد	14501557	MEDIUM	قال: ما ضل أي ما كفر، ولا أقل من ذلك فما فسق، ويؤيد ما ذكرنا قوله تعالى: فإن آنستم منهم رشدا فادفعوا إليهم أموالهم [النساء: 6] أو نقول الضلال كالعدم، والغواية كالوجود الفاسد في الدرجة والمرتبة، وقوله صاحبكم فيه ووجهان الأول: # سيدكم
4	9	al-Nisa	razi-mafatih-al-ghayb	غاية	4591023	MEDIUM	~الخبيث بالطيب ولا تأكلوا أموالهم إلى أموالكم إنه كان حوبا كبيرا [النساء: 2] وليخش الذين لو تركوا من خلفهم ذرية ضعافا [النساء: 9] ثم ذكر بعدها هذه الآية مفردة في وعيد من يأكل أموالهم، وذلك كله رحمة من الله تعالى باليتامى لأنهم لكمال ض
4	10	al-Nisa	razi-mafatih-al-ghayb	المقصود	4555167	MEDIUM	وإنما خص الأكل بالذكر لأن معظم المقصود من المال إنما هو الأكل، ونظيره قوله تعالى: إن الذين يأكلون أموال اليتامى ظلما [النساء: 10] وقال: لا تأكلوا أموالكم بينكم بالباطل [البقرة: 188] . # المسألة التاسعة: قال بعض العلماء: إن وهبت ثم طلبت
4	11	al-Nisa	razi-mafatih-al-ghayb	غرض	1981581	MEDIUM	ل عنه، فهذه الدلائل دلت على أن ms1158 الجد ليس بأب. وخامسها: قوله تعالى: يوصيكم الله في أولادكم للذكر مثل حظ الأنثيين [النساء: 11] فلو كان الجد أبا لكان ابن الابن ابنا لا محالة فكان يلزم بمقتضى هذه الآية حصول الميراث لابن الابن مع قيا
4	15	al-Nisa	razi-mafatih-al-ghayb	غاية	4662986	MEDIUM	ير: واللذان يأتيان الفاحشة من النساء والرجال فآذوهما فإن تابا وأصلحا فأعرضوا عنهما. ثم نزل قوله: فأمسكوهن في البيوت [النساء: 15] يعني إن لم يتوبا وأصرا على هذا الفعل القبيح فأمسكوهن في البيوت إلى أن يتبين لكم أحوالهن، وهذا القول عند
4	17	al-Nisa	razi-mafatih-al-ghayb	غاية	8423375	MEDIUM	ا يدل على غاية التقريع ونهاية الزجر، وأيضا جعل الجهل كناية عن الذنب مشهور في القرآن. قال تعالى: يعملون السوء بجهالة [النساء: 17] وقال تعالى حكاية عن موسى عليه السلام: أعوذ بالله أن أكون من الجاهلين [البقرة: 67] . # الوجه الخامس: أن نو
4	20	al-Nisa	razi-mafatih-al-ghayb	غرض	3095632	MEDIUM	وجد الطلاق قبله، حجة أبي حنيفة قوله تعالى: وإن أردتم استبدال زوج مكان زوج وآتيتم إحداهن قنطارا فلا تأخذوا منه شيئا [النساء: 20] إلى قوله: وقد أفضى بعضكم إلى بعض [النساء: 21] وجه التمسك به من وجهين الأول: هو أنه تعالى نهى عن أخذ الم
4	21	al-Nisa	razi-mafatih-al-ghayb	غرض	3095680	MEDIUM	ن أردتم استبدال زوج مكان زوج وآتيتم إحداهن قنطارا فلا تأخذوا منه شيئا [النساء: 20] إلى قوله: وقد أفضى بعضكم إلى بعض [النساء: 21] وجه التمسك به من وجهين الأول: هو أنه تعالى نهى عن أخذ المهر، ولم يفصل بين الطلاق وعدم الطلاق إلا إن توافق
4	23	al-Nisa	razi-mafatih-al-ghayb	غرض	4659403	MEDIUM	فيه وجوه: أحدها: المراد، من زوجاتكم كقوله: والذين يظاهرون من نسائهم [المجادلة: # 3] وقوله: من نسائكم اللاتي دخلتم بهن [النساء: 23] وثانيها: من نسائكم، أي من الحرائر كقوله: # واستشهدوا شهيدين من رجالكم [البقرة: 282] والغرض بيان أنه لا حد
4	24	al-Nisa	razi-mafatih-al-ghayb	المقصود	3081545	MEDIUM	ات: التي تكون مدخولا بها، ولكن لا يكون مفروضا لها، وحكم هذا القسم مذكور في قوله: فما استمتعتم به منهن فآتوهن أجورهن [النساء: 24] أيضا القياس الجلي دال عليه وذلك لأن الأمة مجمعة على أن الموطوءة بالشبهة لها مهر المثل، فالموطوءة بنكاح صح
4	25	al-Nisa	razi-mafatih-al-ghayb	المقصود	4746085	MEDIUM	لحرائر، والدليل عليه قوله تعالى بعد هذه الآية: ومن لم يستطع منكم طولا أن ينكح المحصنات المؤمنات فمن ما ملكت أيمانكم [النساء: 25] ذكر هاهنا المحصنات ثم قال بعده: ومن لم يستطع منكم طولا أن ينكح المحصنات كان المراد بالمحصنات هاهنا ما هو
4	26	al-Nisa	razi-mafatih-al-ghayb	غرض	16513799	MEDIUM	التأويل. # ثم قال الفراء: العرب تجعل اللام في موضع أن في الأمر والإرادة كثيرا، من ذلك قوله تعالى: يريد الله ليبين لكم [النساء: 26] يريدون ليطفؤا [الصف: 8] وقال في الأمر: وأمرنا لنسلم [الأنعام: 71] وهي في قراءة عبد الله: وما أمروا إلا
4	29	al-Nisa	razi-mafatih-al-ghayb	المقصود	5139357	MEDIUM	ى أن مال الإنسان معصوم وأنه لا سبيل لأحد أن يأخذه منه. قال تعالى: لا تأكلوا أموالكم بينكم بالباطل إلا أن تكون تجارة [النساء: 29] # وقال عليه الصلاة والسلام: «كل امرئ أحق بكسبه» # وقال: «حرمة مال المسلم كحرمة دمه» # وقال: «لا يحل مال الم
4	30	al-Nisa	razi-mafatih-al-ghayb	غاية	4595837	MEDIUM	د وهو الصلاة إذا كسرت مدت، وإذا فتحت قصرت، ومن ضم الياء فهو من قولهم: أصلاه الله حر النار إصلاء. قال: فسوف نصليه نارا [النساء: 30] وقال تعالى: سأصليه سقر [المدثر: 26] قال صاحب «الكشاف» : قرئ سيصلون بضم الياء وتخفيف اللام وتشديدها. # ا
4	32	al-Nisa	razi-mafatih-al-ghayb	المقصود	2795325	MEDIUM	الاستئناف، فقرأ سلهم وسل بني إسرائيل بغير همزة وسئل القرية [يوسف: 82] فسئل الذين يقرؤن الكتاب، وسئلوا الله من فضله [النساء: 32] بالهمز، وسوى الكسائي بين الكل، وقرأ الكل بغير همز وجه الفرق الفرق أن التخفيف في # PageV06P365 # الاستئناف
4	37	al-Nisa	razi-mafatih-al-ghayb	غرض	4867694	MEDIUM	سمان: فالأول: هو البخيل الذي لا يقدم على إنفاق المال البتة، وهم المذمومون في قوله: الذين يبخلون ويأمرون/ الناس بالبخل [النساء: 37] والثاني: # الذين ينفقون ms2850 أموالهم، لكن لا لغرض الطاعة، بل لغرض الرياء والسمعة، فهذه الفرقة أيضا مذ
4	41	al-Nisa	razi-mafatih-al-ghayb	المقصود	5858759	MEDIUM	نبياء لا يشهدون ms3428 لأممهم. والجمع بين هذا وبين قوله تعالى: فكيف إذا جئنا من كل أمة بشهيد وجئنا بك على هؤلاء شهيدا [النساء: 41] مشكل. وأيضا قوله تعالى: وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس # PageV12P456 # ويكون الرسول عليكم
