surah	verse	A	D	DISPUTE	A_resid	D_resid	DISPUTE_resid	len_char	len_word	n_hapax	rarity	ar-tafsir-al-tabari	ar-tafseer-al-qurtubi	ar-tafsir-ibn-kathir	ar-tafsir-al-baghawi	ar-tafseer-tanwir-al-miqbas	ar-tafseer-al-saddi	ar-tafsir-al-wasit	ar-tafsir-muyassar
2	29	0.864917	0.233924	0.801246	0.938769	0.987827	1.424472	90	20	0	7.798845	0.970574	0.989657	0.958226	0.668297	0.993345	0.944756	0.765795	0.628688
2	30	0.973430	0.043918	0.907072	1.273075	0.384731	1.778313	142	30	0	8.088479	0.997514	0.996713	0.991902	0.957104	0.997996	0.939785	0.965763	0.940667
2	31	0.861520	0.205801	0.866318	1.214673	0.663020	1.954626	84	15	0	7.086429	0.976347	0.973461	0.944436	0.850786	0.985006	0.694836	0.792896	0.674391
2	32	0.685125	0.262568	0.543331	0.806858	0.377711	0.658376	61	13	0	6.575058	0.795863	0.924230	0.616100	0.563903	0.898172	0.711594	0.543778	0.427357
2	33	0.806056	0.141437	0.566320	0.412875	-0.044125	0.247520	125	24	0	7.166484	0.899695	0.891998	0.883339	0.792575	0.921183	0.608884	0.779586	0.671183
2	34	0.923729	0.073324	0.857693	1.645762	-0.328020	1.849251	75	13	0	7.859730	0.965603	0.980837	0.990940	0.935616	0.989978	0.908355	0.910279	0.708226
2	35	0.855125	0.204919	0.890898	0.742479	0.714057	1.757799	98	19	0	8.670704	0.969612	0.992383	0.935616	0.799792	0.972178	0.661963	0.859365	0.650096
2	36	0.921945	0.088598	0.841725	1.011320	0.058502	1.364185	108	21	0	8.928058	0.988053	0.991260	0.947643	0.959028	0.960151	0.893281	0.834269	0.801876
2	37	0.797727	0.121793	0.835597	1.117263	-0.659043	1.830285	55	12	0	8.167665	0.923108	0.938663	0.865218	0.866421	0.877726	0.535760	0.530468	0.844452
2	38	0.750401	0.206282	0.743746	0.424188	0.227390	1.129710	86	18	0	8.248484	0.849824	0.870350	0.586835	0.642720	0.954538	0.760343	0.650657	0.687941
2	39	0.596847	0.393882	0.479818	0.357477	1.147505	0.129134	62	11	0	7.876063	0.679522	0.343169	0.597338	0.269644	0.827133	0.760343	0.901139	0.396488
2	40	0.888941	0.060656	0.817488	1.146039	-0.802495	1.411505	82	14	0	9.309514	0.934894	0.914288	0.883098	0.894163	0.997033	0.867704	0.788326	0.832024
2	41	0.908415	0.079017	0.696348	1.136650	-0.276617	0.881598	98	19	0	7.984589	0.925192	0.981158	0.918778	0.743185	0.996873	0.967527	0.923268	0.811337
2	42	0.793477	0.131976	0.541602	1.242101	-0.612938	0.471149	49	8	0	8.916432	0.910600	0.858964	0.793056	0.695879	0.862251	0.725946	0.772691	0.728432
2	43	0.778043	0.137227	0.609079	1.207722	-0.629403	0.786243	47	7	0	9.212073	0.845093	0.998637	0.695398	0.714881	0.735327	0.670943	0.850305	0.713759
