sid,name,type,alpha,beta,dispersion,PC1,PC2,PC3,mean_verse_length,allah_density,qul_density,prophet_density,legal_density,eschat_density,book_ref_density,divine_name_density,loanword_density,mfdfa_width,lz_norm_log,inclusio,surah_length,muq_cardinality,noldeke_order
26,Ash-Shu'ara,meccan,0.845656,0.766533,0.274843,0.132323,-0.248983,-0.0864874,5.96035,5.72687,0.440529,8.37004,3.96476,4.84581,1.32159,9.69163,2.20264,0.569158,2.4314,0,227,3,56
27,An-Naml,meccan,0.78364,0.838508,0.291427,0.249624,-0.125876,-0.0130289,13.0645,29.0323,7.52688,11.828,8.60215,13.9785,9.67742,9.67742,1.07527,1.00912,2.82404,1,93,2,68
28,Al-Qasas,meccan,0.812416,0.860843,0.275812,0.263423,-0.165489,-0.00830175,17.2727,30.6818,4.54545,21.5909,29.5455,15.9091,6.81818,10.2273,0,0.96524,2.74981,0,88,3,79
29,Al-'Ankabut,meccan,0.79712,0.852082,0.323027,0.289944,-0.0227766,0.00649711,15.1304,60.8696,5.7971,5.7971,20.2899,24.6377,10.1449,14.4928,0,1.15895,2.69331,0,69,3,81
30,Ar-Rum,meccan,0.787213,0.840611,0.329015,0.190971,-0.00449945,0.0560269,14.4667,40,1.66667,0,11.6667,13.3333,3.33333,13.3333,0,0.233244,2.60191,0,60,3,74
31,Luqman,meccan,0.67063,0.838509,0.318602,0.204404,0.102466,0.0310069,17.2353,94.1176,2.94118,0,17.6471,20.5882,5.88235,26.4706,0,0.918997,2.82077,0,34,3,82
32,As-Sajdah,meccan,0.61185,0.917847,0.374046,0.111743,-0.188224,-0.0469959,13,3.33333,6.66667,3.33333,3.33333,30,10,10,3.33333,1.96126,3.00543,0,30,3,70
33,Al-Ahzab,medinan,0.783905,0.830242,0.280111,0.225918,0.205914,0.0322248,18.9589,123.288,6.84932,4.10959,16.4384,12.3288,4.10959,5.47945,0,0.817667,2.62071,0,73,0,103
34,Saba,meccan,0.766512,0.882529,0.30547,0.249954,-0.123884,0.0364958,17.4074,14.8148,27.7778,3.7037,0,29.6296,5.55556,29.6296,3.7037,1.89429,2.78321,0,54,0,85
35,Fatir,meccan,0.690011,0.860021,0.3082,0.247442,0.0666575,0.0592491,18.7556,77.7778,2.22222,0,8.88889,13.3333,13.3333,17.7778,0,0.418058,2.83131,0,45,0,86
36,Ya-Sin,meccan,0.712832,0.854113,0.316995,0.164897,-0.197017,-0.0256292,9.08434,3.61446,1.20482,0,6.0241,8.43373,6.0241,12.0482,3.61446,0.764625,2.84324,0,83,2,60
37,As-Saffat,meccan,0.703451,0.850085,0.283553,0.140892,-0.273054,-0.0751969,4.84066,8.24176,0.549451,4.94505,4.94505,4.94505,1.0989,1.64835,0.549451,0.791477,2.68771,0,182,0,50
38,Sad,meccan,0.650942,0.88478,0.288167,0.178406,-0.196415,-0.014351,8.79545,3.40909,3.40909,12.5,7.95455,14.7727,4.54545,7.95455,2.27273,0.849687,2.95789,0,88,1,59
39,Az-Zumar,meccan,0.799213,0.838811,0.30905,0.29735,-0.00642175,-0.00591994,16.7867,80,20,0,12,41.3333,10.6667,12,0,0.563952,2.71119,0,75,0,80
40,Ghafir,meccan,0.81635,0.807941,0.304492,0.283213,-0.0378279,0.0170133,15.2471,62.3529,1.17647,9.41176,11.7647,27.0588,4.70588,23.5294,1.17647,1.20263,2.66778,0,85,2,78
41,Fussilat,meccan,0.725603,0.822242,0.326203,0.21334,-0.0780718,0.00682769,15.5185,20.3704,9.25926,1.85185,5.55556,31.4815,16.6667,14.8148,0,0.92788,2.86679,0,54,2,71
42,Ash-Shuraa,meccan,0.768544,0.809843,0.331204,0.226181,0.0565771,0.100872,17.5849,60.3774,3.77358,1.88679,15.0943,24.5283,9.43396,32.0755,3.77358,0.214458,2.68906,0,53,5,83
43,Az-Zukhruf,meccan,0.726198,0.873032,0.312047,0.204326,-0.256934,-0.0611824,9.77528,3.37079,2.24719,3.37079,5.61798,12.3596,8.98876,11.236,4.49438,0.734651,2.90574,0,89,2,61
44,Ad-Dukhan,meccan,0.597509,0.889859,0.344478,0.0802752,-0.240641,-0.0527983,6.16949,5.08475,0,0,0,10.1695,3.38983,11.8644,1.69492,1.14201,2.89135,0,59,2,53
45,Al-Jathiyah,meccan,0.737728,0.86791,0.381446,0.18761,-0.0360574,0.00985286,13.8378,43.2432,5.40541,0,8.10811,29.7297,13.5135,10.8108,2.7027,2.22982,2.79983,0,37,2,72
46,Al-Ahqaf,meccan,0.714106,0.883244,0.351621,0.254825,-0.0996558,-0.000577126,19.3143,45.7143,11.4286,5.71429,5.71429,31.4286,20,17.1429,2.85714,1.66297,2.91171,0,35,2,88
47,Muhammad,medinan,0.685035,0.854653,0.31381,0.181903,0.236278,0.000415744,15,71.0526,0,2.63158,7.89474,13.1579,2.63158,7.89474,0,1.06558,2.64892,0,38,0,96
48,Al-Fath,medinan,0.67133,0.838789,0.315341,0.211712,0.239926,0.0499936,20.6897,124.138,10.3448,3.44828,10.3448,13.7931,0,3.44828,0,0.879762,2.71235,0,29,0,108
49,Al-Hujurat,medinan,0.698869,0.856776,0.344768,0.168174,0.358269,0.0213156,21.2222,150,16.6667,0,11.1111,0,0,0,0,0.879762,2.65371,0,18,0,112
50,Qaf,meccan,0.565189,0.893152,0.317043,0.0318181,-0.260932,0.0871988,8.64444,2.22222,0,4.44444,2.22222,13.3333,6.66667,6.66667,0,0.652549,3.0858,1,45,1,54
51,Adh-Dhariyat,meccan,0.585785,0.892135,0.332151,0.11706,-0.189854,0.0102946,6.18333,5,0,5,8.33333,3.33333,1.66667,6.66667,0,0.717282,2.98994,0,60,0,39
